id,source,target,Weight,group
0,monocytes,KCNQ5,0.807142857142857,1
1,c_MCP2,KCNQ5,0.8535714285714284,0
2,c_CXCL10,KCNQ5,0.8285714285714284,0
3,LYSINE-N-N-O-TMS_1-1M/z102,KCNQ5,0.9035714285714285,1
4,PCBD1,CDKN1A,0.8035714285714284,1
5,NAPRT1,CEP85L,0.914285714285714,0
6,LOH12CR1,CEP85L,0.8464285714285712,1
7,GLUTAMINE-N-N-O-TMS_1-1M/z347,CEP85L,0.8035714285714284,1
8,basophils,UBE2Z,0.8373184409995313,0
9,p_FGF-19,UBE2Z,0.807142857142857,0
10,p_AXIN1,UBE2Z,0.8035714285714284,0
11,p_TNFRSF9,UBE2Z,0.807142857142857,0
12,p_EN-RAGE,UBE2Z,0.8107142857142855,0
13,LOH12CR1,RIC3,0.8357142857142855,1
14,LOH12CR1,GOLGA2P5,0.8357142857142855,1
15,PCBD1,BAIAP2-AS1,0.807142857142857,0
16,CHOLESTEROL-TMS-1M/z247,RNF19A,0.8107142857142855,1
17,MR1,BTLA,0.8285714285714284,0
18,CDKN1A,PCBD1,0.8035714285714284,1
19,BAIAP2-AS1,PCBD1,0.807142857142857,0
20,CEP85L,NAPRT1,0.914285714285714,0
21,SFT2D1,LAMTOR2,0.825,1
22,CEP85L,LOH12CR1,0.8464285714285712,1
23,RIC3,LOH12CR1,0.8357142857142855,1
24,GOLGA2P5,LOH12CR1,0.8357142857142855,1
25,LAMTOR2,SFT2D1,0.825,1
26,MR1,IFITM1,0.8214285714285712,1
27,ORNITHINE-N-N-O-TMS_1-1M/z144,IFITM1,0.8357142857142855,0
28,CITRULLINE-3TMS_1(Ornthine)-1,IFITM1,0.8035714285714284,0
29,CITRULLINE-3TMS_1(Ornthine)-1,SCO2,0.8321428571428571,0
30,THREONINE-N-O-O-TMS-1M/z293,DTNB,0.8964285714285712,1
31,ORNITHINE-N-N-O-TMS_1-1M/z144,DTNB,0.8464285714285712,1
32,ASPARAGINE-N-N-O-TMS-1M/z231,DTNB,0.8357142857142855,1
33,BETA-ALANINE-N-O-TMS-1M/z218,METRNL,0.8392857142857142,0
34,BTLA,MR1,0.8285714285714284,0
35,IFITM1,MR1,0.8214285714285712,1
