id,label,group,nodesize
TYROSINE-N-O-O-TMS-1M/z382,TYROSINE-N-O-O-TMS-1M/z382,5,9
ASPARAGINE-N-N-O-TMS-1M/z231,ASPARAGINE-N-N-O-TMS-1M/z231,5,8
1-MONOPALMITOYLGLYCEROL-2TMS-1M/z371,1-MONOPALMITOYLGLYCEROL-2TMS-1M/z371,5,7
N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1M/z159,N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1M/z159,5,7
Benzenebutanoic_acid_Ri2182Mz192,Benzenebutanoic_acid_Ri2182Mz192,5,7
LACTOSE-MEOX-8TMS_1-1M/z204,LACTOSE-MEOX-8TMS_1-1M/z204,5,7
FUMARIC-ACID-2TMS-1M/z246,FUMARIC-ACID-2TMS-1M/z246,5,7
NAPROXEN-TMS-1M/z303,NAPROXEN-TMS-1M/z303,5,6
TAURINE-3TMS-1M/z328,TAURINE-3TMS-1M/z328,5,6
BETA-ALANINE-N-O-TMS-1M/z218,BETA-ALANINE-N-O-TMS-1M/z218,5,6
SUCROSE-8TMS-1M/z362,SUCROSE-8TMS-1M/z362,5,6
BENZOIC-ACID-TMS-1,BENZOIC-ACID-TMS-1,5,6
HEXADECANOIC-ACID-TMS-1M/z171,HEXADECANOIC-ACID-TMS-1M/z171,5,6
FRUCTOSE-MEOX-5TMS_1-1M/z366,FRUCTOSE-MEOX-5TMS_1-1M/z366,5,6
CELLOBIOSE-MEOX-8TMS_2-1M/z361,CELLOBIOSE-MEOX-8TMS_2-1M/z361,5,6
ALANINE-N-O-TMS-1M/z192,ALANINE-N-O-TMS-1M/z192,5,6
INOSINE-4TMS-1M/z217,INOSINE-4TMS-1M/z217,5,6
GAMMA-TOCOPHEROL-TMS-1,GAMMA-TOCOPHEROL-TMS-1,5,5
INOSITOL--scyllo-6TMS-1M/z432,INOSITOL--scyllo-6TMS-1M/z432,5,5
ORNITHINE-N-N-O-TMS_1-1M/z144,ORNITHINE-N-N-O-TMS_1-1M/z144,5,5
CYSTINE-N-N-O-O-TMS-1M/z297,CYSTINE-N-N-O-O-TMS-1M/z297,5,5
GLUCURONIC-ACID-MEOX-5TMS_2-1M/z334,GLUCURONIC-ACID-MEOX-5TMS_2-1M/z334,5,5
ALPHA-TOCOPHEROL-TMS-1M/z504,ALPHA-TOCOPHEROL-TMS-1M/z504,5,5
ISOLEUCINE--N-O-TMS-1M/z233,ISOLEUCINE--N-O-TMS-1M/z233,5,5
3-HYDROXYBUTYRIC-ACID-2TMS-1M/z204,3-HYDROXYBUTYRIC-ACID-2TMS-1M/z204,5,5
LAMINARIBIOSE-MEOX8TMS_2-1M/z361,LAMINARIBIOSE-MEOX8TMS_2-1M/z361,5,5
CREATININE-3TMS-1M/z329,CREATININE-3TMS-1M/z329,5,5
ACETAMINOPHEN-2TMS-1M/z297,ACETAMINOPHEN-2TMS-1M/z297,5,4
METHYL-HISTIDINE-2TMS-1M/z168,METHYL-HISTIDINE-2TMS-1M/z168,5,4
OCTADECENOIC-ACID--9-(Z)-TMS-1M/z222,OCTADECENOIC-ACID--9-(Z)-TMS-1M/z222,5,4
SERINE-N-O-O-TMS-1M/z307,SERINE-N-O-O-TMS-1M/z307,5,4
PYROGLUTAMIC-ACID-N-O-TMS-1M/z159,PYROGLUTAMIC-ACID-N-O-TMS-1M/z159,5,4
CYSTEINE-N-O-S-TMS-1M/z218,CYSTEINE-N-O-S-TMS-1M/z218,5,4
GLUTAMINE-N-N-O-TMS_1-1M/z347,GLUTAMINE-N-N-O-TMS_1-1M/z347,5,4
LAMINARIBIOSE-MEOX-8TMS_1-1M/z217,LAMINARIBIOSE-MEOX-8TMS_1-1M/z217,5,4
CHOLESTEROL-TMS-1M/z247,CHOLESTEROL-TMS-1M/z247,5,4
OCTADECENOIC-ACID--9-(E)-TMS-1M/z339,OCTADECENOIC-ACID--9-(E)-TMS-1M/z339,5,4
HYPOXANTHINE-2TMS-1M/z282,HYPOXANTHINE-2TMS-1M/z282,5,4
LYSINE-N-N-O-TMS_1-1M/z102,LYSINE-N-N-O-TMS_1-1M/z102,5,4
SORBOSE-MEOX-5TMS_1-1M/z364,SORBOSE-MEOX-5TMS_1-1M/z364,5,3
VALINE-N-O-TMS-1M/z246,VALINE-N-O-TMS-1M/z246,5,3
NIGEROSE-MEOX8TMS_2-1M/z361,NIGEROSE-MEOX8TMS_2-1M/z361,5,3
PHENYLALANINE-N-O-TMS-1M/z268,PHENYLALANINE-N-O-TMS-1M/z268,5,3
ISOERYTHRITOL-4TMS-1M/z277,ISOERYTHRITOL-4TMS-1M/z277,5,3
THREONINE-N-O-O-TMS-1M/z293,THREONINE-N-O-O-TMS-1M/z293,5,2
Kynuerine_Mz192Time:-373.01-to-374.92-Mass:-192-to-192,Kynuerine_Mz192Time:-373.01-to-374.92-Mass:-192-to-192,5,2
ERYTHRITOL-4TMS-1M/z277,ERYTHRITOL-4TMS-1M/z277,5,2
URIC-ACID-N-O-O-O-TMS-1M/z72,URIC-ACID-N-O-O-O-TMS-1M/z72,5,2
OCTADECADIENOIC-ACID--9-12-(Z-Z)-TMS-1M/z337,OCTADECADIENOIC-ACID--9-12-(Z-Z)-TMS-1M/z337,5,1
MALTOSE-MEOX-8TMS_1-1M/z361,MALTOSE-MEOX-8TMS_1-1M/z361,5,1
MALIC-ACID-3TMS-1M/z245,MALIC-ACID-3TMS-1M/z245,5,1
ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230,ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230,5,1
LEUCINE--N-O-TMS-1M/z158,LEUCINE--N-O-TMS-1M/z158,5,1
HEPTADECANOIC-ACID-TMS-1M/z132,HEPTADECANOIC-ACID-TMS-1M/z132,5,1
SALICYLIC-ACID-2TMS-1M/z268,SALICYLIC-ACID-2TMS-1M/z268,5,0
