id,label,group,nodesize
ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230,ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230,5,10
TAURINE-3TMS-1M/z328,TAURINE-3TMS-1M/z328,5,9
ORNITHINE-N-N-N-O-TMS_2-1M/z420,ORNITHINE-N-N-N-O-TMS_2-1M/z420,5,9
2-AMINOBUTYRIC-ACID--O-N-TMS-1M/z130,2-AMINOBUTYRIC-ACID--O-N-TMS-1M/z130,5,9
SERINE-N-O-O-TMS-1M/z307,SERINE-N-O-O-TMS-1M/z307,5,9
INOSINE-4TMS-1M/z217,INOSINE-4TMS-1M/z217,5,9
SUCROSE-8TMS-1M/z362,SUCROSE-8TMS-1M/z362,5,8
CITRIC-ACID-4TMS-1M/z465,CITRIC-ACID-4TMS-1M/z465,5,8
BETA-ALANINE--N-N-O-TMS-1M/z304,BETA-ALANINE--N-N-O-TMS-1M/z304,5,8
VALINE-N-O-TMS-1M/z246,VALINE-N-O-TMS-1M/z246,5,8
HEXADECANOIC-ACID-TMS-1M/z171,HEXADECANOIC-ACID-TMS-1M/z171,5,8
FUMARIC-ACID-2TMS-1M/z246,FUMARIC-ACID-2TMS-1M/z246,5,8
CELLOBIOSE-MEOX-8TMS_2-1M/z361,CELLOBIOSE-MEOX-8TMS_2-1M/z361,5,8
HEPTADECANOIC-ACID-TMS-1M/z132,HEPTADECANOIC-ACID-TMS-1M/z132,5,8
LYSINE-N-N-O-TMS_1-1M/z102,LYSINE-N-N-O-TMS_1-1M/z102,5,7
METHYL-HISTIDINE-2TMS-1M/z168,METHYL-HISTIDINE-2TMS-1M/z168,5,7
CYSTEINE-N-O-S-TMS-1M/z218,CYSTEINE-N-O-S-TMS-1M/z218,5,7
THREONINE-N-O-O-TMS-1M/z293,THREONINE-N-O-O-TMS-1M/z293,5,7
PHENYLALANINE-N-O-TMS-1M/z268,PHENYLALANINE-N-O-TMS-1M/z268,5,7
DODECANOICACID-TMS-1M/z257,DODECANOICACID-TMS-1M/z257,5,6
GAMMA-TOCOPHEROL-TMS-1,GAMMA-TOCOPHEROL-TMS-1,5,6
LAMINARIBIOSE-MEOX8TMS_2-1M/z361,LAMINARIBIOSE-MEOX8TMS_2-1M/z361,5,6
SALICYLIC-ACID-2TMS-1M/z268,SALICYLIC-ACID-2TMS-1M/z268,5,6
ALANINE-N-O-TMS-1M/z192,ALANINE-N-O-TMS-1M/z192,5,6
NIGEROSE-MEOX8TMS_2-1M/z361,NIGEROSE-MEOX8TMS_2-1M/z361,5,5
Kynuerine_Mz192Time:-373.01-to-374.92-Mass:-192-to-192,Kynuerine_Mz192Time:-373.01-to-374.92-Mass:-192-to-192,5,5
GLYCERIC-ACID-3TMS-1M/z307,GLYCERIC-ACID-3TMS-1M/z307,5,5
GLUTAMINE-N-N-O-TMS_1-1M/z347,GLUTAMINE-N-N-O-TMS_1-1M/z347,5,5
PYROGLUTAMIC-ACID-N-O-TMS-1M/z159,PYROGLUTAMIC-ACID-N-O-TMS-1M/z159,5,5
OCTADECANOIC-ACID-TMS-1M/z313,OCTADECANOIC-ACID-TMS-1M/z313,5,5
MALTOSE-MEOX-8TMS_1-1M/z361,MALTOSE-MEOX-8TMS_1-1M/z361,5,5
HYPOXANTHINE-2TMS-1M/z282,HYPOXANTHINE-2TMS-1M/z282,5,4
MALIC-ACID-3TMS-1M/z245,MALIC-ACID-3TMS-1M/z245,5,4
TRYPTOPHAN-N-N-O-TMS-1M/z303,TRYPTOPHAN-N-N-O-TMS-1M/z303,5,3
ISOLEUCINE--N-O-TMS-1M/z233,ISOLEUCINE--N-O-TMS-1M/z233,5,3
-Tryptophan_Ri2161Mz202,-Tryptophan_Ri2161Mz202,5,3
Myo_Inositol_phosphate_Ri2399Mz299,Myo_Inositol_phosphate_Ri2399Mz299,5,3
CREATININE-3TMS-1M/z329,CREATININE-3TMS-1M/z329,5,3
N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1M/z159,N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1M/z159,5,3
Benzenebutanoic_acid_Ri2182Mz192,Benzenebutanoic_acid_Ri2182Mz192,5,3
CHOLESTEROL-TMS-1M/z247,CHOLESTEROL-TMS-1M/z247,5,3
GLYCINE-N-N-O-TMS-1M/z246,GLYCINE-N-N-O-TMS-1M/z246,5,3
ERYTHRITOL-4TMS-1M/z277,ERYTHRITOL-4TMS-1M/z277,5,3
FRUCTOSE-MEOX-5TMS_1-1M/z366,FRUCTOSE-MEOX-5TMS_1-1M/z366,5,2
ALPHA-TOCOPHEROL-TMS-1M/z504,ALPHA-TOCOPHEROL-TMS-1M/z504,5,2
BENZOIC-ACID-TMS-1,BENZOIC-ACID-TMS-1,5,2
