id,label,group,nodesize
TOR3A,TOR3A,1,28
GAS6,GAS6,1,25
EMR4P,EMR4P,1,24
RBPJ,RBPJ,1,23
KCNQ5,KCNQ5,1,18
RPL23AP64,RPL23AP64,1,17
IFI6,IFI6,1,16
CDKN1A,CDKN1A,1,16
DYNC2H1,DYNC2H1,1,16
ANKS6,ANKS6,1,15
STAB1,STAB1,1,15
PLCL1,PLCL1,1,12
C11orf21,C11orf21,1,11
PSMB5,PSMB5,1,11
PDS5B,PDS5B,1,11
PPARGC1B,PPARGC1B,1,10
CEP85L,CEP85L,1,10
GTF3C3,GTF3C3,1,10
CD300C,CD300C,1,9
UBE2Z,UBE2Z,1,9
ZNF585A,ZNF585A,1,9
RIC3,RIC3,1,8
C1QC,C1QC,1,8
GOLGA2P5,GOLGA2P5,1,8
BAIAP2-AS1,BAIAP2-AS1,1,8
DACT1,DACT1,1,8
EID2B,EID2B,1,7
RNF19A,RNF19A,1,7
ARMC2,ARMC2,1,6
NSD1,NSD1,1,6
XKRX,XKRX,1,6
BTLA,BTLA,1,5
ZNF714,ZNF714,1,5
C9orf89,C9orf89,1,5
BCRP3,BCRP3,1,5
PCBD1,PCBD1,1,5
ANXA4,ANXA4,1,5
EIF2AK3,EIF2AK3,1,4
PACS1,PACS1,1,4
TCN2,TCN2,1,4
PTGIR,PTGIR,1,4
EMP3,EMP3,1,4
NAPRT1,NAPRT1,1,4
ZFYVE9,ZFYVE9,1,3
NAP1L1,NAP1L1,1,3
LEF1,LEF1,1,3
LAMTOR2,LAMTOR2,1,3
SPICE1,SPICE1,1,3
MAP3K6,MAP3K6,1,2
EIF6,EIF6,1,2
CD300E,CD300E,1,2
KLHDC8B,KLHDC8B,1,2
LOH12CR1,LOH12CR1,1,2
ACP2,ACP2,1,2
ZNF597,ZNF597,1,1
DNASE2,DNASE2,1,1
ANO10,ANO10,1,1
DNASE1L1,DNASE1L1,1,1
ALAD,ALAD,1,1
SFT2D1,SFT2D1,1,1
TBPL1,TBPL1,1,1
LY6E,LY6E,1,1
MERTK,MERTK,1,1
BLOC1S4,BLOC1S4,1,1
IFITM1,IFITM1,1,1
SCO2,SCO2,1,1
DTNB,DTNB,1,1
METRNL,METRNL,1,0
MR1,MR1,1,0
P2RY2,P2RY2,1,0
PAQR4,PAQR4,1,0
C2,C2,1,0
hematocrit,hematocrit,2,47
lymphocytes,lymphocytes,2,45
mch,mch,2,43
monocytes,monocytes,2,42
creatinine,creatinine,2,42
ast,ast,2,41
crp,crp,2,35
eosinophils,eosinophils,2,34
hemoglobin,hemoglobin,2,34
leukocytes,leukocytes,2,33
neutrophils,neutrophils,2,30
mcv,mcv,2,28
alt,alt,2,25
platelets,platelets,2,22
basophils,basophils,2,8
CSF1,CSF1,3,100
CXCL11,CXCL11,3,62
MCP2,MCP2,3,49
MCP3,MCP3,3,46
RANKL,RANKL,3,45
IL15,IL15,3,44
OSM,OSM,3,37
MCP4,MCP4,3,36
TRAIL,TRAIL,3,33
CX3CL1,CX3CL1,3,29
CXCL10,CXCL10,3,29
ENTPD5,ENTPD5,4,42
S100P,S100P,4,34
EGLN1,EGLN1,4,24
FGF-19,FGF-19,4,19
NTF4,NTF4,4,16
CTSO,CTSO,4,16
IRF9,IRF9,4,15
PAG1,PAG1,4,15
TRIM5,TRIM5,4,13
PLXNA4,PLXNA4,4,13
IRAK1,IRAK1,4,12
NFATC3,NFATC3,4,12
TINAGL1,TINAGL1,4,10
APEX1,APEX1,4,10
PSIP1,PSIP1,4,10
DDC,DDC,4,10
IL7,IL7,4,10
CD40,CD40,4,10
CCL25,CCL25,4,8
CD164,CD164,4,8
DFFA,DFFA,4,8
BAG6,BAG6,4,8
CXCL12,CXCL12,4,8
ZBTB16,ZBTB16,4,8
DDX58,DDX58,4,7
CCL3,CCL3,4,7
COMT,COMT,4,6
CCL23,CCL23,4,6
NOMO1,NOMO1,4,6
VEGFA,VEGFA,4,6
CD5,CD5,4,6
IRAK4,IRAK4,4,6
CXCL1,CXCL1,4,5
GLB1,GLB1,4,5
HDGF,HDGF,4,5
USP8,USP8,4,5
EDAR,EDAR,4,5
TRAF2,TRAF2,4,5
GALNT3,GALNT3,4,5
FCRL6,FCRL6,4,5
TREM1,TREM1,4,5
CNTNAP2,CNTNAP2,4,5
CKAP4,CKAP4,4,4
STAMPB,STAMPB,4,3
SEMA3F,SEMA3F,4,3
LAG3,LAG3,4,3
CST5,CST5,4,3
CRKL,CRKL,4,3
TSHB,TSHB,4,3
CLEC6A,CLEC6A,4,3
MMP-1,MMP-1,4,3
PRDX5,PRDX5,4,2
CA13,CA13,4,1
Flt3L,Flt3L,4,1
AXIN1,AXIN1,4,1
ANGPT2,ANGPT2,4,1
TNFRSF9,TNFRSF9,4,1
EN-RAGE,EN-RAGE,4,1
DAB2,DAB2,4,1
KLRD1,KLRD1,4,1
TWEAK,TWEAK,4,1
PD-L1,PD-L1,4,1
DNER,DNER,4,1
APLP1,APLP1,4,1
Beta-NGF,Beta-NGF,4,1
CANT1,CANT1,4,1
ISOLEUCINE-N-O-TMS-1M/z233,ISOLEUCINE-N-O-TMS-1M/z233,5,29
THREONINE-N-O-O-TMS-1M/z293,THREONINE-N-O-O-TMS-1M/z293,5,24
TYROSINE-N-O-O-TMS-1M/z382,TYROSINE-N-O-O-TMS-1M/z382,5,21
LEUCINE-N-O-TMS-1M/z158,LEUCINE-N-O-TMS-1M/z158,5,15
PYROGLUTAMICACID-N-O-TMS-1M/z159,PYROGLUTAMICACID-N-O-TMS-1M/z159,5,13
ORNITHINE-N-N-N-O-TMS_2-1M/z420,ORNITHINE-N-N-N-O-TMS_2-1M/z420,5,13
TRYPTOPHAN-N-N-O-TMS-1M/z303,TRYPTOPHAN-N-N-O-TMS-1M/z303,5,12
CELLOBIOSE-MEOX8TMS_2-1M/z361,CELLOBIOSE-MEOX8TMS_2-1M/z361,5,11
CHOLESTEROL-TMS-1M/z247,CHOLESTEROL-TMS-1M/z247,5,11
HYPOXANTHINE-2TMS-1M/z282,HYPOXANTHINE-2TMS-1M/z282,5,11
BETA-ALANINE-N-N-O-TMS-1M/z304,BETA-ALANINE-N-N-O-TMS-1M/z304,5,11
Myo_Inositol_phosphate_Ri2399Mz299,Myo_Inositol_phosphate_Ri2399Mz299,5,11
SERINE-N-O-O-TMS-1M/z307,SERINE-N-O-O-TMS-1M/z307,5,10
ALANINE-N-O-TMS-1M/z192,ALANINE-N-O-TMS-1M/z192,5,10
LYSINE-N-N-O-TMS_1-1M/z102,LYSINE-N-N-O-TMS_1-1M/z102,5,10
TAURINE-3TMS-1M/z328,TAURINE-3TMS-1M/z328,5,9
1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1M/z301,1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1M/z301,5,9
GLUTAMINE-N-N-O-TMS_1-1M/z347,GLUTAMINE-N-N-O-TMS_1-1M/z347,5,8
BETA-ALANINE-N-O-TMS-1M/z218,BETA-ALANINE-N-O-TMS-1M/z218,5,8
METHYLHISTIDINE-2TMS-1M/z168,METHYLHISTIDINE-2TMS-1M/z168,5,8
3-HYDROXYBUTYRICACID-2TMS-1M/z204,3-HYDROXYBUTYRICACID-2TMS-1M/z204,5,7
ORNITHINE-N-N-O-TMS_1-1M/z144,ORNITHINE-N-N-O-TMS_1-1M/z144,5,7
GALACTURONICACID-MEOX5TMS_2-1M/z334,GALACTURONICACID-MEOX5TMS_2-1M/z334,5,7
PHENYLALANINE-N-O-TMS-1M/z268,PHENYLALANINE-N-O-TMS-1M/z268,5,7
SORBOSE-MEOX5TMS_2-1,SORBOSE-MEOX5TMS_2-1,5,7
ISOERYTHRITOL-4TMS-1M/z277,ISOERYTHRITOL-4TMS-1M/z277,5,7
SORBOSE-MEOX5TMS_1-1M/z364,SORBOSE-MEOX5TMS_1-1M/z364,5,7
LYSINE-N-N-O-TMS_3-1,LYSINE-N-N-O-TMS_3-1,5,7
Tryptophan_Ri2161Mz202,Tryptophan_Ri2161Mz202,5,6
OCTADECANOICACID-TMS-1M/z313,OCTADECANOICACID-TMS-1M/z313,5,6
N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1M/z159,N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1M/z159,5,6
LAMINARIBIOSE-MEOX8TMS_2-1M/z361,LAMINARIBIOSE-MEOX8TMS_2-1M/z361,5,6
FRUCTOSE-MEOX5TMS_1-1M/z366,FRUCTOSE-MEOX5TMS_1-1M/z366,5,6
ASPARAGINE-N-N-O-TMS-1M/z231,ASPARAGINE-N-N-O-TMS-1M/z231,5,6
OCTADECENOICACID--9-(Z)-TMS-1M/z222,OCTADECENOICACID--9-(Z)-TMS-1M/z222,5,6
GLYCINE-N-N-O-TMS-1M/z246,GLYCINE-N-N-O-TMS-1M/z246,5,6
NAPROXEN-TMS-1M/z303,NAPROXEN-TMS-1M/z303,5,5
LYXOSE-MEOX4TMS_1-1M/z104,LYXOSE-MEOX4TMS_1-1M/z104,5,5
GAMMA-TOCOPHEROL-TMS-1,GAMMA-TOCOPHEROL-TMS-1,5,5
INOSITOL-scyllo-6TMS-1M/z432,INOSITOL-scyllo-6TMS-1M/z432,5,5
FUMARICACID-2TMS-1M/z246,FUMARICACID-2TMS-1M/z246,5,5
CITRICACID-4TMS-1M/z465,CITRICACID-4TMS-1M/z465,5,5
URICACID-N-O-O-O-TMS-1M/z72,URICACID-N-O-O-O-TMS-1M/z72,5,5
VALINE-N-O-TMS-1M/z246,VALINE-N-O-TMS-1M/z246,5,5
Kynuerine_Mz192Time:373.01to374.92Mass:192to192,Kynuerine_Mz192Time:373.01to374.92Mass:192to192,5,5
ALPHA-TOCOPHEROL-TMS-1M/z504,ALPHA-TOCOPHEROL-TMS-1M/z504,5,4
INOSINE-4TMS-1M/z217,INOSINE-4TMS-1M/z217,5,4
ERYTHRITOL-4TMS-1M/z277,ERYTHRITOL-4TMS-1M/z277,5,4
MALICACID-3TMS-1M/z245,MALICACID-3TMS-1M/z245,5,4
CREATININE-3TMS-1M/z329,CREATININE-3TMS-1M/z329,5,4
ISOCITRICACID-4TMS-1M/z466,ISOCITRICACID-4TMS-1M/z466,5,4
2-AMINOBUTYRICACID-O-N-TMS-1M/z130,2-AMINOBUTYRICACID-O-N-TMS-1M/z130,5,3
OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1M/z337,OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1M/z337,5,3
HEXADECANOICACID-TMS-1M/z171,HEXADECANOICACID-TMS-1M/z171,5,3
HEPTADECANOICACID-TMS-1M/z132,HEPTADECANOICACID-TMS-1M/z132,5,3
SALICYLICACID-2TMS-1M/z268,SALICYLICACID-2TMS-1M/z268,5,3
DODECANOICACID-TMS-1M/z257,DODECANOICACID-TMS-1M/z257,5,3
LAMINARIBIOSE-MEOX8TMS_1-1M/z217,LAMINARIBIOSE-MEOX8TMS_1-1M/z217,5,3
BENZOICACID-TMS-1,BENZOICACID-TMS-1,5,3
LACTOSE-MEOX8TMS_1-1M/z204,LACTOSE-MEOX8TMS_1-1M/z204,5,3
LYSINE-N-N-N-O-TMS_2-1,LYSINE-N-N-N-O-TMS_2-1,5,3
1-MONOPALMITOYLGLYCEROL-2TMS-1M/z371,1-MONOPALMITOYLGLYCEROL-2TMS-1M/z371,5,3
ACETAMINOPHEN-2TMS-1M/z297,ACETAMINOPHEN-2TMS-1M/z297,5,3
MALTOSE-MEOX8TMS_1-1M/z361,MALTOSE-MEOX8TMS_1-1M/z361,5,2
GLYCERICACID-3TMS-1M/z307,GLYCERICACID-3TMS-1M/z307,5,2
OCTADECENOICACID-9-(E)-TMS-1M/z339,OCTADECENOICACID-9-(E)-TMS-1M/z339,5,2
NIGEROSE-MEOX8TMS_2-1M/z361,NIGEROSE-MEOX8TMS_2-1M/z361,5,2
SUCROSE-8TMS-1M/z362,SUCROSE-8TMS-1M/z362,5,2
Benzenebutanoic_acid_Ri2182Mz192,Benzenebutanoic_acid_Ri2182Mz192,5,1
ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230,ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230,5,1
CYSTINE-N-N-O-O-TMS-1M/z297,CYSTINE-N-N-O-O-TMS-1M/z297,5,1
