id,source,target,Weight,group
0,EIF2B1,PCNP,0.8545454545454544,1
1,UQCRC2,PCNP,0.9272727272727272,1
2,TUFM,PCNP,0.8060606060606059,1
3,SAMM50,PCNP,0.8181818181818182,1
4,RPL7L1,PCNP,0.9030303030303028,1
5,GATAD2A,PCNP,0.8060606060606059,0
6,POLR3F,RABEP2,0.8303030303030302,0
7,LACTOSE-MEOX8TMS_1-1M/z204,RABEP2,0.8060606060606059,1
8,hematocrit,HLA-DMB,0.8753839828992931,0
9,1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1M/z301,HLA-DMB,0.8024353176576853,0
10,TMED10P1,ARRB1,0.8303030303030302,0
11,EIF2B1,MPHOSPH9,0.8666666666666665,1
12,EI24,MPHOSPH9,0.8545454545454544,1
13,TBKBP1,MPHOSPH9,0.8666666666666665,0
14,KANSL2,MPHOSPH9,0.8181818181818182,1
15,SNX9,MPHOSPH9,0.8666666666666665,1
16,c_MCP4,MPHOSPH9,0.8181818181818182,0
17,SAMM50,VPS45,0.9515151515151514,1
18,KIAA1468,VPS45,0.8060606060606059,1
19,NCBP1,VPS45,0.9030303030303028,1
20,COPG2,VPS45,0.8424242424242423,1
21,TMX4,VPS45,0.8666666666666665,0
22,PCNP,EIF2B1,0.8545454545454544,1
23,MPHOSPH9,EIF2B1,0.8666666666666665,1
24,EI24,EIF2B1,0.8666666666666665,1
25,TBKBP1,EIF2B1,0.8787878787878788,0
26,SAMM50,EIF2B1,0.8060606060606059,1
27,DKC1,EIF2B1,0.8909090909090909,1
28,VAT1,ZNF385D,0.8424242424242423,1
29,CENPW,HNRNPC,0.8424242424242423,1
30,p_DPP7,HNRNPC,0.8424242424242423,1
31,TUFM,BCKDHA,0.9030303030303028,1
32,ATP11B,BCKDHA,0.8181818181818182,0
33,IGF1R,BCKDHA,0.8909090909090909,0
34,HNRNPH1,BCKDHA,0.8060606060606059,1
35,TMX4,BCKDHA,0.8666666666666665,0
36,TMED10P1,PMS2CL,0.8545454545454544,0
37,KRT18,PMS2CL,0.8303030303030302,0
38,ZNF385D,VAT1,0.8424242424242423,1
39,LOC283070,VAT1,0.8181818181818182,1
40,PTPN1,TENM1,0.8545454545454544,1
41,p_CCL20,TENM1,0.8060606060606059,1
