id,source,target,Weight,group
104,UQCRC2,BCKDHA,0.7696969696969697,1
105,TUFM,BCKDHA,0.9030303030303028,1
106,ATP11B,BCKDHA,0.8181818181818182,0
107,IGF1R,BCKDHA,0.8909090909090909,0
108,HNRNPH1,BCKDHA,0.8060606060606059,1
109,SPRYD3,BCKDHA,0.7454545454545454,0
110,MZT1,BCKDHA,0.7696969696969697,1
111,COPG2,BCKDHA,0.7575757575757575,1
112,TMX4,BCKDHA,0.8666666666666665,0
113,C11orf30,BCKDHA,0.7696969696969697,0
114,ast,BCKDHA,0.709090909090909,1
115,MPHOSPH9,PMS2CL,0.709090909090909,1
116,EIF2B1,PMS2CL,0.7333333333333332,1
117,TMED10P1,PMS2CL,0.8545454545454544,0
118,CDC26,PMS2CL,0.7818181818181817,1
119,KRT18,PMS2CL,0.8303030303030302,0
120,ZFYVE19,PMS2CL,0.709090909090909,1
121,DKC1,PMS2CL,0.7939393939393938,1
122,INOSINE-4TMS-1M/z217,PMS2CL,0.7575757575757575,0
123,MRPL51,SYNJ2,0.7454545454545454,0
124,ZNF385D,VAT1,0.8424242424242423,1
125,LOC283070,VAT1,0.8181818181818182,1
126,LACTOSE-MEOX8TMS_1-1M/z204,VAT1,0.7818181818181817,0
127,EIF2B1,TENM1,0.7333333333333332,0
128,ZMYND12,TENM1,0.7333333333333332,0
129,EI24,TENM1,0.709090909090909,0
130,PTPN1,TENM1,0.8545454545454544,1
131,TBKBP1,TENM1,0.709090909090909,1
132,CCL7,TENM1,0.7212121212121211,1
133,p_CCL20,TENM1,0.8060606060606059,1
134,p_FGF-19,TENM1,0.7212121212121211,1
135,p_CLEC6A,TENM1,0.7454545454545454,1
136,p_TRAF2,TENM1,0.7212121212121211,1
137,p_CLEC4C,TENM1,0.7212121212121211,1
138,p_CD244,TENM1,0.7575757575757575,1
139,p_CD28,TENM1,0.7818181818181817,1
140,p_DAPP1,TENM1,0.7818181818181817,1
141,p_NCR1,TENM1,0.8060606060606059,1
142,p_MCP1,TENM1,0.8060606060606059,1
143,p_AREG,TENM1,0.8060606060606059,1
144,p_SERPINB6,TENM1,0.7454545454545454,1
145,p_CCL11,TENM1,0.7212121212121211,1
146,p_TXNDC5,TENM1,0.7575757575757575,1
147,p_CLEC4D,TENM1,0.7333333333333332,1
148,p_FAM3C,TENM1,0.7212121212121211,1
149,p_NTF4,TENM1,0.7818181818181817,1
150,p_VEGFA,TENM1,0.8424242424242423,1
151,p_CNTNAP2,TENM1,0.7212121212121211,1
152,p_TNFRSF9,TENM1,0.7818181818181817,1
153,p_Flt3L,TENM1,0.8060606060606059,1
154,p_APLP1,TENM1,0.7818181818181817,1
155,p_CLMP,TENM1,0.7333333333333332,1
156,p_PSIP1,TENM1,0.7818181818181817,1
157,p_PD-L1,TENM1,0.7939393939393938,1
158,p_NFATC3,TENM1,0.7939393939393938,1
159,p_FGF-21,TENM1,0.7939393939393938,1
160,p_CD6,TENM1,0.7818181818181817,1
161,p_MCP-2,TENM1,0.8303030303030302,1
162,p_CCL19,TENM1,0.7212121212121211,1
163,p_BACH1,TENM1,0.7454545454545454,1
164,p_IL10,TENM1,0.7939393939393938,1
165,p_NPTXR,TENM1,0.7212121212121211,1
166,p_MCP4,TENM1,0.8303030303030302,1
167,p_TNFSF14,TENM1,0.7575757575757575,1
168,p_GHRL,TENM1,0.7818181818181817,1
169,p_METRNL,TENM1,0.7454545454545454,1
170,p_TRIM5,TENM1,0.7212121212121211,1
