id,source,target,Weight,group
362,Kynuerine_Mz192-Time:-373.01-to-374.92-Mass:-192-to-192,MMP-10,0.9769296495059444,1
363,SERINE-N-O-O-TMS-1-M/z307,TNFRSF9,0.9608628895899051,0
364,SERINE-N-O-O-TMS-1-M/z307,IL10,0.9683015403272207,1
365,BETA-ALANINE-N-O-TMS-1-M/z218,CSF-1,0.9675698898052937,0
366,BETA-ALANINE-N-O-TMS-1-M/z218,CXCL5,0.9740150697808675,0
367,BETA-ALANINE-N-O-TMS-1-M/z218,FGF23,0.9780490655711125,0
368,BETA-ALANINE-N-O-TMS-1-M/z218,CX3CL1,0.9500336301981807,1
369,BETA-ALANINE-N-O-TMS-1-M/z218,MCP3,0.9703655390778142,0
370,N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1-M/z159,LIF-R,0.9526042260056324,1
371,MALIC-ACID-3TMS-1-M/z245,Flt3L,0.9800373515610211,1
372,CREATININE-3TMS-1-M/z329,IL7,0.9640818299256015,1
373,OCTADECADIENOIC-ACID--9-12-(Z-Z)-TMS-1-M/z337,TWEAK,0.952113397189064,0
374,LAMINARIBIOSE-MEOX-8TMS_1-1-M/z217,CXCL9,0.9931324053821382,1
375,SORBOSE-MEOX-5TMS_1-1-M/z364,FRUCTOSE-MEOX-5TMS_1-1-M/z366,0.9804550652507844,1
376,SORBOSE-MEOX-5TMS_1-1-M/z364,SORBOSE-MEOX-5TMS_2-1,0.9987898142110426,1
377,SORBOSE-MEOX-5TMS_2-1,FRUCTOSE-MEOX-5TMS_1-1-M/z366,0.9753708388816169,1
378,SORBOSE-MEOX-5TMS_2-1,SORBOSE-MEOX-5TMS_1-1-M/z364,0.9987898142110426,1
379,LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361,CD5,0.9665805773832269,0
380,LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361,CD8a,0.9851976086395781,0
381,LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361,MCP4,0.9719337873018647,1
382,LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361,TGF-alpha,0.9523965402002262,0
383,LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361,CCL23,0.975161610772148,0
384,MALTOSE-MEOX-8TMS_1-1-M/z361,CD40,0.9509311595539788,0
385,MALTOSE-MEOX-8TMS_1-1-M/z361,TNFSF14,0.9943774295183052,1
386,MALTOSE-MEOX-8TMS_1-1-M/z361,CELLOBIOSE-MEOX-8TMS_2-1-M/z361,0.9672353361916299,1
387,METHYL-HISTIDINE-2TMS-1-M/z168,CSF-1,0.9795856059502893,0
388,METHYL-HISTIDINE-2TMS-1-M/z168,CXCL5,0.968947927230329,0
389,METHYL-HISTIDINE-2TMS-1-M/z168,FGF23,0.9747458282653213,0
390,METHYL-HISTIDINE-2TMS-1-M/z168,CCL3,0.9708208548394143,1
391,METHYL-HISTIDINE-2TMS-1-M/z168,CX3CL1,0.9749437488233005,1
392,METHYL-HISTIDINE-2TMS-1-M/z168,MCP3,0.973435222711137,0
393,METHYL-HISTIDINE-2TMS-1-M/z168,MCP-2,0.9871087057931932,0
394,TAURINE-3TMS-1-M/z328,IL-12B,0.9612447143589419,1
395,URIC-ACID-N-O-O-O-TMS-1-M/z72,CSF-1,0.9844639441131942,0
396,URIC-ACID-N-O-O-O-TMS-1-M/z72,CXCL5,0.9733736086780739,0
397,URIC-ACID-N-O-O-O-TMS-1-M/z72,FGF23,0.9678476090019111,0
398,URIC-ACID-N-O-O-O-TMS-1-M/z72,CCL3,0.9704781306068074,1
399,URIC-ACID-N-O-O-O-TMS-1-M/z72,CX3CL1,0.980227177545906,1
