id,label,group,nodesize
IQSEC2,IQSEC2,1,27
PCNP,PCNP,1,26
CORO2A,CORO2A,1,25
RABEP2,RABEP2,1,25
HLA-DMB,HLA-DMB,1,20
FOXD2,FOXD2,1,18
ARRB1,ARRB1,1,18
MPHOSPH9,MPHOSPH9,1,17
VPS45,VPS45,1,17
EIF2B1,EIF2B1,1,16
ZMYND12,ZMYND12,1,16
MAN2C1,MAN2C1,1,15
ZNF385D,ZNF385D,1,15
HNRNPC,HNRNPC,1,14
BCKDHA,BCKDHA,1,12
PMS2CL,PMS2CL,1,12
SYNJ2,SYNJ2,1,11
VAT1,VAT1,1,10
TENM1,TENM1,1,10
TSFM,TSFM,1,10
EI24,EI24,1,9
UQCRC2,UQCRC2,1,9
PTPN1,PTPN1,1,9
ZC2HC1A,ZC2HC1A,1,9
SLC39A9,SLC39A9,1,8
ZNF434,ZNF434,1,7
TBKBP1,TBKBP1,1,7
ZNF208,ZNF208,1,7
TUFM,TUFM,1,7
MRPL51,MRPL51,1,7
SAMM50,SAMM50,1,7
KANSL2,KANSL2,1,6
ATP11B,ATP11B,1,6
TMED10P1,TMED10P1,1,6
C17orf79,C17orf79,1,5
KIAA1468,KIAA1468,1,5
CCL7,CCL7,1,5
CDC26,CDC26,1,5
IGF1R,IGF1R,1,5
NCBP1,NCBP1,1,5
GRWD1,GRWD1,1,5
C20orf112,C20orf112,1,4
RPL7L1,RPL7L1,1,4
LOC283070,LOC283070,1,4
C16orf80,C16orf80,1,4
CENPW,CENPW,1,3
ZBTB10,ZBTB10,1,3
AMOTL1,AMOTL1,1,3
FAM198B,FAM198B,1,3
HNRNPH1,HNRNPH1,1,3
CCDC85C,CCDC85C,1,3
TEK,TEK,1,3
LOC100128398,LOC100128398,1,2
SPRYD3,SPRYD3,1,2
MZT1,MZT1,1,2
ZNF484,ZNF484,1,1
POLR3F,POLR3F,1,1
PROCA1,PROCA1,1,1
SNX9,SNX9,1,1
CCDC50,CCDC50,1,1
KRT18,KRT18,1,1
COPG2,COPG2,1,1
GATAD2A,GATAD2A,1,1
TMX4,TMX4,1,0
C11orf30,C11orf30,1,0
ZFYVE19,ZFYVE19,1,0
FAM173B,FAM173B,1,0
MRPS31,MRPS31,1,0
CAPRIN1,CAPRIN1,1,0
LOC148696,LOC148696,1,0
DKC1,DKC1,1,0
monocytes,monocytes,2,69
creatinine,creatinine,2,68
mcv,mcv,2,46
eosinophils,eosinophils,2,45
mch,mch,2,42
leukocytes,leukocytes,2,41
hematocrit,hematocrit,2,40
alt,alt,2,35
ast,ast,2,33
lymphocytes,lymphocytes,2,32
neutrophils,neutrophils,2,26
platelets,platelets,2,26
hemoglobin,hemoglobin,2,23
basophils,basophils,2,18
crp,crp,2,10
IL15,IL15,3,99
CX3CL1,CX3CL1,3,93
TRAIL,TRAIL,3,62
MCP2,MCP2,3,56
CSF1,CSF1,3,53
OSM,OSM,3,48
