id,label,group,nodesize
ALPHA-TOCOPHEROL-TMS-1M/z504,ALPHA-TOCOPHEROL-TMS-1M/z504,5,8
ERYTHRITOL-4TMS-1M/z277,ERYTHRITOL-4TMS-1M/z277,5,6
ISOCITRICACID-4TMS-1M/z466,ISOCITRICACID-4TMS-1M/z466,5,6
OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1M/z337,OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1M/z337,5,5
HEXADECANOICACID-TMS-1M/z171,HEXADECANOICACID-TMS-1M/z171,5,5
HEPTADECANOICACID-TMS-1M/z132,HEPTADECANOICACID-TMS-1M/z132,5,5
LAMINARIBIOSE-MEOX8TMS_1-1M/z217,LAMINARIBIOSE-MEOX8TMS_1-1M/z217,5,5
LACTOSE-MEOX8TMS_1-1M/z204,LACTOSE-MEOX8TMS_1-1M/z204,5,5
MALTOSE-MEOX8TMS_1-1M/z361,MALTOSE-MEOX8TMS_1-1M/z361,5,4
OCTADECENOICACID-9-(E)-TMS-1M/z339,OCTADECENOICACID-9-(E)-TMS-1M/z339,5,3
NIGEROSE-MEOX8TMS_2-1M/z361,NIGEROSE-MEOX8TMS_2-1M/z361,5,3
CYSTINE-N-N-O-O-TMS-1M/z297,CYSTINE-N-N-O-O-TMS-1M/z297,5,2
GLUCURONICACID-MEOX5TMS_2-1M/z334,GLUCURONICACID-MEOX5TMS_2-1M/z334,5,2
CYSTEINE-N-O-S-TMS-1M/z218,CYSTEINE-N-O-S-TMS-1M/z218,5,1
CITRULLINE-3TMS_1(Ornthine)-1,CITRULLINE-3TMS_1(Ornthine)-1,5,1
