	Score	Rank
leukocytes	13.0	1
alt	11.05422173245626	2
mcv	8.821479336655685	3
creatinine	8.181437122599826	4
neutrophils	6.907293403912719	5
basophils	5.447933598847532	6
hematocrit	5.247186879052084	7
lymphocytes	4.561888995498296	8
hemoglobin	3.9836833252708392	9
platelets	2.079364305715766	10
mch	1.7404297906653168	11
monocytes	1.6372600217007534	12
