	Score	Rank
ast	0.11869794559549623	1
hemoglobin	0.09838691883050149	2
monocytes	0.09048208452673952	3
mch	0.0770801191434219	4
lymphocytes	0.06519830634193563	5
leukocytes	0.06299220331799443	6
neutrophils	0.06086118702658009	7
crp	0.05947635579327397	8
basophils	0.05609135582668906	9
creatinine	0.05585456548703984	10
mcv	0.05439678375016504	11
hematocrit	0.054303846441176765	12
eosinophils	0.05117829168535394	13
platelets	0.04867744106547412	14
alt	0.04632259516815796	15
