	Score	Rank
SEPT10	0.08697291658152641	1
AIFM3	0.07262107756551016	2
ANKRD12	0.05345417815821656	3
AP2A1	0.040765109349310644	4
ARL2	0.03446973851195868	5
ALKBH6	0.03383920205839973	6
ACTB	0.033212314849407266	7
ADAMTSL4	0.03135326401817405	8
ADAT1	0.029721912872293886	9
ALG6	0.029433070657412762	10
ARHGAP32	0.02924204899791284	11
ABCC2	0.027723671515327515	12
ABHD14A	0.027482727538171995	13
AP3D1	0.0253437171524128	14
AP1S1	0.02398724218625047	15
AQR	0.023049961938181023	16
ALG2	0.021465197003214396	17
ARNT	0.021424311923229866	18
AP1B1	0.021129381370939178	19
ALG12	0.020554536790883177	20
ABCG1	0.01925438185244707	21
AGFG1	0.017925104125598546	22
ARHGAP25	0.016437146435411484	23
ABAT	0.016209230139187132	24
ANAPC15	0.016184257257963044	25
ARFRP1	0.015156180577927277	26
ARAP3	0.014804485648131133	27
AIMP2	0.014129701089753957	28
ABHD15	0.013685256540024652	29
ALG11	0.013576330737355579	30
ALG3	0.013013131731133037	31
APBA2	0.012560561564987593	32
ANXA7	0.012145570866966745	33
AP1M1	0.011771240353849048	34
AKIRIN1	0.011486557863481744	35
ADNP	0.009862032779432255	36
ADRB2	0.008271277476587038	37
AEBP1	0.008265938752122993	38
AGAP6	0.008221919210817703	39
AP1M2	0.00814859663524881	40
AIP	0.007063642243848192	41
AAMDC	0.007057027939380878	42
ANGEL1	0.006486538461538461	43
ARID4A	0.0064223250433776725	44
ACAP3	0.00632666122295995	45
ANKRA2	0.0062416666666666645	46
ARMC8	0.0037969924812030066	47
AGPAT1	0.0033289556563366072	48
ARPC2	0.002566272824919442	49
ADRM1	0.0023554347826086953	50
