	Score	Rank
ACONITIC-ACID--trans-3TMS-1	0.05177370169827725	1
OCTADECENOIC-ACID--9-(Z)-TMS-1M/z222	0.05017075216946558	2
1-MONOPALMITOYLGLYCEROL-2TMS-1M/z371	0.044124184238199984	3
ORNITHINE-N-N-O-TMS_1-1M/z144	0.04214913753614045	4
OCTADECADIENOIC-ACID--9-12-(Z-Z)-TMS-1M/z337	0.040449617751051166	5
ALPHA-TOCOPHEROL-TMS-1M/z504	0.034297212007456876	6
ACETAMINOPHEN-2TMS-1M/z297	0.03046120358411389	7
SERINE-N-O-O-TMS-1M/z307	0.030122873648891674	8
1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMS-derivative-1M/z301	0.029155334015420968	9
ISOERYTHRITOL-4TMS-1M/z277	0.02880168141432999	10
ERYTHRITOL-4TMS-1M/z277	0.02810063071471138	11
GLUCURONIC-ACID-MEOX-5TMS_2-1M/z334	0.027767536666549825	12
HEXADECANOIC-ACID-TMS-1M/z171	0.02750527252432098	13
LYSINE-N-N-N-O-TMS_2-1	0.024009702081917723	14
CITRULLINE-3TMS_1-(Ornthine)-1	0.023653098855445278	15
GALACTURONIC-ACID-MEOX-5TMS_2-1M/z334	0.01932452228190887	16
PYROGLUTAMIC-ACID-N-O-TMS-1M/z159	0.018002216437108264	17
CHOLESTEROL-TMS-1M/z247	0.017381855592647516	18
HEPTADECANOIC-ACID-TMS-1M/z132	0.01709709348518976	19
NIGEROSE-MEOX8TMS_2-1M/z361	0.01664157913707264	20
FUMARIC-ACID-2TMS-1M/z246	0.015049243992722248	21
SUCROSE-8TMS-1M/z362	0.014636630127399408	22
SALICYLIC-ACID-2TMS-1M/z268	0.013303876897955844	23
LYSINE-N-N-O-TMS_3-1	0.012929747788443443	24
URIC-ACID-N-O-O-O-TMS-1M/z72	0.012552023904887681	25
SORBOSE-MEOX-5TMS_1-1M/z364	0.01255032898283096	26
INOSINE-4TMS-1M/z217	0.012385712169830526	27
-Tryptophan_Ri2161Mz202	0.012306363760826005	28
PHENYLALANINE-N-O-TMS-1M/z268	0.012293145024477732	29
INOSITOL--scyllo-6TMS-1M/z432	0.012023211180229138	30
OCTADECENOIC-ACID--9-(E)-TMS-1M/z339	0.01163589309241483	31
CREATININE-3TMS-1M/z329	0.011453978102430372	32
GLUTAMINE-N-N-O-TMS_1-1M/z347	0.011201118293635017	33
THREONINE-N-O-O-TMS-1M/z293	0.010986795631904325	34
ISOLEUCINE--N-O-TMS-1M/z233	0.010521900614005876	35
LAMINARIBIOSE-MEOX-8TMS_1-1M/z217	0.01025354850463546	36
DODECANOICACID-TMS-1M/z257	0.010186469394802727	37
VALINE-N-O-TMS-1M/z246	0.010142669161477214	38
BENZOIC-ACID-TMS-1	0.010127260863130429	39
HYPOXANTHINE-2TMS-1M/z282	0.009871902599725995	40
SORBOSE-MEOX-5TMS_2-1	0.009064578908060943	41
ASPARAGINE-N-N-O-TMS-1M/z231	0.00898902384165542	42
FRUCTOSE-MEOX-5TMS_1-1M/z366	0.008914445791194046	43
2-AMINOBUTYRIC-ACID--O-N-TMS-1M/z130	0.008508139109577673	44
TRYPTOPHAN-N-N-O-TMS-1M/z303	0.008465263308120452	45
3-HYDROXYBUTYRIC-ACID-2TMS-1M/z204	0.008418638245812158	46
ADENOSINE-5-MONOPHOSPHATE-5TMS-1M/z230	0.008401677489966066	47
OCTADECANOIC-ACID-TMS-1M/z313	0.008351457287891783	48
CYSTEINE-N-O-S-TMS-1M/z218	0.008236387376225979	49
LYSINE-N-N-O-TMS_1-1M/z102	0.008220522514879331	50
LACTOSE-MEOX-8TMS_1-1M/z204	0.0077331903776003165	51
TYROSINE-N-O-O-TMS-1M/z382	0.006979300101852166	52
GLYCINE-N-N-O-TMS-1M/z246	0.006699962839093272	53
CITRIC-ACID-4TMS-1M/z465	0.006463046308344038	54
BETA-ALANINE-N-O-TMS-1M/z218	0.006275547135620225	55
Myo_Inositol_phosphate_Ri2399Mz299	0.005950911958986493	56
TAURINE-3TMS-1M/z328	0.00573871871674902	57
GLYCERIC-ACID-3TMS-1M/z307	0.005099567099567099	58
LEUCINE--N-O-TMS-1M/z158	0.005053730689600255	59
BETA-ALANINE--N-N-O-TMS-1M/z304	0.004709932113341204	60
LAMINARIBIOSE-MEOX8TMS_2-1M/z361	0.004560130821559394	61
GAMMA-TOCOPHEROL-TMS-1	0.004170238095238096	62
ORNITHINE-N-N-N-O-TMS_2-1M/z420	0.0031369047619047618	63
Kynuerine_Mz192Time:-373.01-to-374.92-Mass:-192-to-192	0.0019208895679483917	64
ISOCITRIC-ACID-4TMS-1M/z466	0.0018724838969404187	65
CELLOBIOSE-MEOX-8TMS_2-1M/z361	0.0006642857142857139	66
