 Score Rank
IL18 0.09582052669552671 1
Flt3L 0.07730648148148149 2
Beta-NGF 0.06495304232804233 3
CCL11 0.06079335016835016 4
CCL4 0.05403306878306879 5
IL7 0.039940476190476186 6
CXCL5 0.03801020408163265 7
CD5 0.03546825396825397 8
IL6 0.03423235544217687 9
CSF-1 0.03071428571428571 10
EN-RAGE 0.028841666666666665 11
IL10 0.02584062564419707 12
uPA 0.024108560090702946 13
OSM 0.023205291005291003 14
DNER 0.023191534391534388 15
CXCL9 0.022648809523809526 16
CCL23 0.021537962962962967 17
FGF-21 0.020699470899470898 18
ADA 0.016810185185185185 19
TNFRSF9 0.016749338624338625 20
MCP4 0.014536332714904144 21
TWEAK 0.013972883597883599 22
OPG 0.01330952380952381 23
MMP-10 0.013259259259259259 24
FGF23 0.01155 25
CD244 0.010596938775510205 26
IL-10RB 0.010532407407407407 27
MCP-2 0.010260281385281384 28
TRAIL 0.01005952380952381 29
CXCL6 0.009828042328042328 30
CD8a 0.009457671957671956 31
IL8 0.009285714285714284 32
PD-L1 0.008305555555555556 33
MMP-1 0.008074074074074074 34
SIRT2 0.007853061224489795 35
CCL25 0.007472222222222221 36
4E-BP1 0.007156249999999999 37
CD6 0.006855081426509998 38
CDCP1 0.005903061224489798 39
AXIN1 0.005541950113378684 40
CCL3 0.005357142857142857 41
MCP3 0.005357142857142857 42
CASP-8 0.004814814814814815 43
IL-18R1 0.004814814814814815 44
LAPTGF-beta1 0.0048000000000000004 45
CCL19 0.0028888888888888888 46
IL-12B 0.002708333333333334 47
CD40 0.002708333333333334 48
TNFSF14 0.002708333333333333 49
STAMPB 0.002708333333333333 50
ST1A1 0.002708333333333333 51
CST5 0.002653061224489796 52
MCP1 0.0025793650793650797 53
CXCL1 0.0023111111111111106 54
CCL20 0.0021666666666666666 55
