 Score Rank
PIBF1 0.05202707270483892 1
MPL 0.045538586148151365 2
MRPS33.1 0.035676684149993726 3
YWHAG 0.034362153578308775 4
MPL.1 0.031114258574081222 5
KARS 0.029745313889988377 6
TBC1D3F 0.02618481474599936 7
TRPM6 0.026001991459471817 8
KARS.1 0.021816388644881276 9
ALG14 0.02100930781331873 10
SLC25A13 0.019803169940367685 11
GMPR2 0.019558595940359864 12
FOXD3 0.018691058700490936 13
IRAK1 0.0181377361612937 14
C1orf56 0.015700233090720196 15
HLA-DOB 0.015680570309320307 16
HNRNPF.1 0.015492931260318712 17
ZBTB6 0.014637738620075575 18
ZNF394.1 0.01428311906383111 19
CORO6 0.014109641242042557 20
SAP130 0.013959466824818325 21
CAPS.1 0.013650974906701401 22
DALRD3 0.01342473494845389 23
NR4A2 0.013296412876046744 24
HLA-DOB.1 0.013210916378755447 25
TSSK1B 0.013174445115594348 26
MRPS33 0.012811555627086642 27
VAV2 0.012589452347502363 28
C17orf82 0.012357381874812634 29
ZNF549 0.012200326312576311 30
BCKDK 0.01153009402171117 31
ARRDC1.1 0.011508944690186146 32
DKFZP434H168 0.011233262927468395 33
EIF2B3.1 0.011189931673265006 34
MANBAL 0.010778216370823115 35
PCNX.1 0.010227945212999561 36
RABGAP1 0.010158420797309687 37
SF3A3 0.009987204850972965 38
LRBA 0.009821990087207482 39
SYNM 0.009433436933436934 40
C20orf196 0.00930255581181507 41
RABGAP1.1 0.009050113643493089 42
UQCRH 0.008844330287265074 43
UBE2O 0.008650337452535253 44
ARRDC1 0.008525279469005526 45
IGF2R 0.008469624737605035 46
MMP8 0.00845673558657963 47
TK2 0.008452997913315372 48
ZNF212 0.008276032392435552 49
CAPS 0.008115844155844156 50
SLC40A1.1 0.008049234912049556 51
FAM122A 0.008040558311377712 52
ZNF394 0.00791194617807521 53
AKR7A2P1 0.007188122229737135 54
ZMYND19.1 0.007117024097261253 55
CCM2 0.007107134467927756 56
GSDMA 0.0069595533870316474 57
SLC6A9 0.006380303552362908 58
PDE5A 0.006337766581244844 59
HNRNPH3 0.005964597240671458 60
VPS4B 0.005765611200393809 61
HNRNPF 0.005545023839244743 62
MICA 0.005487926887926888 63
IRAK1.1 0.005330342765125373 64
C17orf82.1 0.0051922700685031 65
PCNX 0.005026723477810434 66
FAM174B.1 0.004893251424501425 67
CEP120 0.004857835833121873 68
ATP13A1 0.0046732694655771565 69
SOAT2 0.004437569676700112 70
SPSB1 0.004416117698726395 71
PEX13 0.0040161997825041325 72
MMGT1 0.004010707089987487 73
MXD1 0.003846732977167761 74
MARCH1 0.003787414965986395 75
CORO6.1 0.003752995699952222 76
PROK2 0.003701668701668703 77
ZNF212.1 0.003502132725170557 78
EID2.1 0.003022222222222222 79
CCDC88A.1 0.002930678017634539 80
C11orf35 0.0027510465724751433 81
SPSB1.1 0.0025242424242424245 82
TMED3 0.0025081400081400085 83
BCKDK.1 0.0019883040935672514 84
FAM19A2 0.0019373219373219372 85
KIF14 0.0018888888888888896 86
S1PR5 0.001821428571428572 87
SLC40A1 0.0017346938775510206 88
CEP120.1 0.0012827883578871726 89
PMS2P1 0.0012592592592592592 90
TEP1 0.0012217031979877828 91
TSGA10 0.0011333333333333332 92
ZFYVE28 0.00108974358974359 93
CCDC88A 0.0010745679012345675 94
TEP1.1 0.001067503924646782 95
EID2 0.0010170940170940168 96
EIF2B3 0.0009963369963369962 97
ZMYND19 0.0007083333333333333 98
PTPN12 0.00048200197238658875 99
PTPN12.1 0.0 100
ASB3 0.0 101
FAM174B 0.0 102
UQCRH.1 0.0 103
SAP130.1 0.0 104
SQSTM1 0.0 105
