	Score	Rank
AASS	14.0	1
CIC	5.612980491563504	2
PPIH	4.875856073523801	3
ZNF516	4.646270529711597	4
IRF4	4.0670303147570666	5
PKMYT1	3.229210519030143	6
EGR3	2.793581778623851	7
PLA2G4C	2.6199084729374658	8
NELL2	2.12091020634179	9
CLDN7	1.9630994256384238	10
TMEM184A	1.7645345866312983	11
GATAD2B	1.7175247717981197	12
NR2C2AP	1.3613858583701424	13
