	Score	Rank
monocytes	0.1350551817274449	1
hematocrit	0.10522402048730461	2
mcv	0.0800609085851511	3
leukocytes	0.0779231366757968	4
alt	0.0719642165219863	5
neutrophils	0.06824716659357714	6
platelets	0.06662717835370445	7
crp	0.06315727371929089	8
hemoglobin	0.060582940605517915	9
lymphocytes	0.05820531992661179	10
creatinine	0.057783584178707645	11
mch	0.05728692204996624	12
ast	0.0511936775425195	13
basophils	0.04668847303242072	14
