	Score	Rank
LOC100128398	0.058530358168401644	1
MYO5A	0.043549920760664496	2
LOC100507582	0.040302244731724765	3
KRT18	0.0381388185981069	4
RBM17	0.03740242600959098	5
NAT8B	0.035861538461538466	6
HABP4	0.033525548274189576	7
CLEC11A	0.030508080771482943	8
OR3A3	0.030222973322717856	9
GNG11	0.0281323070314134	10
MAN2C1	0.026383716885604824	11
ISG20	0.02638256328070906	12
PUM2	0.02417484221334221	13
UBE2S	0.023892270923520927	14
INHBB	0.023123092185592185	15
COMTD1	0.022390436707012795	16
LOC146880	0.022108495152676183	17
PIGM	0.022063937994372774	18
SGIP1	0.02112361491165839	19
PSMA5	0.02081172360248447	20
BTD	0.020171709074818953	21
SESTD1	0.019104668776437767	22
SPRY3	0.0188830673294959	23
CYBASC3	0.0187151185770751	24
TRPM2	0.017786160213682265	25
C10orf11	0.016263340964590964	26
NEK9	0.016069220493303643	27
RHOU	0.014832924168919149	28
LEMD2	0.013292819499341238	29
TSPAN13	0.013253926950666082	30
BCKDHA	0.011979565217391304	31
SIK1	0.011857463550941813	32
TSTD2	0.011381565960609437	33
VPS45	0.011331971963221965	34
BTAF1	0.011260896896313564	35
MMP11	0.011245072463768118	36
PDHX	0.011014541527313267	37
PPP1R21	0.010475973834349792	38
OR2H2	0.010319295166081554	39
POU5F1P3	0.010028253864474852	40
STRADA	0.009506000069076483	41
DANCR	0.009270906938398191	42
ILDR2	0.009086264769065523	43
GIT1	0.008316445623342177	44
ARHGAP23	0.008253968253968255	45
HEATR3	0.007992052590266877	46
PRSS23	0.007939745670995672	47
RELA	0.007383615288220551	48
BRWD1	0.006713756613756614	49
BRCA2	0.0067012707414408745	50
POP7	0.0056959595959595955	51
UBASH3B	0.005208333333333332	52
SGTB	0.0041149267399267385	53
SLC35F3	0.004046362023070099	54
PTCH2	0.003834554334554335	55
DEDD2	0.0036869926369926366	56
BABAM1	0.002391304347826087	57
SENP5	0.00165551839464883	58
CDC26	0.0003055555555555559	59
