 Score Rank
alt 0.09166145081202301 1
hemoglobin 0.08368093550821433 2
monocytes 0.0832086493501882 3
crp 0.07977326176093846 4
neutrophils 0.07457881068606241 5
platelets 0.07398336542410519 6
lymphocytes 0.07193902689807151 7
mch 0.06673148185546997 8
leukocytes 0.06035576646517664 9
hematocrit 0.0572267416739476 10
creatinine 0.05642893290054201 11
ast 0.05405200073743547 12
basophils 0.053726148947988495 13
mcv 0.04767885549731374 14
eosinophils 0.04497457148252309 15
