Probes,G104,G108,G109,G110,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G373,G374,G375,G382,G383,G385,G386,G387,G390,G397
FGF23,-0.409919,-0.144983,-0.06748,0.147985,0.736779,-0.744841,0.2227,0.714558,-0.260905,0.053039,-0.027433,-0.595682,-3.156281,0.010633,0.236939,0.240246,0.578339,-0.197267,0.102172,-0.045242,0.20069,-0.316853,-0.353897,0.246774,0.597553,0.0219,-3.360651,0.164334,-0.270823,0.085153,-0.456533,0.385202,0.217138,0.190237,-0.593448,0.506326,-0.041507,-0.301727,0.567179,0.472589,0.43219,0.323296,0.250937,0.457576
FKBP4,0.160064,0.108747,-1.861491,-8.781028,-8.163513,-0.913451,-0.933934,-0.6231,-8.603945,9.005904,1.018542,0.760768,7.044688,-0.009282,-0.032279,-3.295553,-0.474432,-0.17949,-4.101832,-8.551054,1.318558,-7.893673,3.521517,7.164813,-0.202209,-5.858052,0.49227,-0.477544,0.097307,-9.226176,-0.635432,-8.162066,-7.695608,-0.176676,-1.01924,0.176841,0.719559,-9.213149,7.831554,0.31837,-0.43346,-8.343045,7.033993,-0.579322
Flt3L,-0.06646,-0.07253,3.214212,0.014248,0.042415,-6.605669,0.087794,0.116102,0.054715,-0.004167,-0.02973,0.007219,0.027594,-0.056618,0.023558,-0.028355,3.449611,-0.002245,3.312191,-3.269769,-0.08672,-0.059853,-0.068924,0.074332,-9.90134,-0.004202,0.067205,0.01337,6.678401,6.672124,3.3082,-3.29381,-3.284094,-0.07291,-0.13136,3.38579,-0.045787,-3.389628,-6.585395,-3.312598,0.049141,0.019593,3.31311,3.414055
GAL,-0.057701,-0.135604,-3.260964,0.187858,-0.084804,0.084301,-3.27177,-0.138073,0.054703,0.012435,0.035803,3.488297,-0.162899,-0.07548,0.048501,0.03441,-0.0733,-0.171218,-0.038066,-0.097812,0.053749,-3.240674,3.344776,0.074759,0.058697,0.041955,0.099715,3.252294,-0.031301,-0.055667,0.139892,3.419512,0.055158,-0.132866,-0.032861,-0.239473,-0.013712,0.000372,0.100592,6.636543,3.423306,-0.254778,-0.531676,-0.079705
GALNT3,-0.214938,-0.963509,0.139872,0.467423,-0.184263,-0.056786,-0.507401,0.005336,0.606763,-0.606124,0.762973,0.103065,0.808209,0.504475,-0.069901,0.532619,1.440255,-0.071264,8.523789,0.077598,0.026366,-0.901342,1.003383,0.442292,1.679117,0.493207,-0.475666,-0.424856,-1.009915,0.466209,-1.085749,0.375023,0.312948,1.060709,7.399216,-0.436304,0.507978,-0.030004,-0.017214,-0.653273,-2.089439,1.144222,-0.667836,0.8694
GHRL,-0.478413,-0.44981,0.048871,4.06655,0.012012,0.673385,0.406616,-0.113026,-3.209895,-0.052165,-0.473354,0.715073,-6.953355,-0.002631,3.350651,0.040131,0.281071,-0.402754,3.186579,0.02194,-0.071801,0.398175,-0.123778,-0.171454,0.235883,-0.021124,-0.005741,3.157878,3.146333,-0.094484,0.237049,-0.032191,0.378428,-0.399602,3.338514,2.818889,-0.11337,0.235028,-3.587693,-0.092036,-0.139112,4.137852,0.101096,-0.024612
GLB1,0.100712,-0.113618,-0.408893,0.01346,7.313427,-0.195461,-0.181196,-7.381269,-0.454177,3.447305,0.067965,-3.250328,0.17796,-0.074321,0.296566,0.034311,0.068735,-0.117009,0.302433,-0.152504,0.490943,-0.398088,-3.376458,0.560591,4.130781,0.55598,7.056782,-0.23101,0.074864,2.40267,-6.783588,-0.483521,-3.357618,0.164689,-7.583783,0.388091,0.270617,7.040356,-0.021657,-0.091266,-0.264241,-0.043114,0.136128,7.307606
GLRX,-0.112558,0.205108,0.737109,-1.993437,-0.82386,-0.588154,0.024028,0.525972,-8.77926,8.076852,8.183249,-3.169552,-0.632676,-3.099448,0.704313,0.066193,-0.730312,-0.073478,-4.114552,-7.869405,0.934855,-9.662552,-0.048019,1.785085,-0.214431,2.4335,3.223451,-3.298059,6.885679,-9.758401,-0.915538,-8.236465,-7.944857,-0.390802,-5.080724,1.163302,0.353564,-8.243985,0.296198,8.354332,0.145382,-0.396619,1.963015,4.685189
GRAP2,-0.265813,3.28121,-0.100105,-0.747884,-0.186951,-0.202476,-0.680336,-4.127326,-0.182946,0.412889,0.423483,0.420113,-0.169517,-0.068002,0.148663,-0.364325,-0.672959,-3.484761,0.299834,-8.562647,0.825291,0.004174,0.426744,0.235466,3.441132,-0.992206,0.089228,0.218679,0.219476,-8.153047,-0.275812,-0.889985,-0.465236,-0.585087,-0.026739,-0.096838,-6.612178,-0.464155,-2.037686,0.068086,-2.984626,-0.045327,0.729741,-0.220871
HCLS1,3.233019,-0.010114,0.207155,2.987222,-0.599545,-3.407016,-0.053422,-3.993326,-0.099432,0.684512,-3.037283,3.020411,-0.134954,0.002776,0.011648,-3.52479,-0.368809,0.042329,0.340587,-0.302438,3.722783,-0.159022,-0.010745,-0.186361,-0.113954,-0.638332,0.021344,-3.444243,0.217784,-0.744461,-0.295595,-0.538861,-0.122577,-0.231988,-6.911915,0.207637,0.140659,-0.396877,0.682383,0.274378,-0.316908,0.085683,0.356425,-0.286113
