Probes	G104	G108	G109	G110	G112	G113	G117	G123	G126	G128	G132	G133	G134	G135	G136	G139	G142	G144	G302	G303	G304	G306	G310	G316	G319	G328	G332	G337	G356	G358	G359	G360	G362	G363	G367	G368	G373	G374	G375	G379	G382	G383	G385	G386	G387	G390	G391	G395	G397
IL10	0	0.148195092	0.060423403	-0.324023776	0.195365185	0.072947377	-0.896821655	0.221804108	0.622793783	0.797975892	-0.290656913	0.207393987	-0.143234285	0.284580559	-0.02124389	0.6669543	0.817398353	0.489968109	-0.378958909	0.073737462	-0.017737831	0.063936564	0.791757529	-0.045753085	0.249299264	0.078273868	-0.374175946	-3.670060978	0.123557796	0.635369958	-0.719783942	-0.395674336	3.35280074	0.143368573	-0.649923598	0.257344271	-3.892776324	-0.395804638	-0.494034702	-0.294553267	0.357265442	-0.689090787	0.655849283	0.275201495	-0.08632742	-0.728782061	0.081347331	0.251863303	0.935083334
IL-10RB	-3.41352032	-0.23416191	0.065904994	-0.027175181	-0.053699678	0.085543809	-0.030304639	-0.089159825	0.17402583	-0.051038282	0.103163826	-0.050576362	0.026029283	0.075803155	0.030105733	-3.055909626	-0.047393025	0.002103614	0.02996637	3.379845843	-0.151451174	0.01197757	-0.078986926	6.651093303	3.50765472	0.000641027	0.038635	0.00337514	-3.541182763	0.150206875	-0.326021941	-0.065054984	-0.007281105	-0.093051257	0.030993968	-0.17894515	-0.101835725	-0.097683472	0.130265901	-3.502104303	0.071802403	-3.359263462	0.126408469	-3.272183562	0.002999571	3.188771411	0.024194015	0.098387237	0.085102167
CCL11	-3.376925707	-0.052493841	-0.069704819	0.080642765	-0.106881724	-0.107849332	-0.084371911	0.065827633	0.218471426	0.050977111	0.026610051	0.017701055	-0.028744085	-3.263432148	-0.015295989	3.297486018	-0.066948813	0.206292999	-0.120694661	0.030900021	0.071142486	-0.110097835	0.161459398	-0.016977123	-0.004591736	-0.0375518	3.399546721	-0.066379527	0.029519354	-0.029666843	-0.071155212	-0.168750412	-0.024990287	-0.10503447	0.065850825	-0.013890231	-0.036978563	0.01101773	-0.046011011	3.371797468	3.340027481	-0.093265131	0.009612844	0.088584253	3.393385593	-3.345217888	-3.431606557	0.04448711	3.342962835
MMP-1	-0.082667658	-0.014121108	-0.157159527	-0.132367849	-0.142563398	6.43738362	3.27982138	6.745665563	0.031541517	-0.006853671	0.182505182	-0.217318688	-0.141037726	-0.193857936	0.027299857	-3.19747973	-0.027459813	-0.315641832	-0.005491804	-0.186297971	-0.034036324	0.170209697	0.047095118	-0.162580492	0.103390846	-0.14891381	-0.007026126	0.106915204	0.292418213	6.918404959	-0.183428448	-0.282268008	0.058762826	0.240080421	-0.255487952	-0.129645185	3.450499795	-0.147917714	0.01508583	0.096326117	-0.10454248	-6.911669392	-6.771625136	0.204646871	0.34519155	0.012195297	-0.05138346	0.048986851	-3.162158467
CCL3	-0.152562073	-0.03985785	-3.291432749	0.027319273	-3.167360554	0.058606434	-0.114381862	0.087412199	0.238679444	-0.072004958	-0.087967252	0.107708165	-0.182210339	-0.176877199	-0.193047076	0.011409321	0.092970588	0.493520733	-0.281332932	-0.413039374	-0.296823691	-0.046687704	0.238140008	-3.662013338	0.317977247	3.304534644	3.582244456	-0.013208018	-0.159027807	3.5076358	-3.607770047	-0.423409152	-0.332536839	-0.311978965	-0.356233229	0.055817398	-3.278455768	-0.081970361	0.15804843	3.337932896	-0.047135063	-0.2671969	0.010681187	0.176878025	0.11975624	3.612938656	-0.088421208	-3.132370855	3.382003822
TNFB	-0.005610921	3.097135163	0.021206041	3.327227494	0.261790037	0.277093212	3.450259642	0.026255267	0.093865685	0.2520222	-0.032457777	0.071057934	0.068052834	0.087314991	0.159232137	0.071040208	0.005937404	-0.092040881	-0.019736243	3.599661073	0.096732805	0.01650911	0.049435945	-3.237775517	0.078135523	0.175245903	0.059781176	0.366680498	0.194965134	0.197019389	-3.340998834	0.133889798	0.06649792	0.005749223	0.158035385	0.054288482	0.037192717	0.147468798	0.074038986	0.159656857	0.02161243	0.178921714	0.110941966	-3.28577874	3.491547136	-3.258946628	3.144600769	0.349168864	-3.099317936
TNFSF14	-0.329312252	-0.178335696	-0.44379297	-0.415463938	0.048312819	0.201191036	0.109406895	0.373322022	0.378972025	-0.061943972	0.073059146	-0.73847709	0.07772239	0.177343698	-0.453602115	3.897867487	0.088090351	-3.285708168	0.496844683	0.014383589	-0.562538496	-0.336734438	-0.328747383	-0.427854143	0.530173085	-0.29560009	0.226294537	-0.125678521	-0.11229951	3.942293565	-0.845424765	-0.569807264	0.496893057	-3.577597741	-0.504782479	0.217055432	0.031708428	-0.511174141	0.21562839	-0.20619413	-0.057425864	0.006560238	-2.965553828	-5.833464104	0.532630273	0.293363362	0.330403772	0.24948179	0.587633608
TRAIL	-0.070547049	3.291270987	3.388520848	0.003660934	3.331172404	3.204626179	0.045921715	0.067891662	0.271148484	0.035694266	3.424393353	0.030447629	-3.405131028	0.07956633	0.030651482	0.186373079	-0.029185075	0.21536653	-3.383819983	0.176420291	0.086913705	-0.044254463	0.087283844	3.342672265	-0.02229986	-0.004114515	3.375379253	3.208279044	-0.049782358	0.142621841	-0.057383895	-0.067857334	-3.254801955	-0.091012505	-0.039500124	0.035478997	0.054691404	-0.179183706	0.091943883	-0.02856332	-0.183876019	0.211914472	3.329636091	0.105654797	0.04459503	0.081050904	0.025107354	0.093531486	0.009862562
CX3CL1	-0.112564101	-0.107145077	-0.061855196	-0.043811943	0.204235298	0.034261127	-6.47495394	0.071093541	0.142731753	-0.071541438	0.073404284	0.095887578	0.016691254	0.019858565	0.034614241	0.08181692	0.067537797	3.262239812	0.076236498	0.28080297	0.10141472	0.047717528	0.074676733	0.035331278	0.203697128	0.304231029	6.872672341	0.233380574	-0.006435513	0.232439681	-0.122644488	0.056834575	0.151781592	-0.009760129	-3.105405541	0.122907734	-0.098090202	0.009649977	-6.673261744	0.106638312	3.36388545	0.14113152	-3.209448677	0.123947395	0.141370746	0.010912939	-0.083941134	0.089020999	0.105733173
CST5	-0.072885451	-0.433356339	0.271723917	0.064189974	0.006297119	-0.131723205	0.13987227	0.335721589	-3.23865323	-0.153767303	0.102129752	-0.097035203	-0.15379131	0.088464748	0.178221996	0.07127287	-3.275614649	0.196158236	-3.186608005	0.124247787	-3.245095159	-0.123011481	-0.100518468	3.350509887	0.060517232	0.062403821	3.340360507	-0.064191147	0.011688541	0.25601838	0.317716803	-0.063258277	-0.138236924	-0.106921843	-3.439605302	-0.135663062	-0.272237927	-0.068779115	-0.056706541	0.082344983	-3.308028228	0.03867798	0.291806216	-0.030149246	6.66449706	-0.048398572	3.37358473	0.078294723	-0.066197228
