Sample,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G123,G126,G130,G132,G133,G134,G135,G136,G137,G138,G139,G140,G142,G143,G144,G301,G303,G304,G305,G306,G307,G308,G309,G310,G311,G312,G313,G314,G315,G317,G318,G319,G320,G322,G323,G324,G325,G327,G328,G332,G334,G335,G336,G337,G338,G340,G341,G342,G345,G347,G350,G352,G354,G357,G359,G360,G361,G362,G363,G365,G366,G367,G368,G370,G372,G373,G374,G375,G376,G379,G381,G382,G383,G384,G385,G387,G389,G390,G391,G392,G393,G394,G396,G397
GAMMA-TOCOPHEROL-TMS-1,-1739.0,2811.0,-353.0,-8887.0,1469.0,-1752.0,4636.0,2369.0,-2411.0,325.0,-347.0,6010.0,-4763.0,415.0,-487.0,782.0,-534.0,2379.0,410.0,-2763.0,781.0,-938.0,-1559.0,2168.0,-336.0,-5694.0,268.0,-391.0,542.0,1970.0,969.0,-2012.0,-1062.0,411.0,-1393.0,-1343.0,4916.0,-1637.0,-379.0,4487.0,1130.0,33.0,670.0,-552.0,-1170.0,-993.0,-450.0,-1924.0,-1629.0,-1591.0,399.0,79.0,-400.0,-1889.0,-2044.0,-1296.0,662.0,-225.0,-538.0,1563.0,-1172.0,2508.0,186.0,-1239.0,52.0,-1767.0,-1978.0,-4.0,-2048.0,-1622.0,14.0,-2217.0,-514.0,2341.0,672.0,-3633.0,1171.0,-863.0,-950.0,-2996.0,170.0,1324.0,294.0,-938.0,84.0,262.0,1164.0,-809.0,1217.0,-236.0,1886.0,508.0,143.0,-1363.0,-129.0,373.0,-475.0,-1359.0,2066.0,2074.0,-1446.0,-1918.0
GLUCURONICACID-MEOX5TMS_2-1-M/z334,111.0,-182.0,-431.0,-30.0,-265.0,461.0,406.0,459.0,148.0,148.0,-642.0,383.0,218.0,-899.0,-1097.0,-415.0,-214.0,-1152.0,657.0,-1398.0,226.0,-580.0,-39.0,97.0,-245.0,1658.0,224.0,121.0,-783.0,-406.0,-12.0,-438.0,598.0,-49.0,310.0,705.0,680.0,-59.0,140.0,-393.0,-106.0,192.0,115.0,79.0,-176.0,-4.0,325.0,1104.0,350.0,-758.0,382.0,-165.0,66.0,-519.0,266.0,115.0,101.0,-627.0,-193.0,175.0,-150.0,-17.0,-457.0,-47.0,-493.0,1225.0,-411.0,-16.0,-3.0,54.0,-91.0,0.0,105.0,177.0,530.0,-227.0,-1037.0,686.0,-941.0,-295.0,200.0,247.0,-260.0,908.0,-372.0,-380.0,-86.0,-75.0,577.0,-71.0,-111.0,5.0,-8.0,485.0,-96.0,54.0,-100.0,-122.0,347.0,88.0,-281.0,-474.0
GLUTAMINE-N-N-O-TMS_1-1-M/z347,2273.0,378.0,350.0,1295.0,-4304.0,262.0,442.0,-6948.0,-152.0,-437.0,1136.0,7552.0,-3086.0,668.0,3895.0,170.0,1018.0,1411.0,-209.0,1931.0,-297.0,648.0,-792.0,1135.0,4476.0,-5163.0,-1491.0,1067.0,10352.0,314.0,231.0,194.0,892.0,-1632.0,105.0,-1001.0,-1450.0,248.0,767.0,1229.0,1202.0,314.0,1345.0,1010.0,-665.0,-885.0,-477.0,-619.0,-562.0,-58.0,-27.0,97.0,-628.0,1573.0,4311.0,2625.0,-1506.0,-2525.0,553.0,1336.0,1373.0,41.0,133.0,-277.0,1277.0,855.0,-49.0,2068.0,830.0,-780.0,-1253.0,133.0,1435.0,-408.0,738.0,978.0,-687.0,-1038.0,2042.0,2713.0,56.0,1389.0,-297.0,4263.0,-2339.0,-555.0,2707.0,613.0,1294.0,-1814.0,-1500.0,-644.0,-78.0,1380.0,-135.0,983.0,1875.0,4503.0,-1312.0,-94.0,-485.0,-367.0
GLYCERICACID-3TMS-1-M/z307,-927.0,1052.0,-1047.0,-115.0,445.0,16.0,-671.0,-378.0,254.0,-79.0,-981.0,850.0,-206.0,-585.0,-827.0,-193.0,-625.0,189.0,-103.0,-207.0,154.0,614.0,47.0,422.0,-50.0,-742.0,122.0,833.0,264.0,-716.0,-956.0,-71.0,591.0,213.0,-436.0,192.0,212.0,749.0,811.0,303.0,-1818.0,718.0,-442.0,-598.0,-936.0,-613.0,359.0,367.0,86.0,-558.0,-142.0,-755.0,686.0,23.0,-616.0,262.0,998.0,-37.0,500.0,221.0,-399.0,-1.0,216.0,-212.0,151.0,278.0,439.0,182.0,-53.0,-234.0,-677.0,349.0,-565.0,-604.0,566.0,-379.0,-443.0,1084.0,1336.0,655.0,-224.0,-62.0,170.0,-73.0,4.0,-364.0,1155.0,-56.0,109.0,179.0,420.0,-58.0,66.0,6.0,-427.0,320.0,537.0,237.0,431.0,-21.0,1059.0,-413.0
GLYCINE-N-N-O-TMS-1-M/z246,-3514.0,-1483.0,-987.0,-816.0,924.0,-1088.0,187.0,-305.0,1608.0,2202.0,-3441.0,-2568.0,-568.0,-1818.0,1287.0,-1202.0,-1369.0,-371.0,1849.0,1986.0,909.0,-452.0,2216.0,1781.0,3653.0,-1270.0,-2926.0,431.0,-1444.0,-2075.0,687.0,2508.0,835.0,446.0,-529.0,1321.0,294.0,-1608.0,960.0,-620.0,1559.0,2958.0,-87.0,865.0,1394.0,-604.0,872.0,686.0,-1036.0,-2334.0,175.0,-2532.0,-7022.0,1882.0,1152.0,1548.0,-683.0,-817.0,-1432.0,558.0,-842.0,777.0,3563.0,-1038.0,-158.0,1170.0,-492.0,1538.0,1532.0,-44.0,-685.0,-1621.0,1088.0,1405.0,-1037.0,1365.0,140.0,843.0,14.0,-5033.0,-114.0,2641.0,-673.0,831.0,-4820.0,-428.0,1168.0,852.0,-3274.0,-2894.0,337.0,9.0,-845.0,-911.0,-2689.0,2085.0,979.0,-1616.0,817.0,-1017.0,1585.0,-493.0
HEPTADECANOICACID-TMS-1-M/z132,1538.0,1590.0,-426.0,-2693.0,-2368.0,433.0,238.0,-209.0,-903.0,470.0,-376.0,1344.0,1042.0,-640.0,-552.0,366.0,223.0,854.0,1520.0,-462.0,788.0,348.0,2965.0,4484.0,-294.0,-1311.0,107.0,867.0,3371.0,2725.0,942.0,-442.0,27.0,397.0,406.0,-1396.0,1123.0,-571.0,-518.0,-261.0,-258.0,-254.0,257.0,262.0,-803.0,-4008.0,-584.0,1118.0,-1742.0,-840.0,-333.0,-847.0,1715.0,-1204.0,389.0,-1102.0,2534.0,-634.0,-1914.0,-470.0,-312.0,98.0,-2407.0,599.0,-322.0,-430.0,2376.0,-1351.0,-164.0,-1370.0,599.0,296.0,-794.0,-1960.0,1068.0,850.0,1145.0,284.0,-2670.0,-1150.0,1254.0,-647.0,2210.0,1472.0,487.0,-460.0,-1803.0,1716.0,307.0,520.0,363.0,-1100.0,767.0,-306.0,2935.0,-62.0,2373.0,5158.0,387.0,-25.0,-2133.0,-619.0
HEXADECANOICACID-TMS-1-M/z171,12350.0,8563.0,721.0,-7851.0,-10245.0,2627.0,-648.0,-1383.0,-3340.0,976.0,-2816.0,13701.0,11404.0,-7702.0,-1014.0,-208.0,2549.0,8870.0,9808.0,-6440.0,-2164.0,3083.0,5548.0,13677.0,-2490.0,-6405.0,-1140.0,2473.0,9476.0,9015.0,5571.0,-1244.0,-1359.0,2310.0,3005.0,-5415.0,9770.0,-5426.0,-2685.0,903.0,243.0,-3693.0,1209.0,1749.0,-4868.0,-21945.0,-2162.0,5801.0,-8065.0,-3363.0,-4055.0,-725.0,10440.0,346.0,1822.0,-6822.0,9458.0,-160.0,-9256.0,-539.0,-641.0,3329.0,-15769.0,2992.0,-774.0,49.0,9001.0,-6884.0,-5281.0,-12264.0,4287.0,871.0,-1591.0,-7429.0,3188.0,6703.0,4755.0,2967.0,-18049.0,-5298.0,2469.0,-5440.0,3827.0,1215.0,3265.0,-2183.0,-7317.0,2824.0,1794.0,1181.0,-1197.0,-5686.0,6842.0,-1916.0,18935.0,167.0,18166.0,11562.0,1119.0,1848.0,-6427.0,-7095.0
HYPOXANTHINE-2TMS-1-M/z282,3964.0,427.0,-2682.0,340.0,-923.0,-901.0,-1890.0,-582.0,-984.0,-852.0,804.0,3790.0,-644.0,-2085.0,702.0,1577.0,-441.0,341.0,-248.0,469.0,415.0,-522.0,-122.0,162.0,-163.0,-482.0,-311.0,594.0,4867.0,-206.0,-353.0,128.0,-580.0,-1348.0,-691.0,-802.0,753.0,139.0,1710.0,-1057.0,332.0,-63.0,-1106.0,419.0,-365.0,-172.0,-335.0,-991.0,-562.0,486.0,-750.0,-207.0,1201.0,-1289.0,-362.0,-954.0,-603.0,-155.0,-36.0,-768.0,-341.0,144.0,826.0,516.0,4449.0,-913.0,1955.0,771.0,-452.0,-631.0,-808.0,-1293.0,-862.0,-350.0,-510.0,218.0,230.0,146.0,5905.0,-591.0,114.0,-767.0,-179.0,477.0,-334.0,2814.0,478.0,-4.0,-822.0,271.0,-241.0,144.0,194.0,-1400.0,15.0,-253.0,-435.0,-289.0,4888.0,-186.0,256.0,314.0
INOSINE-4TMS-1-M/z217,36159.0,-1338.0,-10071.0,-3544.0,-3144.0,-6053.0,-2934.0,-2641.0,-4094.0,-3242.0,3633.0,63446.0,-1499.0,-7960.0,5970.0,7905.0,-1834.0,1812.0,-512.0,2141.0,-928.0,-388.0,413.0,359.0,127.0,-1803.0,-1305.0,2550.0,160251.0,-902.0,-1128.0,-507.0,-1397.0,-2111.0,-1898.0,-3720.0,3125.0,-500.0,463.0,-2438.0,3792.0,1114.0,-4583.0,362.0,371.0,-2340.0,-1147.0,-4517.0,-5022.0,501.0,-2489.0,-1710.0,1826.0,-9142.0,-173.0,-4300.0,-817.0,-320.0,-1254.0,-2547.0,499.0,-1636.0,265.0,-1061.0,85422.0,-9273.0,46017.0,-5485.0,211.0,-3352.0,806.0,-18667.0,-802.0,-1706.0,-2336.0,539.0,-914.0,-645.0,21408.0,1391.0,1139.0,-1075.0,38.0,-1802.0,-1400.0,61866.0,7114.0,997.0,-2286.0,-704.0,-636.0,5702.0,-340.0,-10393.0,1118.0,-2298.0,-2168.0,-853.0,45066.0,-320.0,-3134.0,987.0
INOSITOL-scyllo-6TMS-1-M/z432,-5323.0,207.0,505.0,-1622.0,-2411.0,-2414.0,2394.0,3206.0,670.0,100.0,856.0,-302.0,3763.0,2503.0,1617.0,-2023.0,604.0,324.0,586.0,1955.0,-1003.0,-650.0,-322.0,621.0,948.0,-1023.0,-1399.0,-60.0,-2043.0,1376.0,-2065.0,-1093.0,426.0,1197.0,-968.0,2800.0,1017.0,2590.0,1059.0,-4125.0,960.0,2736.0,-1009.0,-425.0,-2071.0,-1617.0,45.0,-43.0,116.0,646.0,-2123.0,1709.0,-272.0,2235.0,723.0,1454.0,-387.0,219.0,-984.0,2026.0,-323.0,687.0,136.0,-201.0,3221.0,-35.0,4584.0,11.0,2307.0,-2394.0,-984.0,791.0,-2442.0,-950.0,-1380.0,-2814.0,-31.0,-798.0,1770.0,3591.0,844.0,1376.0,-545.0,83.0,2485.0,-4421.0,-85.0,887.0,1786.0,-35.0,1164.0,-1546.0,949.0,-326.0,-1312.0,1478.0,-2146.0,-542.0,47.0,-782.0,1550.0,-1717.0
