Probes	G104	G108	G109	G110	G113	G117	G123	G126	G128	G132	G133	G134	G135	G136	G139	G142	G144	G302	G303	G304	G306	G310	G316	G319	G328	G332	G337	G356	G358	G359	G360	G362	G363	G367	G373	G374	G375	G382	G383	G385	G386	G387	G390	G397
TNFSF14	-0.034800146	0.655802874	0.108872361	0.380766273	0.1611577	-0.113922376	0.166615323	0.049198257	-0.729766139	0.749657093	-0.277764569	-0.22934655	0.214409892	-0.705687642	3.206600212	-0.299468488	-0.351705165	0.356391252	0.011189787	-0.233622689	-0.282168649	-0.441035494	0.380764877	0.548272836	-0.185167049	0.683224322	0.397567924	-0.076014849	3.284091204	-3.507718969	-3.192311738	0.328527861	0.270026203	-3.603197057	-0.446775095	0.398148434	0.341240353	-0.591770831	0.386226195	-0.006761534	0.59665778	0.258400718	-0.0136124	0.260463883
TPSAB1	-0.076989746	-0.082881758	-3.452113138	0.006931036	-0.053311727	-0.09129272	-0.016761516	-0.156181279	0.103157598	-0.084723848	-6.733953	0.006821149	-0.015855355	-0.146381877	-0.077742231	-0.062246543	0.006040482	-0.091350805	0.088641596	-3.274320916	-0.036964478	3.274943435	-0.096867023	0.085210744	0.118647993	3.275921978	0.018934538	3.253996208	-0.003297201	-0.024041384	-0.031489723	0.002356235	-0.035665677	3.309995727	0.051982126	-0.00902346	-0.006400094	0.000180222	-0.134494606	-0.040704646	-0.178083515	-0.179614181	0.007808379	-0.09191735
TRAF2	-0.031046206	0.266480885	0.680028258	-1.017827871	-0.412312814	-0.494377317	-3.561837393	-0.532953998	-7.622904939	0.89166472	0.510640722	-0.138372592	0.191283164	0.066223554	-0.031054194	-3.745034544	-0.617202227	-0.044329544	0.129062819	-7.732761125	4.050863345	-0.838758885	-0.21166881	3.473861166	-0.044773078	-0.886970025	3.257602506	-0.013946718	6.883903699	-7.744605692	-0.444797915	-1.152031821	-0.30854724	-0.324864083	-0.533413019	0.624133942	0.367513666	-0.943748881	0.549593057	3.771955186	-3.889145848	-0.118543192	0.772028984	0.023481013
TRAIL	0.168698736	3.471356547	3.433024427	0.162982973	3.552300718	0.119323733	0.237519793	0.468442503	0.147531386	3.478928904	-0.023392529	-3.281203705	0.062030503	-0.015015977	0.12695253	0.128421849	0.118761144	0.127254593	0.124567764	-3.02984552	0.075970838	0.115017013	3.401466917	0.150504139	0.232916404	3.425620068	3.535402325	0.187549712	0.252347721	0.071897001	-3.272225418	0.13750932	0.036825747	0.124237702	0.033086415	0.141369696	0.092368368	-0.060914744	0.138589658	3.375356022	0.100715291	0.125212923	0.130948215	0.053026949
TREM1	-0.040800034	0.264111319	0.504924494	-3.184289366	-7.373180395	0.192847627	-0.200690682	-0.054413691	-0.313640592	-2.959476346	-3.169868883	-0.020856288	-0.042121343	-0.052440675	0.135080433	-0.099451402	-0.194036464	0.214257866	7.206077138	0.140792279	0.464928629	-3.816383723	-0.129283377	-0.087960343	-0.046260907	-0.141504017	3.251121663	-0.017481501	0.178180026	-0.000234971	-0.435366566	-0.602816733	3.338038043	-0.003916296	6.451507483	0.26238913	-0.039506997	0.296245675	-0.450494708	0.091863573	-0.156256672	0.773244081	0.056247932	0.153947276
TRIM21	-3.275183247	0.70467616	0.820199448	-8.113414678	-7.212892993	-0.828730523	-7.415659975	-1.095292373	-6.828425102	7.857327151	8.559708073	-7.205311615	0.350911859	0.10103549	3.855517249	6.204766193	-8.465359467	0.022211773	7.27990105	-8.364447316	8.763474102	-8.731360702	0.396264153	0.706619687	6.944263189	-0.680031848	0.08919785	-6.97010847	0.330653788	-10.89126647	-8.18472796	-8.691666072	-6.868139019	-0.174292503	-7.933489261	7.854997771	0.384646927	-1.917983408	8.436641488	7.545650356	-7.380342885	-0.286507584	1.674733518	4.376431879
TRIM5	-0.211795023	-2.828248828	3.97895506	-1.200669994	-0.563613001	3.180540648	-0.619224264	-6.972464732	-7.320529542	8.325464622	7.810233563	-4.125828042	6.858796216	-1.244347627	0.660873922	-4.156576701	-8.588103621	0.186565952	0.597612191	-8.629647292	4.110880101	-6.828904331	0.777876757	-0.19302414	0.003113332	-8.624293402	0.261724197	0.290370003	7.203729792	-9.886916984	-4.588684171	-8.288009762	-7.705732505	-3.853589226	-0.722572768	8.094509177	0.444389969	-8.125934984	8.96576797	0.390758271	-0.084131398	-0.569645771	8.442335824	0.412168423
TSHB	-0.565791425	-0.13850711	-3.35094082	-0.075658407	-0.410018719	3.304522028	-0.072190827	-0.408721519	-0.257925394	0.11340455	0.010569707	0.321981748	-0.054867715	-0.102780011	-3.613436851	-0.03270572	-0.119395766	-0.378143393	-0.034958083	-0.291700447	0.015790399	0.083591835	-0.293424281	3.304207173	-0.032771737	-0.763091444	3.227172873	3.295380438	0.025987163	-0.263971824	-3.405024101	-0.312474474	0.163583179	-0.391623014	-3.22906768	-0.040108401	-0.174238424	0.012878567	-0.16958538	-0.010856325	-0.258028032	-0.173555556	-1.329085915	-0.067038698
TWEAK	6.557599805	-0.038226503	-0.028851724	-0.104925201	0.019317454	0.019063031	-0.041388605	-0.020383101	-0.073440787	-0.005042264	-0.018891123	-0.025411922	-0.004562477	-0.113895557	-9.852876331	0.087725879	-0.058311952	-0.048377546	0.037058002	0.006042542	0.077572142	-0.016390255	0.040779761	0.000347543	0.102246561	-0.02212286	-3.239024793	0.009241207	-3.258848655	0.010569286	0.048605077	-0.132607129	0.01405758	-3.287848174	-0.10130075	0.06782938	0.040048267	-0.031341668	-9.873965419	0.028824155	0.015457949	-0.043491918	0.045999368	0.105963307
TXNDC5	-7.491156599	-0.26990149	0.991038479	-7.141625346	-7.038361826	0.266072792	-7.332314603	-0.50042513	-0.339263766	7.113958601	7.501630161	3.832641667	-0.20529097	3.158494785	7.155958995	-0.316503326	-0.607511081	-3.724109059	-1.302026631	-8.788263975	-7.108508534	0.377957341	6.851566771	4.141726314	-0.198562558	-7.455715358	-0.250614405	-0.438108396	-0.124343216	-7.476828204	6.77858008	-7.279643881	-0.300162171	-0.003120614	-8.465844561	-7.257660338	3.783021563	-7.094073563	0.760367104	0.085015422	0.489977652	-0.063589434	2.978464522	-0.28144635
TYMP	-0.145464914	-3.262962658	-0.134453971	-0.20388097	-3.259676454	-0.215951434	-0.146419716	0.033939251	-0.036279838	0.080059767	-3.133240318	-0.060813779	-0.005151437	3.301393536	0.071016026	-0.034238003	-0.131676515	0.097230095	0.035355258	-0.346461948	0.324274416	-0.247195199	-3.222501926	0.062532845	0.150741167	-0.094096365	-0.006479177	3.270326997	3.382794195	-0.338495581	-0.005144502	-0.364105675	0.071887579	-0.220432234	-0.260442319	-3.089321942	3.413665206	-3.437419927	0.375189134	0.016785986	0.006468927	-0.271920642	0.158058106	-0.186728173
TYRO3	-0.203098095	-0.186984873	-0.056794635	3.588682821	-0.050504146	-0.039855338	-0.028802602	3.21605246	-0.002300121	-0.047897797	0.057445683	0.567923787	-0.402237025	-3.436096506	0.124061277	0.079955442	-0.21560906	-0.409330949	-0.108350919	-3.604536227	0.069976795	0.1052986	-0.028896514	0.168055939	0.092040845	3.214019689	6.846153188	-0.185868109	6.607002772	3.16906161	-0.061389191	-0.131468532	0.186275133	-0.459355336	0.029026337	-0.460405454	-0.00628812	-0.195893624	-0.427283407	0.091868074	0.130366579	-0.362686635	-1.193104201	-0.117137643
uPA	-0.100573987	-0.049241567	-0.005691773	-0.080067724	0.078021597	-0.020337577	-0.053654898	-0.032153762	-3.376516992	-0.078844319	0.063611489	-0.012940024	-3.345682191	-0.069290671	-0.091331095	0.14598442	-0.042031935	-0.041396218	0.016444826	-0.005738807	0.022794667	3.332230661	-0.013484423	-0.045937299	0.163692472	0.001143044	0.055649482	0.044180792	-3.313472171	-0.010717424	0.033798847	-0.049819348	0.054633711	0.021845016	-0.009751347	0.126116023	-0.121502961	-0.001393509	-0.051137353	0.01469959	-0.061303648	0.053416714	0.006079615	0.050681149
USP8	-7.438194517	3.230454863	7.900396755	-0.381200077	-8.723779444	-0.085769351	-0.251970308	-9.608584745	-0.813036566	8.995741867	7.908720596	-0.944568223	-0.340227327	-1.463778152	0.181441716	-7.406738614	-10.00111654	-0.169269778	0.376031809	-6.015413026	0.550242215	0.004182921	0.695802804	0.982272487	-0.459752661	-8.23984552	-0.56474865	-0.245530468	0.908824503	-9.979319238	-1.328787041	-9.195364643	-0.528247152	-2.047236215	-8.884084861	0.051756624	0.280561292	-8.264509031	8.248984158	-0.300147968	-0.290607057	-7.550411124	6.839673238	0.0
VCAN	-0.039574598	-0.120717288	0.171807825	-2.970347572	-0.053619444	0.098978868	-0.034110941	-0.052830919	-0.002008292	0.027551188	-3.174999283	0.228131578	-0.160753834	-0.045229136	0.109791459	0.06277393	-0.131975545	-0.024684766	-0.038792673	-0.135652831	0.028700241	0.040165945	0.074642022	0.097671654	0.028093722	0.0746163	0.095933256	-3.440643672	-0.032987251	-0.028452972	0.05051137	-0.058448162	0.139983277	-0.100785583	0.015240218	-0.157690847	-0.048177505	-0.035554053	-0.007800469	0.055695457	0.07575666	-0.054823862	0.110176887	-0.070315733
VEGFA	0.001116637	-0.021472017	-0.003158127	-0.065896885	3.310371098	0.045374849	-0.019732757	-2.47e-05	-0.057209023	-0.020172605	-0.008928315	-3.29961664	0.016918296	-0.041449828	-0.135980694	0.002723772	-0.045596481	0.011679016	0.07745047	0.041616487	-3.218518909	0.031456995	0.102093347	0.055430802	0.15535294	-0.002224673	0.08659578	-0.14651955	0.05634949	0.092821963	0.075862543	-3.34932587	-6.601364175	-0.056387208	-0.251926693	-3.23486189	0.174841571	-0.021785822	0.188324918	-0.019009766	0.051797749	-0.006854043	-0.062795174	0.080294244
ZBTB16	-7.509380883	0.439618068	0.317573939	-1.521597904	-8.403841972	-0.494365792	-0.780288756	-5.058396413	-8.088710308	7.295048045	0.213981863	-3.486244083	3.234379715	-0.521249913	0.4614618	-0.736009023	-9.204331385	0.086871387	0.434257136	-10.38502174	8.749917976	-0.349150293	0.587833236	0.967007686	0.262215726	-6.564506462	6.937513236	0.273175501	7.231722855	-9.129784787	-7.56886012	-1.423108852	-7.218907779	-1.042936708	-0.34198066	0.282260084	7.003736584	-8.172537804	9.23945384	0.101741056	-6.879552207	-7.162512456	8.25883054	8.694357887
