Probes	G104	G108	G109	G110	G112	G113	G117	G123	G126	G128	G132	G133	G134	G135	G136	G139	G142	G144	G302	G303	G304	G306	G310	G316	G319	G328	G332	G337	G356	G358	G359	G360	G362	G363	G367	G368	G373	G374	G375	G379	G382	G383	G385	G386	G387	G390	G391	G395	G397
DNER	-3.327290453	-0.068546464	-0.039256721	-0.043506476	-0.060862794	-0.103162242	0.016490089	0.072241183	0.178924003	-0.04453323	0.034175139	3.319925498	-0.02881996	0.094187598	0.035790701	0.014948168	-0.105704309	0.02812294	-0.053938224	0.064304343	3.334616864	0.000899147	0.024730401	3.236787535	0.08835408	0.026730522	-0.006042719	0.011843394	-0.008572186	3.344947451	-0.035023234	-0.174074527	0.012644113	-0.004560298	-0.046495555	0.027322551	-3.361051646	-0.012187449	-0.038868406	0.088863074	0.032796428	0.04299973	0.0627605	-0.013961488	0.001964134	-3.364043791	-0.004132989	-0.036431971	-3.233572799
IL-18R1	0.109413984	6.717326663	0.02773466	0.070350827	-0.0954316	-3.299510743	0.165137355	0.204520613	0.352387416	-0.015911551	0.146482833	0.034161123	-0.030270123	0.164789731	-6.590142248	0.045704418	-0.106802143	0.067967744	0.06388753	0.122762932	-3.42616228	-0.076667393	3.578940079	0.100830422	0.088072922	0.1157797	0.22276473	0.203866781	0.096171562	0.23742829	0.010318431	-0.173500868	-0.104763234	0.024577627	3.336299194	0.101716511	0.013862979	0.019109639	-0.012424803	0.144686163	6.716730594	-3.223236941	0.110470663	0.080127722	0.063331679	-0.041893165	3.393068221	0.018768879	0.156173497
LAPTGF-beta1	0.120358165	-0.028875736	3.224205822	-0.238062199	-0.141024316	-0.018951098	0.211953966	0.072130665	0.089874501	0.012825949	0.288302232	0.038907569	-0.032594249	-0.036600231	0.035450278	-0.251826087	3.242016036	-0.348978534	-0.370594576	0.014414052	-0.048680121	0.070695367	-0.137558771	-0.057362349	-0.016385332	0.163620286	-0.100823415	0.325149244	-0.024152368	0.050030158	0.057017198	-0.2439272	-0.046540568	-3.303361128	0.110029236	0.08345569	-0.046449033	-0.210534933	0.241114034	0.088419573	0.071707187	0.064604019	0.122154812	-3.309553961	-0.061823143	-0.136886405	-0.188154227	0.085051083	0.2831804
CCL23	0.046734615	-9.953572478	-9.841515113	3.320441767	0.075857963	-3.157099205	9.884752615	-3.29771411	-9.856010058	-0.036841338	0.051640803	9.963993136	-0.07367573	0.127419037	3.353406283	-0.016917524	-0.083346478	0.06797782	0.000429558	3.390597596	3.302541293	0.039127056	0.019359189	-0.077382449	0.084402916	-3.299614906	0.038214676	-3.236501134	0.038674239	-9.725665983	-0.008461579	-3.46564594	9.913927583	0.001160244	9.924124803	0.075916475	9.915698207	0.023396005	-0.080184247	3.404729104	0.069071735	6.619840814	-9.867627044	-0.010972016	0.018900407	-3.329125471	0.027694679	-0.054610206	0.033843731
MCP1	0.371579544	0.249192398	0.225465255	0.159843847	0.384480032	-9.582978024	-0.070561497	0.246679793	0.331899129	0.046607031	0.238422531	-6.380848377	0.158671473	0.168365101	0.211504105	0.140128993	0.104772322	0.328989759	0.116034781	0.188609565	-0.105702345	-9.705836749	0.239206783	0.026919125	-9.617837194	0.291246002	-6.38010869	0.230005605	0.24386654	0.244111246	0.204764008	0.019452363	0.113479854	6.92151828	0.030696797	0.167369297	0.251538767	0.171312876	6.893495588	6.725017348	0.300405099	0.207898383	0.14445282	0.265647985	0.17661401	-6.510029212	0.133495052	0.228074567	0.299059723
CD40	0.045353677	-0.043785589	6.550948056	0.045309162	-0.067390498	-0.036117998	0.005619073	0.047180365	-9.870944111	9.822577812	-3.270002259	-0.002795921	-0.01720929	-3.277133764	0.037224011	-0.060151457	6.547870801	0.022135932	0.023018617	0.019721137	-0.000729738	0.003602285	9.89892993	-0.033455297	0.123912225	0.004274655	-9.899410821	-0.019303777	-0.013396304	0.022711549	9.923796911	-0.120707846	3.341126932	3.320875215	-0.022742462	0.018182534	-0.030845967	9.930617441	0.011348692	-3.23718519	0.021226892	0.030786125	-9.906742362	0.107863588	0.015830382	6.610519795	0.03486526	-0.017347506	3.412627608
MCP-2	-9.572682909	0.212736319	-9.736319746	0.164899957	0.163827845	0.047245388	-6.274604493	0.243995558	0.290338388	3.439255681	0.202395405	0.365438553	-9.705302114	-9.803446468	-6.310002688	0.105657483	0.228730008	0.2494412	-3.146897317	6.978852078	0.28474087	-9.659149898	0.170676333	0.184582583	3.817239282	0.079337234	-9.797132185	-9.575905841	-9.632507092	0.162551706	0.089029982	3.598090577	0.087460949	0.152725467	-2.999337638	-9.744336026	-3.094159059	0.099459272	0.154438997	-9.56123779	0.319822725	3.490393631	0.173329214	0.117490017	-0.018456569	0.307701064	0.147865212	-9.650353326	0.521557446
TNFRSF9	0.091685527	-0.046115942	-0.08070453	-3.339961374	0.094534828	0.127634095	0.007689645	0.14291416	0.08956408	-0.084330625	0.03902785	0.026600833	0.038269885	-0.064893947	3.438017201	3.256473839	3.460987906	0.058110852	-0.120102462	0.13027419	0.063018108	0.04495664	-0.241171761	-0.003040854	0.021980126	0.071018451	-0.007812857	0.270600173	-0.021492873	0.098730061	-0.170214559	-3.245991904	-6.689417719	0.135992486	0.033133145	3.376278933	0.104950049	0.104911881	0.147431542	-3.258459932	0.011242017	0.052257574	-0.018854689	0.065100082	-0.365213907	0.002600955	-0.073925511	-0.015555794	0.174590989
FGF23	0.22596973	-0.307075279	0.036651491	-5.89219678	-1.143387515	0.75123414	0.540014276	0.308649192	0.670920097	-0.039908603	0.416122232	-0.046843429	-0.620516361	-6.218398655	0.364907487	0.541519665	-0.400273602	0.524049127	0.066228565	0.099653203	-0.146920423	0.302216455	0.580938035	0.03481595	0.297344009	0.184063789	0.087668961	0.576026417	0.069539689	0.374638473	-0.110883722	-1.030956718	-2.80393418	-6.883344767	0.066037458	-0.101147708	-0.335372899	0.517133206	0.012958076	3.736174699	-2.914278751	0.266337446	0.72917477	0.059292706	3.588970585	0.049631931	-3.065089553	2.887543964	0.71247812
TWEAK	6.620729497	-0.061078069	-0.095752616	-0.053811401	3.312712308	0.018723998	0.009818697	0.040425738	0.008075852	-0.04972609	0.021438307	0.027444165	-3.340651188	-0.098750693	-0.083079537	-0.07184454	0.101383374	0.058091395	-0.115439844	0.016138935	-0.010435395	-0.020192572	-0.077162581	-0.022583848	-0.046774383	-0.009937599	-6.638704439	0.138837427	-0.05792112	0.023291517	-0.139887804	-0.029915998	-0.110083824	0.085411183	0.010610191	-0.049535418	0.040662443	0.014109179	0.093289934	0.008306708	-0.072740338	-0.006427203	-3.375556498	-0.010049882	-0.217854082	-0.032571565	-0.040422865	-0.06781204	0.091782472
OSM	3.364068626	-0.47076577	-0.214089677	0.123339884	-2.793474925	-0.388894445	2.737546087	-0.35532484	0.214504833	-0.997926242	-3.381971866	-0.614021328	-0.082619725	0.135967558	-0.233938395	-0.781018038	-0.79415663	-0.361684614	-0.038876586	0.597439086	-1.089357858	2.739926623	-0.224624566	-0.729936728	4.189941166	-0.245983167	-0.265233236	-3.186509788	-0.685256885	-0.61032537	-0.625166907	-0.159305087	-0.132529444	-0.957002375	0.045375673	-3.264325327	-0.351196448	-0.813184035	-0.023350736	-3.369557569	-0.161842797	-0.960246011	3.164546129	0.136924998	-0.012832536	-0.556780311	-0.461245594	3.410585769	0.310374272
MCP3	-2.594407689	0.4114692	-6.340460897	-3.031406388	-2.858297474	0.0	0.143717516	-2.892785927	0.104576804	-0.250143678	3.091753975	0.105874291	0.808899039	0.339546996	0.454979483	-0.374699198	-0.233941083	-7.373453255	0.171097282	0.354442783	0.398061004	0.22375	-0.15052272	0.0	-2.851173504	0.634168193	-2.914465633	0.361026307	0.140469067	0.394257647	-2.585784378	0.151898719	3.003451911	0.653542518	-0.150708335	0.23936428	-0.056054425	0.353817396	3.177668162	-2.813628536	0.412879024	0.340225342	0.385420759	-0.113420133	3.313635381	-0.213652349	-2.848394216	0.30479058	0.522602892
FGF-21	-0.059970959	0.086910608	3.503810146	-0.44616043	-1.4706528	-0.397246097	1.40688464	-0.104704716	0.042140734	0.059655127	2.592165446	6.701155241	0.181391427	0.431272869	-3.252682539	-0.772634036	-0.441211879	0.360104767	-4.182204199	0.892579217	3.132885215	0.481991092	-0.302030845	-3.63024933	0.028568989	0.350449298	0.703433746	-2.403557573	-0.026312583	0.197695419	3.525941744	-0.963250351	-1.713178513	-0.127243249	0.917283536	-0.20042496	0.24583244	2.706256295	0.149875527	0.796134989	0.245238805	-0.445963244	0.304357641	0.123097179	0.2904065	-0.307897718	3.218088463	0.267737133	0.865715221
