Probes	G103	G104	G108	G110	G111	G114	G119	G120	G124	G126	G130	G134	G301	G303	G305	G310	G313	G314	G315	G317	G318	G322	G323	G325	G328	G332	G337	G338	G355	G366
hsa_piR_001943_DQ572589	4.809755812	-0.164329233	-1.097007955	2.770643536	3.906952781	-0.67060514	-0.894353117	-6.022243845	0.521614372	6.319088603	1.896247333	0.259724039	0.11075351	6.705953992	-1.150009359	-0.667423294	5.172859893	5.485064515	0.649305307	-3.678122673	-0.307730055	-3.959231238	-5.264194341	-4.341118112	0.283700336	-6.555601342	-0.198601827	-0.002110481	-9.035430132	-0.080002556
hsa_piR_002441_DQ573293	-1.834100378	-0.675291152	-1.097007955	0.700254209	-0.552478837	-0.67060514	6.059843192	0.308673033	0.177659972	0.231625762	6.355678952	0.844686539	-1.403819663	-0.305273264	6.317596192	-0.892715607	-0.582027608	0.515438164	-4.105582195	0.281235343	-0.307730055	5.170051778	1.593786654	-0.190016986	6.166343385	3.744751219	-1.537403741	-0.002110481	0.470971272	3.108659008
hsa_piR_002808_DQ573776	-0.834100377	-4.334254234	0.487954546	0.43360855	-5.137441339	-0.67060514	-1.181929708	0.96074973	1.076829531	-5.32296309	1.896247333	1.581652134	0.032750998	-3.475198266	0.900616715	-1.387315376	-0.582027608	0.174401247	0.649305307	0.550696018	-3.387457246	0.040768761	-0.025609343	-0.220605305	3.569102555	-3.540651	3.608753095	-0.002110481	-0.447208642	-0.080002556
hsa_piR_002811_DQ573780	-3.004025379	-1.127803356	1.426554001	-5.062246478	-1.506675149	0.436310064	-5.031856642	1.994764387	1.444993092	-3.675264834	3.149077488	2.415002264	-1.046787767	-1.080206708	1.408721601	-1.667423296	-1.301399143	-1.375855576	-2.350694693	-0.034266483	3.779732788	-2.102189192	2.886568403	-0.852321575	0.06957553	-0.277616594	3.260829792	-2.344146149	-2.620744897	3.651349431
hsa_piR_002852_DQ573835	2.750862123	1.157598862	0.439044946	2.507609131	-0.645588243	-4.371044857	-0.491388452	2.348879356	-0.826995764	0.372488297	2.978709495	0.555179922	-0.861232114	-1.790700091	-0.265486576	-0.280400173	0.183507138	-0.484561835	-4.350694693	0.210846015	0.257867123	-0.03323182	-1.406213345	-0.038013892	-0.234147969	-0.093192023	-0.465116801	0.747911267	-0.277319867	1.18303185
hsa_piR_003007_DQ574050	-0.834100377	-0.164329233	-1.097007955	5.61194579	-0.552478837	-0.67060514	-0.894353117	-5.310046156	0.521614372	-5.260227335	1.896247333	0.259724039	0.11075351	-3.305273264	-1.150009359	-0.667423294	-0.582027608	0.515438164	0.649305307	-4.078660602	-0.307730055	0.040768761	-0.406213346	1.016433893	0.283700336	0.044311501	-0.198601827	-0.002110481	1.773534042	-0.080002556
hsa_piR_003731_DQ575069	-0.834100377	-0.164329233	2.925359858	5.139877345	-0.552478837	-6.314461329	2.059843192	4.151433292	-4.835937632	-3.353336739	3.481209834	0.259724039	1.695716011	-7.867515688	-7.779365979	4.856138661	2.002934892	1.515438165	0.649305307	5.647557557	-2.612241095	0.040768761	-0.231126639	3.679398905	0.283700336	-4.277616595	-0.198601827	-0.127641362	5.244325522	-4.937983551
hsa_piR_003739_DQ575080	-1.71862316	-4.919216735	1.999853584	0.497625042	3.447521161	-0.67060514	-4.216281213	0.244542696	-1.278086976	7.319088603	1.455674743	0.259724039	3.11075351	1.279689237	-2.22801187	-0.667423294	-4.582027609	-1.572024676	-4.051134411	0.117736611	-0.307730055	5.362696856	-1.45351906	1.016433893	0.283700336	5.567873457	-3.520529921	-0.002110481	-0.498983305	-3.080002556
hsa_piR_003853_DQ575245	-0.834100377	-0.164329233	-1.475519578	0.185681035	-0.552478837	5.136749781	4.353574396	-0.376945681	0.521614372	0.231625762	1.896247333	0.259724039	0.11075351	-0.305273264	-1.150009359	-0.667423294	-0.582027608	-0.958493023	3.234267807	-0.619228984	-0.307730055	0.040768761	-1.543716869	-1.79092103	-3.416739382	0.044311501	-0.198601827	-0.002110481	-7.182987321	-0.080002556
hsa_piR_004153_DQ575660	1.197748489	-0.444437152	0.272225855	3.474904966	1.041045675	1.562055616	4.03283224	0.829505196	-0.282834818	2.038980683	-0.171924169	2.072492457	2.890363442	-1.135348262	1.474481507	3.126335994	0.709738516	-0.723348695	3.056480688	2.498037069	-2.169083671	-0.12915624	1.889242538	2.775425792	-0.442538852	2.927797492	2.519254945	0.805244441	2.829592165	1.379429063
hsa_piR_004216_DQ575746	-6.043553743	-0.164329233	-1.77507986	0.185681035	5.469888974	-0.67060514	-4.179755337	-4.340419805	-3.28574055	0.231625762	1.896247333	0.259724039	0.11075351	5.087044159	-1.150009359	-0.667423294	-0.582027608	1.974869783	0.649305307	-0.619228984	-0.307730055	-3.281159333	-0.406213346	1.016433893	0.283700336	-5.313240504	-0.198601827	-0.002110481	-7.334990415	-0.080002556
hsa_piR_004271_DQ575827	0.165899622	-0.63708223	1.085195376	1.050751456	-0.515952963	2.136749782	-0.212678977	1.141449203	-0.94049138	0.360908778	0.066172336	1.141079543	-0.175550675	1.279689237	2.157419167	-0.442717009	-0.80442003	0.293045743	-0.321150418	1.06882701	0.107307446	-4.659670956	-0.550603254	0.364357195	-1.656178672	-1.286333812	-0.126452041	1.048515593	0.836399995	0.779819786
hsa_piR_004307_DQ575881	-0.834100377	4.835670767	-0.807501338	4.433608548	1.925568458	-0.67060514	0.570315149	1.151433292	2.521614373	0.549987241	-3.010643262	0.316307567	0.464390465	-1.890235765	0.570836571	2.85613866	-0.582027608	1.000864991	0.649305307	0.324187488	-1.530122474	-3.959231238	0.053218273	0.694505797	1.868662836	-2.277616594	5.324960129	-0.002110481	0.910702094	-0.080002556
hsa_piR_004308_DQ575882	-0.834100377	2.420633267	-1.097007955	3.355606036	2.617446163	-0.67060514	-0.894353117	3.566470791	0.521614372	6.53540651	-1.425680761	-4.647166556	2.432681605	-0.305273264	-1.150009359	2.420039545	-0.582027608	0.515438164	0.649305307	0.146305763	-1.182199171	-4.817212233	-0.406213346	-3.507128064	0.283700336	0.044311501	-0.198601827	-0.002110481	-1.42809982	-0.080002556
hsa_piR_004506_DQ576200	-0.097134783	-0.164329233	-1.097007955	0.185681035	-0.552478837	-0.67060514	3.913001804	1.414467698	0.521614372	0.231625762	3.481209834	-4.325238461	0.11075351	6.087044159	-1.150009359	-0.667423294	-0.582027608	0.515438164	0.649305307	-0.619228984	-0.307730055	0.040768761	-6.635032036	-3.442997727	0.283700336	0.044311501	-0.198601827	-0.002110481	-0.717606436	-3.664965056
hsa_piR_004553_DQ576262	-1.238490633	2.420633267	0.182374445	-0.482868095	-0.614255036	0.979452389	5.613441522	0.781808455	0.521614372	1.401550762	-2.389154884	-2.74027596	0.11075351	-2.375662591	-1.150009359	-1.491172656	-2.582027609	-0.534030512	-0.854585583	-0.118799994	-0.307730055	-0.306034002	-1.406213346	-0.274243268	0.283700336	-1.068751164	0.67015364	0.786385415	0.083799219	-0.664965056
hsa_piR_004801_DQ576605	-2.205397562	2.643025689	-4.114355198	-0.124659085	1.74520171	3.173743989	-5.462827497	-3.401619961	-0.542515964	2.625539969	2.137255434	-3.199707579	0.11075351	2.782189577	-0.123537147	1.664420268	0.526906762	2.715971152	-2.433156854	-0.335085551	-4.002875471	-1.092497769	-1.865644964	-6.07102895	-3.964227178	-3.353123682	-5.286064667	0.545377315	-4.8174272	1.591374697
hsa_piR_004895_DQ576731	-5.641455299	-0.164329233	-4.184470796	0.185681035	-0.552478837	-0.67060514	-0.894353117	-6.077385399	0.521614372	0.231625762	1.896247333	0.259724039	0.11075351	4.739120856	-1.150009359	-0.667423294	5.090397733	1.551062074	0.649305307	-0.619228984	-0.307730055	0.040768761	-0.406213346	-3.153491109	0.283700336	0.044311501	-0.198601827	-0.002110481	-8.086311301	-0.080002556
hsa_piR_004918_DQ576766	-0.834100377	3.643025689	-1.097007955	0.185681035	-0.552478837	-0.67060514	4.427574977	1.922614601	0.521614372	0.231625762	1.896247333	0.259724039	0.11075351	-0.305273264	-1.150009359	-0.545432771	-0.582027608	0.515438164	-3.672622788	-0.619228984	-0.307730055	4.040768761	-0.406213346	-2.684005826	0.283700336	0.044311501	-0.198601827	-0.002110481	1.541526532	6.007460285
hsa_piR_004962_DQ576828	-0.834100377	3.536110485	-1.097007955	0.185681035	-0.552478837	-0.67060514	5.036384219	0.244542696	0.521614372	0.231625762	1.896247333	0.259724039	0.11075351	-0.305273264	-1.150009359	-1.467124645	-0.582027608	0.515438164	-3.051134411	-0.619228984	-0.307730055	0.040768761	-2.183820924	1.016433893	0.283700336	4.503743119	-0.198601827	-0.002110481	-1.296855286	6.474586295
