Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
CCDC88C,0.508211201,-0.564198989,-0.956334922,-0.266249054,0.160567255,0.015606493,-0.818223722,-0.378386803,-0.178802848,-0.934577736,-0.14557596,-0.08004076,-0.053897241,-0.590078402,-0.479385652,0.399542084,-1.703707717,0.172671021,-1.140110699,-0.244099917,-0.013773757,-0.371066453,0.603465402,-1.313058428,-1.210545754,-0.507515132,-0.319664296,0.111632057,-0.39643354,-0.717909996,-1.265015224,-0.751913425,-0.799146438,-0.367795147
CCL7,1.850547229,2.157881629,3.00763475,3.687408036,2.888222981,3.14126398,2.612757505,2.002694475,2.567754414,-0.08316137,1.640273156,2.750119979,2.799726611,1.694132247,3.125156434,3.118422993,3.285753278,2.046425054,1.477458745,3.672027009,1.610557036,0,2.327466807,3.285415612,1.693369359,0.848778864,2.066685079,2.805573278,2.411652724,-0.383367905,4.165117985,2.916497145,2.900910299,0.72723749
CCT6A,0.011997588,-0.338161195,0.306709512,-0.232224067,0.005035393,0.237532101,-0.23294441,-0.081621244,0.125048767,-0.026823983,-0.524333982,0.085375371,0.181579282,-0.708681577,0.024400753,0.317472109,-0.401300458,-0.020921163,-0.422999792,-0.351600287,-0.138595223,-0.170899991,0.080494266,-0.759457592,-0.52690779,-0.485628113,-0.144347743,-0.11770746,-1.478317502,-1.091866882,-0.236854566,0.040672822,-0.679448487,-0.412404933
CCZ1B,0.64007998,0.172067672,0.510025887,0.063268002,0.174218949,0.160401964,-0.220180317,-0.105125721,1.211278637,0.399787222,-0.090854211,0.446454605,0.356290719,-0.196946599,-0.105735897,0.4484386,-0.90694261,0.037938352,-0.770653359,0.233465719,-0.159859536,0.147199049,0.408723248,-0.000373933,0.358148547,0.318228294,0.940211422,0.633635961,-0.838937391,0.010908756,0.213478763,0.823257824,0.443060366,-0.395782922
CD180,-0.600390862,0.434425575,-0.099436548,0.898718489,-0.953006234,-0.592405525,0.09341353,0.246717099,0.173626177,-0.211325746,0.361690213,-0.063416349,0.905630123,0.228056163,0.276613048,-0.553376427,-1.730217285,-0.433519649,-0.996869628,-0.5379788,0.411191843,-0.07150567,1.608553744,0.041565954,-0.232330913,-0.855840096,0.903521731,0.356008474,-0.94185021,-0.559752827,-1.279965648,-0.687593353,0.018080529,-0.968849549
CD1E,-1.792736265,-2.742582219,-1.103718899,-2.236997896,0.697677186,-1.469678353,-2.318371812,-2.81510961,-2.46167555,-0.813504794,-2.662679216,-2.312157712,-1.169398963,-2.490099346,-2.649489565,-0.65955169,1.003606859,-1.950816082,-1.783641673,-1.52855827,-0.430392423,-0.255969601,-2.445341774,-0.154041255,-0.884005789,-0.528623867,-2.457004138,-1.34104518,-0.357924702,-1.94179039,0.110896831,-1.384339055,-1.06547438,-0.749249231
CDADC1,0.030510097,-0.077789396,0.030199231,0.406630078,-0.495458029,0.324715193,0.430329971,-0.594880447,-0.396050232,0.678513504,-0.393265012,-0.149150631,0.147583636,0.011846737,-0.700284082,0.260407281,-0.223608023,0.218953048,0.06598243,0.557055033,-0.005711706,0.411489245,-0.025013543,-0.537146382,-0.350202039,0.810051466,-0.325478096,-0.144754944,0.360472358,-0.130180642,0.962626303,-0.423903328,-0.447687765,0.141838173
CDC26,1.082761891,-0.247977444,-0.060838068,0.282978877,0.73554282,0.131138496,-0.090778548,0.362328222,0.851188529,0.750646964,-0.550732576,0.614932791,-0.215172811,-0.083793027,0.138618959,0.182627204,-1.206992069,0.230901241,-1.52528763,-0.624926569,-0.0585373,-0.679008263,0.405708064,0.291021294,0.74688746,-0.369958748,0.572368827,0.475620521,-1.464062733,-0.107240946,-0.249649313,0.509679406,0.046650811,-0.091350186
CDK12,-0.348393648,0.166917543,0.079089672,0.131782985,-0.001415101,-0.006175863,0.023876035,0.370370423,-0.091029065,0.06566811,0.688551835,0.428500169,0.346002857,-0.176491534,0.591488477,0.204817273,0.740084412,0.005083206,0.530124506,0.061309334,-0.035835696,0.420305192,-0.021522452,-0.228988725,-0.044140323,0.326493957,0.033722708,0.252667049,0.351763175,0.641902416,0.033805277,0.324716765,-0.553660822,0.428308508
CDK19,-0.42133687,0.155666596,0.27677313,0.255875286,0.329435824,0.162352512,0.61088018,0.52950181,-0.514615126,0.601585444,-0.369208634,0.289121349,-0.109717873,0.53301024,0.402684729,-0.071726959,0.006305097,-0.299348032,0.502447683,-0.025703752,0.115346075,0.021025093,-0.55212259,0.000907041,0.666743624,0.083889507,-0.145438829,0.336753775,1.082035488,0.681743406,0.71597457,0.111386606,-0.447517271,0.691836851
