	3-HYDROXYBUTYRIC-ACID-2TMS-1-M/z204	LYSINE-N-N-O-TMS_1-1-M/z102	HEPTADECANOIC-ACID-TMS-1-M/z132	Benzenebutanoic_acid_Ri2182Mz192	FUMARIC-ACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	FRUCTOSE-MEOX-5TMS_1-1-M/z366	INOSINE-4TMS-1-M/z217	GAMMA-TOCOPHEROL-TMS-1	DODECANOIC-ACID-TMS-1-M/z257	GALACTURONIC-ACID-MEOX-5TMS_2-1-M/z334	GLUTAMINE-N-N-O-TMS_1-1-M/z347	GLUCURONIC-ACID-MEOX-5TMS_2-1-M/z334	GLYCINE-N-N-O-TMS-1-M/z246	HEXADECANOIC-ACID-TMS-1-M/z171	GLYCERIC-ACID-3TMS-1-M/z307	HYPOXANTHINE-2TMS-1-M/z282	CYSTEINE-N-O-S-TMS-1-M/z218	CYSTINE-N-N-O-O-TMS-1-M/z297	CITRULLINE-3TMS_1-(Ornthine)-1	CREATININE-3TMS-1-M/z329	ACETAMINOPHEN-2TMS-1-M/z297	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ACONITIC-ACID--trans-3TMS-1	2-AMINOBUTYRIC-ACID--O-N-TMS-1-M/z130	ISOCITRIC-ACID-4TMS-1-M/z466	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMS-derivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	BENZOIC-ACID-TMS-1	CITRIC-ACID-4TMS-1-M/z465	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX-8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE--N-N-O-TMS-1-M/z304	INOSITOL--scyllo-6TMS-1-M/z432	Kynuerine_Mz192-Time:-373.01-to-374.92-Mass:-192-to-192	Myo_Inositol_phosphate_Ri2399Mz299	SALICYLIC-ACID-2TMS-1-M/z268	SORBOSE-MEOX-5TMS_1-1-M/z364	SERINE-N-O-O-TMS-1-M/z307	PYROGLUTAMIC-ACID-N-O-TMS-1-M/z159	ISOLEUCINE--N-O-TMS-1-M/z233	PHENYLALANINE-N-O-TMS-1-M/z268	ORNITHINE-N-N-O-TMS_1-1-M/z144	SORBOSE-MEOX-5TMS_2-1	SUCROSE-8TMS-1-M/z362	TAURINE-3TMS-1-M/z328	THREONINE-N-O-O-TMS-1-M/z293	-Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URIC-ACID-N-O-O-O-TMS-1-M/z72	TYROSINE-N-O-O-TMS-1-M/z382	TRYPTOPHAN-N-N-O-TMS-1-M/z303	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	OCTADECENOIC-ACID--9-(Z)-TMS-1-M/z222	OCTADECENOIC-ACID--9-(E)-TMS-1-M/z339	LYXOSE-MEOX-4TMS_1-1-M/z104	LYSINE-N-N-N-O-TMS_2-1	LEUCINE--N-O-TMS-1-M/z158	LAMINARIBIOSE-MEOX-8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LACTOSE-MEOX-8TMS_1-1-M/z204	LYSINE-N-N-O-TMS_3-1	MALIC-ACID-3TMS-1-M/z245	OCTADECANOIC-ACID-TMS-1-M/z313	MALTOSE-MEOX-8TMS_1-1-M/z361	OCTADECADIENOIC-ACID--9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1-M/z159	METHYL-HISTIDINE-2TMS-1-M/z168	ISOERYTHRITOL-4TMS-1-M/z277	Class
G119	-61.0	-224.0	223.0	-405.0	59.0	-262.0	199.0	-1834.0	-534.0	231.0	-222.0	1018.0	-214.0	-1369.0	2549.0	-625.0	-441.0	-2597.0	-859.0	-11166.0	40.0	206.0	-273.0	1653.0	-24173.0	-143.0	1453.0	271.0	-2013.0	55.0	-388.0	-706.0	-1517.0	1491.0	-158.0	-74.0	-279.0	604.0	-291.0	1048.0	619.0	3584.0	-813.0	-1242.0	-564.0	-38.0	-562.0	125410.0	-90.0	-18.0	-2615.0	-1635.0	-2076.0	-52195.0	-1734.0	-1037.0	-525.0	305.0	763.0	34.0	-143241.0	-99443.0	-226.0	-111.0	-468.0	-2548.0	49.0	268.0	-181.0	2901.0	-286.0	5.0	-437.0	37.0	-263.0	P
G120	5540.0	180.0	854.0	2371.0	593.0	263.0	-4916.0	1812.0	2379.0	-986.0	-1141.0	1411.0	-1152.0	-371.0	8870.0	189.0	341.0	5525.0	273.0	38820.0	1465.0	-452.0	-154.0	1023.0	40929.0	419.0	-3015.0	-2396.0	774.0	602.0	1882.0	-121.0	464.0	-23563.0	406.0	-362.0	-514.0	324.0	800.0	-949.0	-117.0	-21425.0	1111.0	38.0	4003.0	369.0	1020.0	-590674.0	276.0	0.0	1820.0	229.0	2381.0	498.0	1559.0	567.0	2067.0	18438.0	65649.0	-634.0	259962.0	256129.0	328.0	411.0	390.0	136.0	634.0	-9.0	954.0	6763.0	730.0	-34.0	32.0	663.0	261.0	w
G126	-4080.0	2099.0	-462.0	589.0	-626.0	-515.0	-483.0	2141.0	-2763.0	-1329.0	-1420.0	1931.0	-1398.0	1986.0	-6440.0	-207.0	469.0	8008.0	1230.0	16063.0	-6586.0	349.0	95.0	-2254.0	-6781.0	-196.0	-5401.0	-676.0	2341.0	-3180.0	1434.0	-1413.0	-375.0	-29667.0	818.0	-671.0	101.0	1955.0	328.0	-875.0	-133.0	-369.0	1123.0	1634.0	-1333.0	-212.0	2838.0	1640.0	-70.0	4.0	-1042.0	-2390.0	-2011.0	-42129.0	1036.0	-402.0	2141.0	-3713.0	-11838.0	39.0	-309997.0	-28286.0	591.0	-230.0	31.0	-448.0	-753.0	-1026.0	1015.0	-269.0	13.0	260.0	985.0	-492.0	-518.0	P
G130	-422.0	874.0	788.0	252.0	-226.0	-68.0	423.0	-928.0	781.0	-79.0	243.0	-297.0	226.0	909.0	-2164.0	154.0	415.0	-8188.0	-767.0	15906.0	1466.0	99.0	-248.0	-239.0	-8944.0	-827.0	-373.0	-413.0	71.0	-641.0	559.0	-364.0	-1000.0	-15435.0	-604.0	168.0	-2.0	-1003.0	265.0	-1307.0	456.0	2447.0	258.0	-147.0	142.0	-353.0	1130.0	81425.0	-536.0	122.0	2230.0	-1311.0	511.0	-8604.0	305.0	-289.0	1736.0	-4266.0	-15939.0	-242.0	156142.0	82676.0	-786.0	-197.0	959.0	2179.0	581.0	-1041.0	-299.0	-4626.0	-324.0	-87.0	-317.0	-1118.0	-62.0	w
G304	-40.0	-1208.0	-1396.0	1250.0	384.0	248.0	477.0	-3720.0	-1343.0	-2256.0	702.0	-1001.0	705.0	1321.0	-5415.0	192.0	-802.0	-3484.0	27.0	-6389.0	-3899.0	6770.0	-667.0	97.0	10172.0	-427.0	-375.0	-143.0	3939.0	434.0	31.0	438.0	356.0	-10622.0	-1213.0	22.0	0.0	2800.0	521.0	-565.0	523.0	2888.0	152.0	331.0	191.0	-393.0	-228.0	97169.0	208.0	0.0	-3438.0	-1378.0	-211.0	-6353.0	-220.0	-450.0	-1105.0	-1555.0	-1638.0	4341.0	-31263.0	45529.0	-1087.0	72.0	-320.0	1764.0	-730.0	-2255.0	-1222.0	-3325.0	23.0	257.0	510.0	977.0	249.0	w
G305	3751.0	-2606.0	1123.0	619.0	9.0	154.0	110.0	3125.0	4916.0	2371.0	683.0	-1450.0	680.0	294.0	9770.0	212.0	753.0	4915.0	-438.0	-38820.0	-508.0	-246.0	113.0	1030.0	-20268.0	1573.0	177.0	464.0	2249.0	-497.0	-231.0	4303.0	3581.0	-25542.0	-698.0	-46.0	217.0	1017.0	371.0	-310.0	-287.0	463.0	215.0	1658.0	-1964.0	76.0	-1993.0	3842.0	-411.0	0.0	-2362.0	1198.0	-4466.0	1606.0	-1698.0	195.0	-515.0	10871.0	41241.0	-10.0	-322153.0	-94574.0	-532.0	-202.0	-41.0	-1652.0	351.0	1585.0	-290.0	5245.0	-175.0	474.0	600.0	-2309.0	155.0	w
G306	-4347.0	-4.0	-571.0	1006.0	-1434.0	190.0	-31.0	-500.0	-1637.0	-1451.0	-58.0	248.0	-59.0	-1608.0	-5426.0	749.0	139.0	-5158.0	278.0	-31552.0	4631.0	156.0	-127.0	1358.0	-41633.0	-2000.0	-788.0	-465.0	-3407.0	167.0	-1343.0	655.0	-3567.0	-1639.0	831.0	319.0	-33.0	2590.0	251.0	-744.0	124.0	84.0	-1292.0	134.0	-770.0	-371.0	-883.0	736.0	1597.0	-32.0	-9680.0	-111.0	-888.0	-6397.0	558.0	-120.0	-1235.0	-10145.0	-38870.0	-532.0	-41940.0	20323.0	878.0	-209.0	794.0	-516.0	-225.0	-687.0	586.0	-6883.0	-249.0	-122.0	628.0	-327.0	187.0	w
G311	-1666.0	1326.0	257.0	77.0	231.0	86.0	-711.0	-4583.0	670.0	436.0	112.0	1345.0	115.0	-87.0	1209.0	-442.0	-1106.0	6390.0	420.0	39032.0	594.0	-254.0	-321.0	-229.0	-8841.0	-826.0	-1237.0	-459.0	2689.0	-293.0	2273.0	2047.0	768.0	-6666.0	-2205.0	1494.0	360.0	-1009.0	-292.0	-66.0	-34.0	-716.0	-194.0	654.0	5214.0	1388.0	2304.0	-8053.0	-1077.0	-557.0	501.0	1912.0	6117.0	19959.0	1409.0	-60.0	2428.0	6065.0	20867.0	140.0	402975.0	347942.0	-1801.0	-216.0	-98.0	87.0	336.0	105.0	-2238.0	6195.0	-197.0	-313.0	-651.0	4388.0	87.0	P
G313	-1111.0	111.0	-803.0	-805.0	-865.0	-337.0	-4588.0	371.0	-1170.0	-1997.0	-170.0	-665.0	-176.0	1394.0	-4868.0	-936.0	-365.0	-765.0	-742.0	21112.0	8120.0	41.0	440.0	2352.0	11055.0	-1636.0	-2779.0	-1071.0	-2680.0	-304.0	856.0	1131.0	-2756.0	-20496.0	410.0	104.0	546.0	-2071.0	-469.0	-307.0	-171.0	-22228.0	330.0	1173.0	2625.0	-95.0	1485.0	-644631.0	-1370.0	150.0	4151.0	-846.0	-579.0	-17629.0	882.0	-897.0	735.0	-3541.0	-12100.0	185.0	296933.0	86966.0	910.0	178.0	-133.0	674.0	-505.0	-693.0	273.0	-3682.0	169.0	-140.0	74.0	-56.0	-335.0	P
G314	-43606.0	946.0	-4008.0	1290.0	-1305.0	33.0	-296.0	-2340.0	-993.0	-3833.0	1.0	-885.0	-4.0	-604.0	-21945.0	-613.0	-172.0	12659.0	-1314.0	89497.0	9277.0	-97.0	42.0	1007.0	-25130.0	-263.0	143.0	421.0	1115.0	403.0	1818.0	1741.0	-213.0	8573.0	-653.0	2787.0	896.0	-1617.0	598.0	882.0	1.0	-681.0	-177.0	545.0	8467.0	842.0	5702.0	-20507.0	319.0	411.0	3459.0	-341.0	10892.0	-12797.0	2710.0	1194.0	2279.0	-42544.0	-132173.0	-34.0	502824.0	418161.0	-161.0	65.0	-415.0	6787.0	-178.0	-3924.0	-234.0	-24528.0	100.0	-77.0	-101.0	12271.0	27.0	w
G315	349.0	-378.0	-584.0	-293.0	-21.0	-93.0	632.0	-1147.0	-450.0	217.0	333.0	-477.0	325.0	872.0	-2162.0	359.0	-335.0	-4569.0	-152.0	30937.0	2385.0	-2493.0	-142.0	3460.0	9813.0	1324.0	-3691.0	118.0	2224.0	-656.0	3628.0	76.0	1618.0	16617.0	-9.0	559.0	51.0	45.0	9.0	359.0	-198.0	2236.0	1348.0	1216.0	5748.0	1028.0	1255.0	60075.0	-2616.0	560.0	1822.0	-2222.0	3375.0	16017.0	1078.0	215.0	1050.0	-3903.0	-13581.0	916.0	506103.0	328872.0	285.0	-109.0	-60.0	4886.0	-62.0	-35.0	-534.0	1190.0	-143.0	224.0	-153.0	3492.0	-88.0	P
