	LYSINE-N-N-O-TMS_1-1-M/z102	THREONINE-N-O-O-TMS-1-M/z293	ISOLEUCINE-N-O-TMS-1-M/z233	TYROSINE-N-O-O-TMS-1-M/z382	FUMARICACID-2TMS-1-M/z246	GALACTURONICACID-MEOX5TMS_2-1-M/z334	CYSTINE-N-N-O-O-TMS-1-M/z297	GAMMA-TOCOPHEROL-TMS-1	ERYTHRITOL-4TMS-1-M/z277	DODECANOIC-ACID-TMS-1-M/z257	FRUCTOSE-MEOX5TMS_1-1-M/z366	GLUTAMINE-N-N-O-TMS_1-1-M/z347	GLUCURONICACID-MEOX5TMS_2-1-M/z334	CREATININE-3TMS-1-M/z329	HYPOXANTHINE-2TMS-1-M/z282	HEXADECANOICACID-TMS-1-M/z171	HEPTADECANOICACID-TMS-1-M/z132	GLYCINE-N-N-O-TMS-1-M/z246	GLYCERICACID-3TMS-1-M/z307	CYSTEINE-N-O-S-TMS-1-M/z218	CITRULLINE-3TMS_1(Ornthine)-1	INOSITOL-scyllo-6TMS-1-M/z432	3-HYDROXYBUTYRICACID-2TMS-1-M/z204	ACONITICACID-trans-3TMS-1	ACETAMINOPHEN-2TMS-1-M/z297	2-AMINOBUTYRICACID-O-N-TMS-1-M/z130	CITRICACID-4TMS-1-M/z465	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE-N-N-O-TMS-1-M/z304	BENZOICACID-TMS-1	INOSINE-4TMS-1-M/z217	Kynuerine_Mz192-Time:373.01to374.92Mass:192to192	ISOCITRICACID-4TMS-1-M/z466	SORBOSE-MEOX5TMS_2-1	SERINE-N-O-O-TMS-1-M/z307	SALICYLICACID-2TMS-1-M/z268	PYROGLUTAMICACID-N-O-TMS-1-M/z159	PHENYLALANINE-N-O-TMS-1-M/z268	ORNITHINE-N-N-O-TMS_1-1-M/z144	SORBOSE-MEOX5TMS_1-1-M/z364	SUCROSE-8TMS-1-M/z362	OCTADECENOICACID--9-(Z)-TMS-1-M/z222	TAURINE-3TMS-1-M/z328	Benzenebutanoic_acid_Ri2182Mz192	Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URICACID-N-O-O-O-TMS-1-M/z72	TRYPTOPHAN-N-N-O-TMS-1-M/z303	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	OCTADECENOICACID-9-(E)-TMS-1-M/z339	Myo_Inositol_phosphate_Ri2399Mz299	LYXOSE-MEOX4TMS_1-1-M/z104	LYSINE-N-N-N-O-TMS_2-1	LEUCINE-N-O-TMS-1-M/z158	LAMINARIBIOSE-MEOX8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LACTOSE-MEOX8TMS_1-1-M/z204	LYSINE-N-N-O-TMS_3-1	MALICACID-3TMS-1-M/z245	OCTADECANOICACID-TMS-1-M/z313	MALTOSE-MEOX8TMS_1-1-M/z361	OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159	METHYLHISTIDINE-2TMS-1-M/z168	ISOERYTHRITOL-4TMS-1-M/z277	Class
G119	-437.0	-6575.0	-3819.0	-3632.0	-562.0	-1261.0	-1945.0	-37.0	-51.0	6937.0	-321.0	580.0	-1253.0	2296.0	-86.0	25371.0	4095.0	-3089.0	-1067.0	1336.0	-20137.0	140.0	32341.0	-4395.0	-138.0	-20660.0	-921.0	-426.0	-173.0	-228.0	-6850.0	-73.0	-4750.0	47.0	1199.0	334.0	-496.0	805.0	-387.0	-903.0	-939.0	-10511.0	-1154.0	103.0	-3214.0	-862.0	-1131.0	-481.0	-264.0	39442.0	-534.0	-1218.0	-2211.0	-5288.0	-30627.0	-1961.0	-2683.0	127684.0	202.0	-117.0	-177944.0	-393665.0	1079.0	309.0	-721.0	-2287.0	418.0	1437.0	1657.0	32545.0	460.0	-69.0	-359.0	-130.0	-52.0	Persistent
G120	376.0	-366.0	837.0	901.0	149.0	-892.0	272.0	-96.0	129.0	-282.0	2460.0	1469.0	-917.0	-1066.0	-161.0	371.0	-85.0	-2338.0	-590.0	9732.0	42221.0	1691.0	1408.0	1233.0	-452.0	5588.0	-2695.0	-334.0	-3025.0	-267.0	55.0	511.0	963.0	-18839.0	-288.0	-14.0	-504.0	1176.0	2798.0	722.0	-1400.0	317160.0	-192.0	-616.0	-199.0	352.0	1819.0	14089.0	110.0	498.0	0.0	1765.0	-759.0	571.0	1659.0	-381.0	728.0	2122.0	-54.0	3421.0	70746.0	36313.0	-44.0	593.0	376.0	867.0	-114.0	-117.0	-445.0	-786.0	551.0	-127.0	325.0	1019.0	132.0	Waned
G126	-2535.0	-4718.0	-2695.0	-855.0	407.0	-910.0	1009.0	-509.0	-336.0	-1830.0	33.0	-691.0	-897.0	-6871.0	-893.0	740.0	-55.0	-686.0	75.0	11898.0	10662.0	1042.0	-2248.0	-2339.0	728.0	7426.0	-991.0	-3873.0	-1549.0	599.0	-1082.0	-1073.0	-930.0	1657.0	-1045.0	-556.0	81.0	-1186.0	658.0	788.0	32.0	65280.0	151.0	68.0	-791.0	142.0	-17.0	1849.0	829.0	-246.0	-65.0	1285.0	-1821.0	-3719.0	-10955.0	-443.0	-1164.0	3587.0	2.0	-184.0	-511718.0	-253952.0	-1057.0	-311.0	-665.0	-2314.0	-209.0	-9.0	-1127.0	3271.0	-753.0	-124.0	263.0	-395.0	-339.0	Persistent
G302	-6746.0	-2874.0	-2717.0	-3778.0	322.0	-1422.0	-1053.0	-618.0	470.0	643.0	-646.0	-3431.0	-1421.0	-5517.0	-2028.0	-1457.0	-62.0	-454.0	343.0	-15653.0	-78409.0	-2265.0	-1634.0	-1911.0	-94.0	-14049.0	-1031.0	-3313.0	198.0	40.0	-5592.0	-799.0	-3969.0	-15615.0	955.0	457.0	323.0	1483.0	-3039.0	-487.0	-632.0	-146193.0	-1071.0	-82.0	-521.0	-502.0	-4362.0	-3847.0	-1019.0	-1992.0	42.0	-1233.0	-1773.0	-5312.0	-2665.0	-1819.0	-757.0	-7558.0	-552.0	57.0	29467.0	-259620.0	-282.0	254.0	205.0	-4366.0	396.0	-398.0	-135.0	-2834.0	160.0	-64.0	-636.0	171.0	464.0	Waned
G304	-1564.0	1194.0	700.0	-556.0	-227.0	40.0	-575.0	-874.0	743.0	-1754.0	425.0	-1498.0	42.0	2102.0	-399.0	-5761.0	-765.0	-96.0	-190.0	-1351.0	-22575.0	2062.0	-1721.0	5596.0	3455.0	-6199.0	-3476.0	-122.0	-96.0	-625.0	2525.0	244.0	-1151.0	2485.0	-1414.0	-217.0	208.0	136.0	-1788.0	39.0	-2488.0	142833.0	-765.0	250.0	-84.0	-386.0	-2230.0	4029.0	1402.0	-10633.0	0.0	208.0	-676.0	717.0	-16386.0	-870.0	-2201.0	-34427.0	-544.0	4880.0	-50322.0	31502.0	-1149.0	-190.0	-97.0	762.0	-1153.0	-1713.0	-1264.0	-7139.0	-192.0	104.0	701.0	404.0	744.0	Waned
G305	-901.0	-1767.0	799.0	337.0	1098.0	643.0	-94.0	808.0	580.0	-834.0	570.0	433.0	640.0	-5380.0	490.0	-1118.0	-317.0	785.0	506.0	-777.0	-20300.0	1941.0	-507.0	-927.0	-304.0	-13672.0	391.0	496.0	-962.0	108.0	8581.0	-312.0	492.0	-3954.0	-1300.0	-165.0	256.0	1618.0	1802.0	-113.0	1086.0	1715.0	827.0	50.0	529.0	340.0	-386.0	94.0	-655.0	-3060.0	234.0	-635.0	892.0	-2682.0	6878.0	-177.0	-500.0	-8137.0	604.0	624.0	-45631.0	61884.0	-1015.0	-471.0	-35.0	947.0	-98.0	-12.0	-1194.0	-3686.0	-472.0	56.0	580.0	-790.0	580.0	Waned
G311	312.0	30.0	4715.0	3170.0	99.0	265.0	430.0	592.0	-462.0	1266.0	-321.0	166.0	266.0	1139.0	-1003.0	-4392.0	-787.0	-483.0	-222.0	3819.0	32664.0	-2661.0	-1954.0	1843.0	2088.0	-34398.0	-553.0	-407.0	4.0	-367.0	-176.0	-349.0	236.0	-4429.0	-735.0	158.0	24.0	1367.0	-4182.0	471.0	-1654.0	-10764.0	68.0	-360.0	1155.0	990.0	1248.0	-730.0	-452.0	-6681.0	-677.0	1224.0	788.0	3931.0	8064.0	-283.0	2234.0	-22503.0	-197.0	-118.0	265895.0	327696.0	-844.0	-22.0	412.0	-454.0	-45.0	173.0	-625.0	-4000.0	-10.0	-250.0	-772.0	-64.0	-458.0	Persistent
G313	-168.0	-4809.0	-1956.0	-860.0	-59.0	-633.0	-637.0	-835.0	-637.0	-2093.0	-61.0	-615.0	-633.0	2240.0	-66.0	-4268.0	-337.0	-1121.0	146.0	-5806.0	-23088.0	360.0	-1655.0	2757.0	508.0	-16787.0	99.0	-3240.0	-1293.0	-106.0	-3300.0	-60.0	-2047.0	-12517.0	1484.0	-16.0	342.0	-1006.0	35.0	-116.0	-241.0	-5873.0	-731.0	-269.0	-2027.0	230.0	-1425.0	-681.0	4667.0	-2370.0	483.0	297.0	-1751.0	-2706.0	10263.0	-2013.0	-97.0	-6245.0	-529.0	-6.0	53721.0	-190992.0	1927.0	117.0	-288.0	35.0	-81.0	-1296.0	1116.0	-3992.0	1020.0	31.0	576.0	-112.0	-637.0	Persistent
G314	439.0	-764.0	564.0	-839.0	-1401.0	-583.0	-981.0	-106.0	-272.0	-1762.0	216.0	440.0	-589.0	3301.0	-282.0	-3629.0	-823.0	-381.0	251.0	8765.0	26307.0	-126.0	-569.0	-648.0	-131.0	-18001.0	-1840.0	-861.0	-1235.0	98.0	-2063.0	-121.0	908.0	13495.0	55.0	93.0	244.0	699.0	-1241.0	147.0	-1159.0	-8738.0	-673.0	-155.0	-286.0	-387.0	1572.0	-177.0	-103.0	-11301.0	219.0	404.0	-164.0	2079.0	-10292.0	-276.0	162.0	-31539.0	204.0	-97.0	133299.0	55574.0	404.0	248.0	163.0	-1613.0	96.0	-887.0	584.0	-6408.0	406.0	157.0	-406.0	-350.0	-275.0	Waned
G315	-564.0	-4126.0	828.0	-877.0	1195.0	66.0	201.0	582.0	194.0	200.0	3.0	1466.0	71.0	-3214.0	709.0	7327.0	1391.0	-2845.0	10.0	-4340.0	4568.0	1760.0	4633.0	-2091.0	2016.0	-29096.0	771.0	-2139.0	477.0	-37.0	-4554.0	-773.0	-746.0	1434.0	1304.0	-24.0	874.0	1137.0	131.0	-292.0	417.0	-79458.0	-479.0	228.0	-799.0	138.0	311.0	-1877.0	-2305.0	11414.0	0.0	-516.0	-741.0	395.0	7866.0	-964.0	-973.0	38871.0	226.0	292.0	-94069.0	13729.0	539.0	138.0	392.0	639.0	-111.0	1256.0	457.0	3212.0	561.0	189.0	-95.0	1249.0	190.0	Persistent
