	p_APEX1	p_S100P	p_TRIM5	p_ENTPD5	p_IL7	p_DNER	p_DFFA	p_MMP-1	p_ICA1	p_CNTNAP2	p_EGLN1	p_ZBTB16	p_IRF9	p_SERPINB8	p_CCL23	p_TNFRSF9	p_CXCL12	p_CD40	p_FCRL6	Class
G104	-0.424117306	-0.196292911	-0.211795023	0.422799608	-0.067186804	-0.053210116	-0.105537797	-0.086371626	-7.419245791	0.050801349	-0.304748823	-7.509380883	-0.096806032	0.024375361	-0.151039297	-0.059045571	-0.012166886	9.898023535	3.371139945	P
G108	0.32555112	0.776794867	-2.828248828	0.00473113	0.090805243	-0.056210344	0.146790864	0.017459209	0.244132478	-0.265558742	-3.302084106	0.439618068	0.601965428	0.141981635	-6.660058508	-0.093913407	0.034229986	6.645844264	-0.016705256	P
G110	-1.023619502	-0.30277135	-1.200669994	0.761982814	3.654647681	-0.027603378	-0.648482227	0.038079206	-7.691146966	-0.313297485	-3.969526002	-1.521597904	-4.087685875	-0.810130468	0.015151687	-0.200147488	7.337539023	0.008604568	0.201391301	P
G117	-0.310278943	-0.09688128	3.180540648	-3.153922732	-0.286837898	-0.003961537	-0.216199493	6.471710887	-0.248976855	-0.052099676	-0.043848209	-0.494365792	-0.032768601	0.132731661	-0.015325731	0.018344513	0.261866412	-0.025560226	-0.010395428	w
G126	-1.104970287	-7.06189249	-6.972464732	0.389160256	0.310164724	0.106023656	-0.477588988	-0.048075651	-7.665187843	-0.310220752	-7.972312082	-5.058396413	-7.293817459	-0.12755633	-9.916394431	0.02683262	8.072672854	-3.287112094	-0.011166103	P
G128	-8.029079385	-7.803759	-7.320529542	3.569934975	-0.655326396	-0.022081447	-6.946628169	-0.156677466	-4.10107485	0.014420747	0.079758931	-8.088710308	-7.966055793	-0.683848977	-0.014623243	-0.126233713	0.625565439	9.905211215	3.365629354	P
G302	0.684000875	0.746471384	0.186565952	-0.000523116	-0.210686034	-0.034061565	-0.019848383	-0.04453116	-0.336526282	-3.190329828	0.376143319	0.086871387	0.52826655	0.271138324	-0.046790822	-0.123907914	0.4773521	0.013584799	-0.097986854	w
G304	-0.03023106	0.447693172	-8.629647292	-0.015875586	-0.071522213	3.390570441	2.854494198	6.528320831	-7.549024194	0.006489483	-0.288824749	-10.38502174	-0.289679384	-0.169969915	3.334942286	0.014525198	-0.579428548	-9.91775533	-3.198669249	w
G306	8.296143654	8.269138933	4.110880101	-0.012223184	-2.974348761	-0.067012539	0.532562309	0.054068102	7.651806215	-3.595791591	3.733584007	8.749917976	0.997377877	0.537280736	-0.052181473	0.023243599	-7.086371342	-0.090231686	-3.312660787	w
G332	-8.629893752	-7.60714614	-8.624293402	0.920504831	0.609492387	0.041160977	-0.603826174	0.171611378	-7.974398675	0.322878487	-8.346138546	-6.564506462	-0.599526028	-0.998650069	-9.892887056	-0.072057057	6.991414816	-3.248238204	0.268447245	P
G337	-0.304266717	0.663141602	0.261724197	0.307255964	-2.712494143	0.034554549	3.332712906	6.765562371	0.386609256	0.01869526	-0.352808841	6.937513236	0.16754082	0.11506511	0.039589197	0.124838619	0.196152416	-9.885616417	0.28503465	w
G358	0.470774328	7.482096584	7.203729792	-0.087977135	-0.307867902	3.34090229	3.450937457	-0.160811666	7.305758811	-3.362848834	0.559467894	7.231722855	0.227985992	0.136473086	-0.000718145	0.093566435	-0.003157564	-0.029158819	0.015279725	w
