	SNX15	AASS	CIC	CYYR1	TMEM156	ZNF516	CLDN7	EGR3	PLA2G4C	PPIH	TMEM184A	ORAOV1	BCS1L	CD209	GATAD2B	IRF4	PI4KAP1	FRYL	MREG	PTPN4	ZNHIT3	MICAL3	ARHGAP33	NELL2	STK17A	SIPA1	TUBGCP6	GOLIM4	THTPA	FBXL19	PKMYT1	UPF1	SNORA30	STBD1	UPP1	SLC12A6	LY6G5B	MIR1307	PPFIA3	SOCS3	MED12	NR2C2AP	TBC1D19	SNORA70B	ITGB2-AS1	CIT	RBM48	GPSM2	TMX1	ZXDA	TPPP3	ZNF597	MRPS11	IL16	CDC42EP1	DDX24	HOXA4	ICOSLG	FAM122A	LOC727896	PVRL3	SPPL3	C19orf71	POLR2M	MRPL55	SH2D3A	LOC100507053	GPATCH3	TAF6L	ZC3HC1	AATF	Class
G119	-0.036350273	1.04161359	-0.193071026	-0.756630197	-0.612384997	-0.807037584	-0.11359313	0.73547201	0.899943094	0.558578831	1.043983313	0.547260833	0.293369361	-0.756630197	-0.329220703	0.217399052	0.156586728	0.025677142	0.280247822	0.082967565	-0.081938641	-0.827302808	-0.175328554	0.713936949	-0.181834657	-0.32246247	-0.331191808	1.305995552	-0.078362812	0.926840762	-0.660612471	-0.14008989	0.131164051	0.117584013	0.262511828	-0.627495116	-0.060837773	-0.700702934	0.692673055	-1.029924186	-0.015868668	-0.278265537	-0.708734799	-0.342271811	0.087288142	0.414419618	0.184100816	-0.976111096	0.462877244	0.003727074	1.717889289	0.741076521	0.012162922	0.713936949	-0.453073111	0.597423354	1.043983313	0.56582287	-0.170463806	-0.079628847	-0.49356852	0.39880096	0.885889288	0.078274877	0.981185124	0.276369273	1.643313901	0.026697392	0.49022813	-0.080452714	0.471461072	Persistent
G120	0.572825555	-1.063632939	-0.054436372	0.633254666	0.279463821	-0.95991925	0.012029029	0.497071682	2.693799899	-0.613878524	-0.547762357	-0.382399161	-0.400168702	1.20341302	-0.347853758	-0.043629203	-0.192757121	0.44846089	0.30692195	-0.413360628	1.118253918	-0.594892145	-0.907342906	0.115036262	-0.060144423	-0.63089324	-0.118123213	-0.575722636	0.120479148	0.213376388	0.171400234	-0.300206268	-0.238766591	0.534265873	-0.547762357	-0.556932735	-0.33889077	0.052962669	-0.717071045	0.738362624	-0.350965536	0.301522423	-0.209494536	-0.294654786	-0.881424924	0.242858445	0.625416375	0.199659583	0.420212297	-0.473327528	0.963550186	0.243259646	-0.008488737	-1.568183059	-0.799769612	0.345858878	-0.281035167	-0.424440252	-0.02752269	0.046148287	1.019555125	-0.370481602	-0.908362024	0.128570477	-0.907993031	-0.028086828	0.204882807	0.180120017	0.12003101	0.328896327	0.263933212	Waned
G126	0.748982222	1.385987216	0.046683831	-0.944991551	0.802842588	0.082695734	-0.533917579	0.73131617	0.0	-0.714301858	1.152459714	-1.007877707	-0.80916149	-0.47436196	0.441405961	0.848674873	-0.38447601	0.224156905	0.485664837	-0.514672362	0.250637268	0.480652241	-0.068440001	-0.399178737	1.222927336	-0.521063448	0.407738533	-3.193608928	0.046235512	0.499301017	0.358377179	0.499559195	-1.225906443	0.10746804	0.674126685	0.081368752	-0.001234856	0.073804455	-1.503862435	-0.19861404	0.341031059	-0.028650575	0.156379601	-0.698391664	-0.930864391	2.242482403	0.027037828	-0.557984457	-0.373016127	0.234136955	-0.350367487	-0.473315907	-0.000471729	0.358377179	-0.999801983	0.609515802	0.933027282	-0.48563	-0.491129642	1.207347819	1.252406247	-0.555296297	-0.088918077	0.470035002	0.32748068	-0.040454127	1.040501178	-0.328133422	-0.052136874	-0.779167619	0.545426379	Persistent
G128	-0.105744808	0.349878805	-0.170801857	-1.366023358	0.474877342	-0.359708139	0.763444811	0.670782163	-0.15395215	-0.930145418	-0.9464239	-0.092791466	0.084548114	-1.029926604	-0.108567656	0.72180082	0.130797271	-0.268566559	0.783900094	0.292198822	-0.289251847	0.720085003	-0.694403115	-1.029926604	0.331450387	-0.404324071	0.340755516	0.428203429	0.015170432	0.301125597	1.013729382	-0.269854386	-0.304402971	-0.579612507	-1.108633694	-0.661758401	-0.379765798	-0.07992041	0.008279126	-0.216539751	-0.255253915	-0.006034936	0.999853056	-0.381876105	-0.566662657	0.494605767	-0.382692649	-0.230228378	0.082252065	0.488078301	-0.209793783	0.23200951	0.02552897	2.343832826	-0.748584856	0.414256966	0.94495335	-0.135935017	0.117891602	0.656198146	-0.279894561	0.349453127	-0.638353194	0.063745492	0.285908999	0.215768681	-0.112952578	0.417903947	0.657782781	0.321725384	0.32508442	Persistent
G130	-0.257107148	-0.235245979	-0.46231448	-0.318348822	-0.601140332	-1.685631644	-0.207118629	1.008693427	0.163182022	-1.351947701	0.934060114	0.162024747	-0.48329502	1.866813543	-0.461243386	0.020636296	0.277832109	-0.219749196	-0.888848626	0.71261439	0.090812789	-0.219155935	0.194420178	-0.214633805	-0.026907564	-0.797278226	-0.399114732	0.109091476	-0.234001007	-0.084790552	1.833400196	-0.193135043	0.439878043	1.803677964	0.079292636	-0.987383892	-0.198490214	0.386193652	-0.63735133	-1.036540932	-0.256567873	-0.124065526	0.622475367	-0.512698047	0.862158969	0.418714982	0.472215372	0.112473443	0.787697549	-0.471952602	0.133853215	-0.467995346	0.281637342	-1.419254437	-0.115861489	0.146578899	-0.727915674	-1.264143339	-0.599982778	0.769249497	-0.640302621	-0.162750034	0.280404623	0.217117145	0.825442597	-0.215359465	-0.160264495	0.428812365	-0.133434951	0.195527572	0.430824782	Waned
G302	-0.038995815	0.175880852	-0.668544289	-0.563309718	0.109300578	-0.996461954	-0.898677073	1.191559359	-0.261864695	0.443259306	-0.3247478	-0.100007725	-0.114128091	-0.022551678	-0.336736004	-0.527763431	0.237294571	0.138883779	0.262230738	0.458974668	0.362040965	0.029647911	-0.349350944	-1.282716017	0.092674491	-0.154941769	-0.226600678	1.027885257	0.238426013	0.399326449	-0.19702744	-0.602695289	-0.142530823	-0.591204522	-0.640066089	-0.545878722	-0.430605119	0.098681056	0.723716973	1.499185375	-0.68978772	0.16371165	0.019211131	-0.532761822	0.372789923	-1.244334152	-0.001246484	-0.308847172	0.657199831	0.25791998	1.319457095	-0.987852992	0.491213128	0.07934021	-0.020755754	0.024582068	0.156792087	-0.893442855	-0.201115607	0.29041589	-0.065616316	-0.432935666	-0.509838292	0.471279423	0.141388082	0.134310011	-1.183716278	0.654130969	0.202699762	0.032498117	-0.257120319	Waned
G304	0.300825943	-0.988213511	-0.535398385	-0.161481491	-0.44212589	-0.714194887	-0.319583025	-0.85648849	1.263052479	-0.34712189	-0.409163516	0.178695604	-0.28947011	0.455684938	-0.219885374	0.100263786	0.014363044	-0.035969864	0.095337263	0.664659226	0.197307943	-0.990917172	0.002962363	-0.409163516	0.091595421	-0.463657259	-0.009927985	-0.43624181	0.261846237	-0.042037178	-0.090244943	-0.259763259	-0.112849049	0.987856602	-0.134860202	-0.768672231	-0.016622399	0.036245782	-0.424909267	0.442413322	-0.12208237	0.326072319	0.088329922	-0.294163162	0.124272674	-0.719932033	0.290632183	-0.258379918	0.224658075	-0.449203852	0.431046875	-0.246799825	0.167810034	-1.374592743	-0.310734163	0.269652872	0.803228293	0.182903938	-0.179824046	-0.656964392	-0.723352843	-0.171023888	0.660730797	0.442974251	-0.203510942	-0.015803939	-0.531053648	0.088976174	-0.394186414	0.6863752	0.067479921	Waned
G305	0.588123178	-0.702724404	-0.412482621	0.643780828	0.159094937	-1.188806573	-0.381146783	0.185296873	1.585391821	-1.306401049	0.643780828	-0.692048297	-0.178973834	0.868590307	-0.51623576	-0.30772244	-0.159633758	-0.113220008	-0.59563001	0.49573174	1.293571841	-0.599727227	-0.235565354	-0.791506209	-0.461024953	-0.674005533	-0.775682082	-0.553487829	0.514632069	-0.228167633	-0.649606245	-0.557741686	-0.263943963	1.305102572	-0.141421631	-0.82424638	-0.213212351	0.434273159	-0.553754201	0.174436513	-0.448263417	0.430620906	0.463902309	-0.565120798	0.452844672	1.405688775	0.383464666	0.475721819	0.395687042	-0.800735389	0.830822978	-0.215603343	0.569799334	-1.427130618	-0.643751077	0.090776144	0.644534039	-0.689146194	-0.212845233	-0.735769072	-0.983957375	-0.0993536	-0.311829539	0.613255346	0.06284365	-0.873455645	0.137420011	0.948747443	0.115554142	0.653990339	0.334139212	Waned
G306	0.487579752	0.185147746	-0.128318389	0.620150564	0.23237254	-1.309422817	-0.269340978	0.788619592	1.109076338	0.014912553	0.0	-0.183602293	-0.520267212	1.010523783	-0.233156389	-0.565269907	-0.03033535	-0.515997372	-0.155095631	0.252732202	0.725983725	-0.906466136	0.097973044	-1.718415237	-0.78385797	-0.51483811	-0.11675125	0.081633867	0.453356093	0.531856497	-0.951553765	-0.555548491	-0.591171071	-0.42047633	-0.516874946	-0.802209521	-0.388336859	0.468115919	0.656137929	0.507883628	-0.381698194	0.137988049	0.376918227	-0.281108427	-0.052374583	-0.471149337	0.101524827	-0.71363228	0.570293597	0.280285439	0.604479381	0.24107823	0.659208804	-0.516874946	0.474062519	0.118254946	0.556055675	-0.092988416	-0.061826659	-0.022067368	0.225386686	-0.568460486	-0.672913976	0.510526967	0.384086404	-0.29663109	-0.656733454	-0.106421323	0.110914162	0.078564589	-0.403059807	Waned
G311	-0.265725816	0.196005932	0.186021472	-2.09953221	0.340275152	0.031879429	-0.512702788	0.488235745	-0.095119981	0.833558998	-0.617107204	0.386201933	0.982742892	-0.224169399	0.321991558	0.652496399	0.813924392	0.281896123	0.767787373	0.190297728	-0.222449963	0.761122151	0.607807307	1.330497982	0.089517328	0.277401804	0.481360396	-0.234304594	-0.166526599	-0.03830676	1.307594712	-0.006942863	0.057941336	0.116546604	1.173167948	-0.026223138	0.35097575	-0.331140209	0.934108507	0.424613919	-0.11550096	-0.237139823	0.038006242	0.314659935	-0.734410371	0.410992511	-0.57206764	-1.535631395	-0.002843707	0.085144463	0.348857228	0.201268564	-0.239261255	0.988065426	-0.535478221	0.303718266	1.307594712	0.099086993	-0.248518568	0.05622099	0.285654481	0.108109591	0.075859628	0.081136406	0.190877351	1.034497697	0.923502456	-0.149499418	0.886980626	0.084646165	0.053428608	Persistent
