	SNX15	AASS	CIC	CYYR1	TMEM156	ZNF516	CLDN7	EGR3	PLA2G4C	PPIH	TMEM184A	ORAOV1	BCS1L	CD209	GATAD2B	IRF4	PI4KAP1	FRYL	MREG	PTPN4	ZNHIT3	MICAL3	ARHGAP33	NELL2	STK17A	SIPA1	TUBGCP6	GOLIM4	THTPA	FBXL19	PKMYT1	UPF1	SNORA30	STBD1	UPP1	SLC12A6	LY6G5B	MIR1307	PPFIA3	SOCS3	MED12	NR2C2AP	TBC1D19	SNORA70B	ITGB2-AS1	CIT	RBM48	GPSM2	TMX1	ZXDA	TPPP3	ZNF597	MRPS11	IL16	CDC42EP1	DDX24	HOXA4	ICOSLG	FAM122A	LOC727896	PVRL3	SPPL3	C19orf71	POLR2M	MRPL55	SH2D3A	LOC100507053	GPATCH3	TAF6L	ZC3HC1	AATF	Class
G313	-0.301573024	-0.417776554	-0.015858808	0.288369935	0.383317394	-0.616684792	0.570609216	0.803085978	0.868960568	0.966688924	-0.845037543	-0.01620096	0.136936913	-0.721124008	0.062628171	0.3592184	0.339272697	0.045110485	0.19936988	0.065668204	-0.211860381	-0.339197828	-0.319667259	0.429231532	0.24688472	-0.150616304	0.116418949	0.369342478	-0.212163241	-0.317497572	1.673382528	-0.157925244	0.162572711	0.448629321	0.415569184	-0.226853082	0.27571511	-0.518761855	0.109078888	0.858791857	-0.068573516	-0.084680007	0.616751058	-0.172616252	-0.290267078	0.529600527	-0.270740607	-1.272285854	-0.115070421	0.195394714	1.11179728	0.987281232	0.151571664	2.525297535	-1.257641285	0.278903981	0.354928239	0.076551536	-0.097668318	0.246332388	0.616812405	0.249395461	0.148884673	-0.168651722	0.915750677	0.246500132	0.248920967	-0.15007441	0.3743248	0.158843789	0.565938432	Persistent
G314	0.471047592	-0.984429441	-0.639873931	0.716599146	0.068115442	-1.385031204	-0.931482782	0.18753093	1.31491913	-0.504888476	0.601063766	-1.203780879	-0.370709998	0.143398863	-0.189755138	-0.171985783	-0.27619356	-0.015965453	-0.575502289	0.722111147	0.533426318	-0.843112678	-1.028453346	-0.595712484	-0.042342888	-0.801756399	-0.721463995	1.331615776	0.186380829	-0.470740083	-0.033119317	-0.881904364	-0.226726396	1.924155823	0.0	-1.009156667	-0.233358672	-0.307619021	-1.486217312	-0.019267911	-0.396110566	0.246596595	0.830572937	-0.559305815	0.448148016	1.726090358	0.790985088	-0.154143961	0.670046109	-0.223423148	0.008880372	-1.051979657	0.496059936	1.207457166	-0.228776841	-0.181044495	-1.41454243	-0.379413605	-0.546037964	0.475228556	0.446972304	-0.422095957	-0.436995994	1.048392348	-0.732911814	-0.800784795	0.389901926	0.896271473	-0.592004605	0.396447306	-0.067344724	Waned
G315	-0.104801946	0.31740445	0.125380047	-0.751227079	0.234379974	-0.666254494	0.729069083	0.831673315	0.264470913	0.980955861	-1.281367039	0.331593873	0.209480913	0.873735804	0.233780122	-0.06261317	0.44810942	-0.012047311	-0.256964923	0.087360774	0.671397835	0.246277821	0.570767375	-0.609160744	-0.357751822	-0.235991738	0.433084676	0.05436012	0.671766748	0.248826041	1.60364341	-0.072042372	0.615312928	0.396706299	-0.723762693	-0.521627244	0.183967209	-0.158397628	-1.044564641	-0.982713994	-0.081315877	-0.260942425	0.590053201	0.548421313	0.038571727	0.623867035	0.18671901	-1.238177003	0.531098402	0.412542004	-0.522922064	0.00810964	-0.291944341	0.0	0.022899591	0.355704	1.338751761	-0.395331167	-0.028925017	0.36452464	0.934490592	-0.546934967	0.463992779	0.293214351	0.378579348	0.223336391	0.101717173	0.213721969	0.91544346	-0.140073289	-0.38554398	Persistent
G322	0.203622754	-0.974761289	-0.173088338	0.411632276	0.588605071	-0.344359868	0.931674785	2.480288635	0.095673752	0.529984944	-0.418989942	0.025639993	0.30322571	-0.092935846	0.210534882	0.090637599	0.259280026	0.042189805	-0.671463949	-0.219226582	0.137332371	-0.220406707	0.188440685	-0.888006473	0.485358726	-0.268742273	-0.628851579	-0.191386398	-0.248619096	0.472290906	0.952540894	-0.157124218	0.152616075	-0.242460315	0.811896492	0.165201642	-0.190344473	0.237257111	0.66451886	1.26656334	0.404636773	-0.132782519	0.125371683	-0.388556878	-0.332433971	0.016315077	0.310471375	-1.197257823	0.128602953	0.109993001	1.000956035	0.784733852	0.229633619	-0.521240799	-1.013954494	0.2486296	0.853474752	-0.250641364	-0.166570354	0.114949269	1.006434053	0.230459678	0.075893456	-0.046076858	0.132394013	0.035568936	-0.319217069	0.503026674	0.039919618	0.205750357	0.053469466	Persistent
G324	-0.560973867	2.758075373	-0.164678035	-2.046744908	0.450849922	-0.601117581	0.053528817	2.322085299	-0.053420788	0.119969716	1.782061025	-0.001857934	0.238575327	-0.253968428	-0.067650604	0.054106388	0.152040107	0.673747421	-0.51823511	0.012946543	-0.294327758	0.364530882	0.609198735	0.142758545	0.365689524	-0.070692583	0.077958995	-1.39666632	-0.565772055	1.118997782	1.098865378	0.479512862	0.599192954	-1.130085483	-1.644970452	0.320723196	-0.301495552	-0.376490433	0.842951259	-1.016047823	0.610151954	-0.245509056	-0.945258558	0.458731711	0.309124109	0.181803048	-0.275193692	-0.355519401	-0.154306555	-0.016027977	-0.895355423	-1.23214449	-0.158663421	0.392128476	-0.573607087	-0.149813518	0.916027579	-0.613013321	-0.34551799	1.441947103	0.000621742	0.034213019	0.974071221	0.06596601	-0.595528081	0.120658332	1.743105533	-0.344313927	-0.226321302	-0.435622068	0.563543394	Persistent
G332	0.078306886	1.129854141	-0.149695579	-0.568951086	-0.335471816	-0.245710312	0.370831669	1.495910922	0.034550385	-0.720149879	-1.573092103	-0.079838529	0.554929782	0.501526196	-0.005487355	0.178242045	0.539653848	-0.051413308	-0.880595029	-0.072247874	0.380430408	0.193738878	0.202882982	0.390284187	0.109832492	-0.406573268	-0.202143566	-1.460698933	0.216806303	0.490338771	1.379232145	-0.301085269	1.01868682	0.679847557	0.550892959	-0.588635743	0.100579904	0.453589358	0.633939315	-0.467433464	0.394164441	0.311815812	-1.213913112	0.097344778	0.32871853	0.24514691	0.588840024	-0.14403073	0.36197031	0.156959184	0.428106293	0.741936888	0.699368209	-0.686105266	-0.881629091	-0.051625894	0.528857906	0.167284886	-0.07900013	0.508036787	0.603050197	0.175801168	0.294672657	0.117281847	0.738574215	-0.318978585	0.537653556	0.269061264	0.035483416	0.263171572	0.248368418	Persistent
G336	0.015869467	-0.046734191	0.399751012	0.036217742	-0.113166153	-0.394025702	0.709866058	0.672727701	0.36406211	0.576414481	-0.870726104	1.15753811	0.233967846	-0.435468325	0.604747145	0.281757948	0.138681335	0.572838691	0.417204709	0.449389861	-0.430190531	0.744250973	0.477748296	0.582545762	-0.014968371	0.03843209	0.104675771	-0.344601953	-0.06206865	0.376270521	1.328987174	0.326586608	0.069870364	-0.791390659	0.443526214	0.041314136	0.321780331	-0.705235749	0.503084948	-0.331354146	0.441662008	-0.218163113	0.214927607	0.018036363	-0.599023205	0.582545762	0.078972097	-0.847451454	0.429629612	-0.057924206	-0.275290295	0.128826797	-0.410574561	1.018936039	-0.884250592	0.583855975	-0.10600996	0.362690035	-0.070201949	0.110812291	0.402622482	-0.188609209	0.03605994	0.185613457	0.622452019	0.645857751	-0.661609208	-0.165344364	0.557683926	0.173437845	-0.003124959	Persistent
G337	0.269150906	-0.233058676	-0.225692859	1.365730386	-0.130925204	-0.75882191	-1.091491779	0.127051628	-0.132847001	-0.545728751	1.103217842	0.177019527	0.314534229	0.889958044	-0.231800311	-0.214163729	0.03034676	-0.306538312	-0.448960835	0.281104989	-0.071670748	-0.286968667	0.017565708	-1.074585983	-0.001568795	-0.060977424	-0.442644808	0.665874157	0.225489614	-0.613781115	0.805652157	-0.302799961	-0.240301993	0.717617057	-0.925296097	-0.639714757	-0.443469501	0.162854294	-0.327085474	1.178656629	-0.270010755	0.785164323	0.185819131	-0.47069013	-0.063366873	1.494469947	0.055933108	-0.685283621	0.965496035	0.053424719	1.390476652	0.306467284	0.382334886	0.777725499	-0.709190813	0.129369044	-1.002863047	-0.3378486	-0.334432616	-0.608921945	0.436646133	0.024007377	0.084460172	0.341985905	0.687376183	0.091229011	-0.981924768	0.303879299	0.28939616	0.179444999	0.087413801	Waned
G347	-0.145761937	0.90676579	-0.083889731	0.389959072	0.449682021	-0.348441561	1.291381714	1.523328042	1.187058998	-0.704839157	1.222784775	-0.009250504	0.477769923	1.981166304	0.075116087	0.424657204	-0.146090831	0.011648031	-0.241123405	0.045216027	-0.573364183	0.29821149	0.296252581	1.273238749	0.503961165	-0.315728642	0.356726133	-0.60396153	-0.220466222	0.395259052	0.315140648	0.637242927	-1.199476291	-0.865061133	-0.860571377	-0.514153108	-0.614662861	0.092645999	0.454899885	0.251813034	0.166549118	0.146150436	-1.053621564	-0.415334519	0.180561733	-0.251075274	0.099551263	-0.521755361	0.414342042	-0.287033697	0.325958423	-0.492278486	-0.435670947	0.586922412	-0.089259956	0.179059197	0.185452235	-0.175975543	-0.593670215	0.263948733	1.382073318	-0.102441288	0.056182612	0.447939325	1.006130917	0.076528709	1.222784775	-0.241872458	-0.254741491	-0.695455555	0.435639255	Persistent
G358	0.612759424	-1.102292702	0.458051665	0.089132646	0.064196477	0.244677545	-0.204471088	-0.109330286	0.122129432	-0.087741053	0.061462289	0.537276083	0.98779613	-0.603351722	0.338061393	-0.314075549	0.371016115	-0.01979094	-0.536732859	-0.668753912	0.101573378	-0.650457935	0.193852375	-1.438940436	0.105356896	0.444096577	0.194111888	0.492225664	0.093859184	0.927767172	0.447258967	0.456407143	0.337529037	-0.776809379	0.447258967	0.334122671	0.513253547	0.23925909	1.396625641	2.293472174	0.519560245	0.683339524	0.217837581	-0.371175829	0.710502148	-2.157491575	0.141109057	-0.197618062	0.312376893	0.722701563	2.04242226	-0.619644949	-0.088034739	-0.603351722	0.50354667	0.476256483	1.174653692	0.407716856	-0.24823515	0.243571581	-0.403584342	0.405125761	0.378730133	0.401221841	0.302957149	0.450177028	0.122129432	-0.057008384	0.214940932	-0.128496512	-0.311897727	Waned
