	EIF2AK3	TOR3A	GAS6	EMR4P	PLCL1	IFI6	CDKN1A	CD300C	ZNF714	NSD1	NAPRT1	PDS5B	UBE2Z	DYNC2H1	ARMC2	STAB1	KLHDC8B	RBPJ	RPL23AP64	XKRX	KCNQ5	PPARGC1B	CEP85L	IFITM3	GOLGA2P5	ZNF585A	IFITM1	GTF3C3	SCO2	TCN2	PSMB5	RNF19A	LEF1	LOH12CR1	MR1	FCER2	C11orf21	CSRP1	C9orf89	BAIAP2-AS1	ALAD	CD300E	BLOC1S4	P2RY2	LOC100506060	SPICE1	MERTK	EID2B	RIC3	C1QC	DNASE2	ZNF597	ANO10	EMP3	BCRP3	LAMTOR2	METRNL	MAP3K6	BTLA	EIF6	PAQR4	DTNB	ANKS6	DNASE1L1	ZFYVE9	ACP2	DACT1	PCBD1	C2	ANXA4	TIMM10	SFT2D1	PTGIR	PACS1	NAP1L1	LY6E	TBPL1	Class
G119	-0.628179257	0.970082567	2.478660799	-0.161495071	-1.497228351	6.825050217	1.918334487	1.212103012	-0.871508064	-0.122616289	0.278490185	-0.159308721	0.44701425	-3.113897426	-0.963736396	1.370265071	1.508574783	-0.362996141	-0.599781551	-1.586113763	-1.534045415	0.59536491	-0.436239925	4.25668891	-1.124531721	0.427300235	3.903009882	-0.250899909	3.410240873	3.245624579	0.268400342	0.159321939	-0.532099145	-0.610785123	1.428734535	-0.502595183	0.316829411	0.154039993	0.553474336	-0.464970639	-0.0223846	2.005030982	0.104766098	1.07035177	0.213343497	-1.249383615	0.602060116	-0.642926402	0.156277378	1.995973961	0.575066508	0.309499813	-0.597820368	0.772707344	-1.159194801	0.260528274	-0.118461936	1.201509979	-0.832436275	0.564195661	-0.135241078	-1.310641388	-2.190317832	0.077797003	-1.209225669	0.763279349	-1.345085525	1.078127714	2.754734979	0.894678179	2.924819882	1.126776701	1.109705818	-0.75750148	-0.175819264	4.632508021	0.097545176	Persistent
G120	-0.422915486	0.320008547	0.135606528	0.011597462	0.629799338	5.539000797	0.070487821	-0.275178515	0.401951754	0.773866059	-0.272020555	0.668495447	0.043677222	-0.707752205	-0.292719867	0.094800047	0.17366496	0.231170583	-0.351312817	0.062201823	-0.626794377	-1.420701747	0.044345557	2.98384341	-0.560677288	-0.517805372	2.941794652	0.00545403	2.060511279	0.723765802	-0.061237495	0.172773701	-0.472292995	-0.390387585	0.809190673	-0.130189392	-0.378417678	-0.990026072	-0.107936543	0.475351782	-1.399877922	0.625541833	-0.879098078	-0.106303002	0.138010479	-0.423318485	-0.241533766	-0.272942802	-0.032065916	-1.509577557	-0.41213592	-0.967314981	0.40288823	0.040098876	-0.486002192	-0.212882264	-0.425863304	0.113399353	-0.224720545	-0.46319239	-0.853956403	-0.365219382	-0.781469707	-0.486276122	-0.582744948	0.362046384	-1.374377981	-0.443378529	1.240537973	0.048482638	1.22840394	0.434964808	-0.988204611	0.170575055	0.62818841	3.241451294	-0.172496385	Waned
G126	-0.83298724	0.886110243	2.553760709	-2.344642979	-0.526850369	6.758487967	2.529902922	1.670762781	-0.836930178	-0.246195036	0.734292981	-0.580383753	0.406205302	-2.141026188	-0.564223354	2.310030813	1.283958346	0.243462414	-0.505164868	-1.862838659	-3.563528686	0.037290551	-1.026321801	4.032121228	-0.937457136	-0.186731229	3.932849373	-0.597352107	2.283277469	4.154983	0.533092162	0.713002876	-1.136802555	-0.515869508	1.441652919	-1.001944417	-0.038483489	0.327506109	0.770341096	0.402776977	0.263410604	2.784932838	-0.754703671	1.709245619	-1.05068446	-1.298848931	1.526810384	-1.03519869	-0.618547185	1.338940763	0.298305905	0.798751165	-0.704982385	0.515328362	-0.98828698	0.461446617	0.943749022	1.749652341	-1.971494789	0.054813906	0.089692497	-1.14597498	-1.727565609	0.429974843	-1.451806097	1.175860485	-2.2302389	1.376479221	4.318297834	1.435233931	0.771095897	0.628752864	0.486423712	-0.67164486	-1.738308853	3.64122673	0.563176449	Persistent
G128	0.449267782	1.237374969	1.694687162	-2.467356343	-1.872876209	6.110860399	1.885905823	1.127202903	-0.587531013	-1.236800605	0.546283078	-0.801325353	0.542087398	-2.062538876	-0.384197692	0.798069764	0.84245208	0.074157846	-0.7756542	-1.131473193	-0.462433022	1.035013082	-0.892098193	3.006027978	-0.728787043	0.464666688	3.036868838	-0.752634781	2.950609532	1.882636122	0.276253569	0.535895743	-0.579163005	-0.663571634	1.61272276	-0.453917751	0.751711135	0.348858201	0.137093925	0.999299074	0.52263715	1.839657929	0.209611465	1.662107136	-0.415565756	-1.341376767	0.830782098	-1.508734131	-1.031119506	-0.560839081	0.856630423	0.068660524	-0.377224386	1.01708345	-0.573081603	1.242594872	-0.34750772	1.240520553	-1.201091517	0.814762069	0.999299074	-0.065162545	-0.723045042	0.393991985	-2.613413268	0.404804582	0.356698093	0.664873438	4.274086439	0.532819981	2.621584114	1.192727392	1.263960963	-0.570253094	-1.801988333	3.331785871	0.8553772	Persistent
G130	-0.956881922	0.698473242	1.001143878	-0.229650385	0.393346091	5.754328555	1.221870931	0.521532337	0.035811367	0.199881745	0.030042028	-0.113948525	0.249062034	-1.236248692	-0.362743474	0.672047755	0.501791155	0.183778564	-0.01193337	-0.95255072	-1.173738857	-1.094307085	-0.488010069	2.569009153	-0.110790563	0.091356752	2.509357886	0.006523967	1.831150683	1.516030913	-0.155312189	0.401347823	-0.258806303	0.139630937	0.454515795	-0.334797179	-0.136686957	-0.850162568	0.09235921	-1.138790911	-0.821518034	0.634501811	-0.562177795	0.349227792	0.726821065	-0.877990458	-0.655863226	-0.390351014	-0.040922782	-0.087077333	0.404501503	-1.246220535	0.251059809	-0.137334821	-1.156128318	0.158653195	0.030941777	0.923930742	-0.445856116	-0.534679762	-1.400229977	-0.002197948	-0.461555426	-0.243015545	-1.982647421	0.165558753	-1.174417221	0.196506053	2.339616441	0.369718815	1.280649526	0.174278767	0.224336615	-0.398420487	0.450297129	3.496032067	-0.912824915	Waned
G302	-0.414591979	0.690732987	1.131102759	-0.705122266	-0.758457664	5.516337801	1.39931567	1.150993911	-0.561389335	-0.535313853	-0.075781449	0.046244571	0.530019016	-1.771038607	-0.049802553	0.985820207	1.307310256	0.275201873	-0.438074212	0.109286009	-1.067743777	0.052912861	-0.695885058	3.115984196	-0.697986603	-0.330385667	3.058726299	0.18147377	3.079431925	2.045120714	0.445473123	0.234459065	-0.742677091	-0.382785731	1.018979707	-0.193060395	-0.138440568	0.395272724	-0.234929735	1.938914731	-0.199412254	2.615306954	-0.311807233	1.320597494	0.09959604	-0.454328964	0.374592918	-1.359292215	0.064850374	2.22481358	-0.15599251	-0.248546088	-0.525276148	0.22586438	-0.329711422	0.233836934	-0.436234381	0.085580458	-0.014060874	0.278502147	1.300193411	-0.396295161	-0.99193973	-0.262577314	0.05243502	0.529381443	0.24259448	0.918413087	2.529417418	0.4987117	1.325141543	0.777743123	0.338244653	-0.688532525	-0.520703752	3.840631196	0.029612142	Waned
G304	-0.102508028	0.96036364	0.781890511	-0.211777759	-0.665040971	5.703291245	1.371828067	0.808948031	-0.188867863	-0.2143087	-0.1399704	-0.058110012	0.54680469	-2.163681054	-0.450982114	0.419709345	0.69002675	0.385388021	-1.054269904	-0.135937965	-0.843465868	0.154737287	-0.75462459	3.868773331	-0.55907364	0.032609125	3.879577055	0.366427558	2.299215123	2.040196325	0.354964103	0.048476849	-0.601539789	-1.198265984	1.321475788	-0.648267534	0.286267332	0.515881259	0.385150514	1.559179786	-0.782176667	2.258294206	0.329123379	0.974785052	-0.88259961	-0.97665856	0.069842008	0.243641261	0.327124575	0.190784445	0.175053927	-0.667019126	0.437087389	0.193247065	-0.648224854	-0.114300445	0.000675914	-0.451819863	-0.703194672	0.281762436	-0.024545841	-0.523736865	-1.135319722	0.176100021	-1.476556855	0.437293859	-0.496668654	-0.828869648	2.545437928	0.769398608	0.806146732	0.681951657	0.330491676	-0.378403676	-0.519443396	3.82382042	0.36247734	Waned
G305	-0.071159236	0.664107466	0.104280115	0.300139174	-0.897420711	3.17759183	0.753299371	0.193349688	0.309100989	-0.216045898	0.330192431	-0.301418675	0.33091774	-0.336093209	0.787634361	0.259103532	-0.157993405	0.194519938	-0.392508328	-0.497908939	0.05965954	-0.073121038	-0.026207538	1.336469031	0.192193256	0.083476977	1.156471557	-0.302426328	1.357469994	1.202993526	0.194540627	-0.621616295	0.094240472	0.132108035	0.369934195	0.594760698	0.168609031	0.162863381	0.51087633	-0.837013888	0.408510871	0.515380512	-0.341649221	-0.319129362	-0.754390618	0.366270172	-0.04655325	1.215163089	0.025640137	0.452852068	0.0845926	-0.614447565	-0.081517469	0.041939085	-0.474323601	-0.2532916	0.042842995	0.413768663	-0.032653112	0.140402106	0.285693272	0.361311177	0.433471632	-0.07798136	-0.211302828	0.362275621	-0.455698727	0.192193256	0.092380016	0.153580002	-0.372178079	-0.159300687	-0.424735355	0.054505973	-0.125976452	2.414017316	0.158546027	Waned
G306	-0.159641317	0.175041492	-0.714740203	-0.521406136	0.21897299	3.510259997	0.321639513	0.104646398	0.469176751	-0.127095794	-0.078879364	0.019120459	-0.012949521	-0.18290092	-0.853071078	0.454183856	-0.081283944	-0.183649257	-0.119662833	0.081156219	-0.828110191	0.025707366	-0.231015435	2.793597637	-0.235183095	-0.37183009	2.611681646	-0.006947232	1.686473787	1.08619185	-0.349042696	-1.158165413	-0.022964179	0.144546828	0.18537802	0.278307766	-0.370786606	0.376638688	-0.047842867	-0.924149819	-0.471975576	0.299699035	-0.237050272	-0.672768232	0.686351016	-0.374048561	-0.772112363	0.183153029	0.419533172	0.428007731	-0.283884392	-1.222899294	-0.389130403	0.376758419	-0.298263402	0.311300334	-0.879167423	0.043980681	0.19418438	0.096086153	-0.606376949	-0.26679182	-0.510893399	-0.415472449	-0.064817796	0.253382741	-0.37703281	0.476983621	1.304200437	0.098349249	1.15287476	-0.133498425	0.250995381	-0.046486201	0.495042665	3.323158643	0.12420552	Waned
G311	-0.637745959	0.774744476	1.468063751	-0.90934851	-1.308297888	3.402152823	1.632407282	0.962567841	-0.418239251	-0.638214731	0.586125153	-0.148503078	0.353067519	-0.657584503	-0.397437477	1.088769376	1.475601851	-0.004161151	-0.86410268	-1.65816747	-1.529261044	0.582041327	-0.985894932	2.833052241	-1.482478166	0.39825339	2.697555164	-0.362578152	2.798055334	3.597878776	-0.04855044	0.3469465	-0.919634586	-1.158296629	1.020027738	-0.774556344	0.285093667	1.034312322	0.216905417	0.459812525	0.558848702	2.182728726	0.013642642	0.559677351	-0.809159271	-0.864185053	1.481933964	-0.127902686	-1.610528536	2.769004287	0.336239628	0.030075878	-0.737361621	0.659728695	-0.885864769	0.230412733	0.073445541	0.703272724	0.191159236	0.362516857	0.821140449	-0.5423814	-1.548557906	0.768618814	-0.01904461	1.006564577	-2.071343861	0.662910934	2.667145045	0.637428927	1.940789379	0.636119655	0.873053204	-0.572208146	-0.370657477	3.901854624	0.773731357	Persistent
