	EIF2AK3	TOR3A	GAS6	EMR4P	PLCL1	IFI6	CDKN1A	CD300C	ZNF714	NSD1	NAPRT1	PDS5B	UBE2Z	DYNC2H1	ARMC2	STAB1	KLHDC8B	RBPJ	RPL23AP64	XKRX	KCNQ5	PPARGC1B	CEP85L	IFITM3	GOLGA2P5	ZNF585A	IFITM1	GTF3C3	SCO2	TCN2	PSMB5	RNF19A	LEF1	LOH12CR1	MR1	FCER2	C11orf21	CSRP1	C9orf89	BAIAP2-AS1	ALAD	CD300E	BLOC1S4	P2RY2	LOC100506060	SPICE1	MERTK	EID2B	RIC3	C1QC	DNASE2	ZNF597	ANO10	EMP3	BCRP3	LAMTOR2	METRNL	MAP3K6	BTLA	EIF6	PAQR4	DTNB	ANKS6	DNASE1L1	ZFYVE9	ACP2	DACT1	PCBD1	C2	ANXA4	TIMM10	SFT2D1	PTGIR	PACS1	NAP1L1	LY6E	TBPL1	Class
G313	-1.088196238	1.473413307	2.355943253	-1.596327022	-1.416364334	5.311194527	2.317917532	2.126833954	-0.95204918	-1.692126133	0.727419177	-0.750030116	0.320998499	-3.460066137	-0.646544429	2.57647572	2.506161991	-0.042716495	-1.042333576	-2.3314614	-1.701243465	0.800495011	-1.204907028	4.746134606	-1.160639928	0.324460797	4.50431265	-0.514107986	2.913313577	3.753191458	0.393859094	-0.119242829	-1.621070495	-1.244147333	2.163847318	-1.111117424	1.31273713	0.744376188	0.991261697	-0.49908165	-0.086118715	2.924432599	-0.439048631	2.129141787	-1.260345459	-1.982974938	0.786167792	-1.611150418	-1.454764107	2.529108028	0.878087853	1.036300238	-0.634250835	1.203504067	-1.282054027	1.474890271	0.918241091	1.389526111	-1.618016313	0.907406917	1.179695981	-1.223172622	-2.858938651	1.062914513	-2.451342611	1.045412531	-2.920839431	1.582062834	3.392889234	1.321517447	2.066248648	1.465869711	0.870855401	-1.264070781	-0.107431573	4.50791263	0.367836729	Persistent
G314	-0.744614957	0.441953111	-0.2771742	-0.629811073	0.427811007	4.269161164	0.271305603	0.395752674	-0.115726779	-0.416119178	-0.02639002	-0.341486818	-0.482143236	-0.697379285	0.214592416	0.075473588	-0.337171432	0.392756108	-0.181574514	0.373443771	0.642581226	-1.533312519	0.293213694	1.136860784	0.286519335	-0.38172083	1.277321713	-0.165025038	1.701785282	1.719608368	-0.481337549	-0.547893054	-0.062141379	0.01435757	0.437606225	0.399861984	-0.311007282	-0.940367771	-0.289239588	-0.3895658	-0.762294514	0.384366824	-1.01602839	-0.409331345	1.682292565	-0.504306769	1.446275896	0.740352075	-0.592306789	0.011589704	0.165643457	-1.62102616	0.630191829	0.990088476	-0.512117265	0.379992135	-0.642696129	-0.143948285	0.68634047	-0.361270846	-0.5769	0.534655279	0.126069488	-0.569230124	-0.236496082	-0.346908714	0.378088356	-0.046530681	2.791099876	-0.058589464	0.208923045	0.628328153	-0.63123542	-0.209279807	0.929040877	2.144910556	-0.263139192	Waned
G315	-0.618722446	0.91539652	2.015633929	0.643219767	-0.029404085	6.590143957	1.376072425	0.907388269	0.413600058	-0.550528187	0.304053471	-0.266885357	0.41745123	-0.986847216	-0.409559939	0.998521296	-0.231808977	-0.138694536	0.003376104	-1.346451823	-1.776682226	0.204692132	-0.390500551	3.310376845	-1.284351515	0.494121747	3.329584518	0.153681808	2.359947825	2.339676823	0.140616721	0.046457574	-0.787619106	-0.433169758	1.251004732	-0.792698211	0.03194252	0.005775344	0.84350052	0.56198341	0.015330091	2.093114201	-0.336050153	1.266044498	-0.780740608	-0.889055507	0.60121286	-1.387664764	0.177627664	2.53750862	0.532056299	0.143678466	-0.226093975	0.358986189	-0.488636026	0.117659105	0.430516421	1.462793453	0.009434515	0.472611381	1.204382347	-0.459125941	-1.261674026	0.526948933	-2.288951429	0.494250169	-0.606035457	0.369924954	2.527784817	1.19725269	1.952440497	0.81958623	0.192364248	-0.719755232	-0.176658043	4.318204998	0.067620786	Persistent
G322	-0.616978444	0.922920489	2.326012299	-1.066131397	-1.994000092	6.545577759	1.710693201	1.336376108	-1.165912238	-0.61235497	0.929087837	-0.26589092	0.272043047	-2.047372735	-0.762251156	1.756015141	1.674440533	0.246513255	-1.013410138	-1.960477359	-1.23087448	0.465571555	-1.475917767	4.914452054	-1.699691354	-0.033295962	4.805415898	-0.853263385	3.638624754	3.131800173	0.515959494	0.016195313	-0.63161165	-1.46904373	1.518708386	-0.97959053	-0.04577269	0.906629065	0.62339424	0.359716804	0.264101148	2.832362377	0.296540683	1.162851735	-1.311811542	-1.373846456	1.031547678	-1.427515108	-1.919393909	2.597409169	0.371271381	0.308392962	-0.832225865	1.201701978	-0.960056902	1.075580723	0.312330662	1.78311024	-0.735366601	0.984712867	0.948940885	-1.153813301	-0.819011263	0.186615524	-1.954643332	1.281559356	-1.745944718	0.947019357	3.849612819	0.509308479	2.931779422	1.015198767	0.396550842	-0.406388129	-1.587434394	4.453955686	0.725065471	Persistent
G324	-1.188021233	0.95435338	2.482958322	-1.27702614	-2.660914194	6.875312017	1.104536698	1.470003436	-1.297680297	-0.199591855	0.600064588	-0.265817599	0.427574473	-2.184499575	-0.71902705	2.683339977	2.646094747	-0.173243946	-1.780428865	-1.589278265	-2.602782318	0.411816528	-0.935572782	4.561712692	-1.748789847	-0.171669454	4.459433792	-0.987599526	3.337688668	3.186825031	0.725875057	0.240941047	-2.008405482	-1.17314013	1.899566165	-1.938806123	0.658444542	0.123276114	0.330902903	1.512320893	-0.441420416	2.288751615	0.315165255	1.679796817	-1.077679853	-1.790612987	1.894211684	-1.576691078	-1.424843812	1.883312229	0.355707981	-0.832928518	-0.469491809	0.409929753	-1.2607063	1.000861966	0.64651115	1.032317992	-1.462583831	0.027376169	0.409578861	-1.031620839	-2.310556379	0.007283235	-2.014120183	1.263817645	-2.621132061	-0.279013906	3.791458259	0.26526759	1.704935937	0.948764932	1.047570097	-0.662067204	-0.98366901	4.793011717	0.326624128	Persistent
G332	-0.581110676	1.624637543	2.507658192	-2.125253982	-0.72215813	7.080980566	2.098138892	1.759536943	-0.422444179	-0.57678475	0.967855216	-0.723140557	0.446035795	-3.095140725	-1.974822537	1.689447657	2.991353173	-0.236677735	-1.03618821	-3.379464761	-3.883693438	0.473595684	-1.628173232	4.493211065	-1.806485558	0.064148808	4.412619604	-0.815002763	4.222447252	3.889733023	0.083753716	0.036382973	-3.077484716	-1.396477105	1.866628437	-0.505378862	0.828481213	0.603978944	0.666188616	0.430303484	0.03893058	2.478646963	-0.210804382	2.502709316	-0.298905839	-1.839353984	2.217881534	-1.316884181	-1.462574321	2.133292323	0.877188104	0.320068041	-0.739489627	1.312484701	-1.07745147	1.325752653	0.523535697	1.239814126	-1.687888571	0.03181852	0.381348535	-1.427172967	-1.401380381	0.24553404	-2.628372464	1.07394148	-2.327027689	1.152178885	4.486467764	1.173091916	2.447986197	1.40001141	0.510193894	-1.521177784	-0.807644758	4.144751507	0.73185708	Persistent
G336	-0.944324895	1.53866222	1.908477902	-2.553609711	-1.530285725	7.345451151	1.743468264	1.185438879	-1.739597954	-1.22248017	1.147847551	-0.322531859	0.293613554	-3.954810053	0.158949808	2.439647587	0.797400427	1.185612445	-1.60968382	-2.086650926	-3.00629005	-1.219322965	-1.904721546	4.852499955	-2.791799696	0.088679778	4.818104423	-1.097106539	3.334433706	2.642771289	0.538117812	0.254809968	-1.981219694	-1.960946905	2.315235545	-2.425768103	0.211538649	0.03816283	1.408233659	-0.434738328	-0.383664824	2.416786311	0.529277549	0.346483239	-2.306554193	-1.892764123	1.142561945	0.978733643	-2.529075636	1.190198353	-0.146906013	-0.521472261	-0.397291496	0.935141419	-1.189494281	1.389519655	0.884976884	1.639478214	-1.930184448	1.003073571	1.339961226	-1.149646631	-2.102973089	-0.088394199	-2.619914553	0.81348469	-1.517782184	1.570531859	3.170407412	1.375603187	2.684669432	1.722625192	0.148715106	0.054563637	-1.55635938	4.359632781	0.9012199	Persistent
G337	-0.412205586	0.977553311	2.728694094	-0.88779672	-0.935151783	5.02157024	1.59780914	1.69151722	-0.497666062	-0.193164761	0.579949539	0.178538602	0.440549291	-1.94742268	0.102860915	1.185854928	1.565488092	0.262090724	-0.428942112	-2.507700022	-1.964234886	0.582992343	-0.945064812	3.994255343	-1.773439613	-0.095020849	3.811052754	0.043503215	3.218266581	4.36235204	-0.033008447	0.622643157	-1.56682831	-1.005937133	1.684811809	-1.038280997	0.476241052	0.579100582	0.653684502	-2.727510699	0.368756155	2.465672561	-0.415509705	0.97470379	0.146216057	-1.504287121	1.183621274	-0.35400373	-1.125085435	2.55583629	0.487961964	-0.5989733	-0.648454652	1.142693882	-1.008918833	1.127037432	0.595270814	0.558978371	-1.053507162	0.861053423	0.415683265	-1.396119471	-1.243943525	0.343148644	-1.709262516	0.826077695	-2.281678741	0.56957494	2.794753156	1.410068979	2.596245274	1.387441491	0.843983164	-0.556868893	-0.886452768	4.243306284	0.740682149	Waned
G347	-1.18074831	0.480590037	2.109354752	-0.140621742	-0.839226123	5.307190319	0.625536786	0.844566263	-0.742544187	-0.735451865	0.42496315	-0.59261699	0.319646709	-2.243550471	-1.604488777	1.547174537	0.726434668	-0.051641036	-1.087685791	-2.531366569	-2.380149064	0.446888456	-0.865901307	3.875817742	-1.230531724	-0.938799218	3.852203321	0.778991657	3.054274049	2.056875154	1.07685883	-0.370146102	-1.662736941	-0.837811804	1.189010414	-1.987888955	0.241549566	-0.047967961	0.283464611	0.854233882	-0.55439989	1.591059326	0.17391386	0.158490288	0.982835024	-1.922514394	-0.648351057	-0.766563403	-0.978867678	2.578759381	0.365257561	-0.264921332	-0.038244257	0.475666078	-0.590148623	0.248215676	0.704505673	-0.013479955	-0.144767822	-0.17853658	-0.719573023	-0.798916428	-1.699445801	-0.136986872	-2.505904197	0.942792369	-2.174390839	0.543355049	2.81207617	0.615120894	1.305657133	0.264439236	0.728762216	-1.394062363	0.619280334	4.31492661	0.45595263	Persistent
G358	0.129191058	0.543878112	0.888613912	-0.475081914	-0.596194594	5.524340517	1.085288852	0.803266956	-0.433476313	-0.369529838	1.177890616	-0.482238009	0.222200851	-1.684158812	0.610953126	0.901926919	0.363935209	0.536140474	-0.607940657	-1.026555327	-0.496026563	0.085974167	-0.447533885	2.536345755	-0.85860488	0.039358634	2.534619332	-0.420411647	2.191618153	1.320096349	0.222165179	-0.615640663	-0.425289241	-0.363802355	0.732158943	-0.049500535	0.198691046	-0.182845801	0.930217029	-1.131522625	0.771712772	1.083636781	-0.249173386	0.689455797	-0.046185513	-0.58178199	0.658399897	-0.019924267	-0.465475814	-2.157491575	0.744515806	-0.269068344	0.593013782	0.480399014	-0.442415246	0.633981813	-0.212643839	1.451256164	0.136262516	0.203511665	0.05139977	0.434394828	-0.352516907	0.174794186	-0.63457874	-0.307555211	-0.793844283	-0.263777671	1.222400688	0.257163442	1.041821271	1.045140543	0.507460168	0.089350927	-0.957847275	2.525248218	0.089294397	Waned
