	A4GALT	ARL2BP	ANKZF1	ADIPOR1	ARID5B	AARS2	ANK1	APOBEC3G	AQP1	AMACR	AKAP10	ALKBH8	ADRBK2	AP1M2	ARSA	ABCB6	ADPRHL1	ADORA3	ADNP2	ADRB1	AFF2	AFAP1L2	AEN	ADAMTS5	ADAM10	ADAM1A	ADD1	ACHE	AP2A1	AGBL5	ARL14EP	ABCG2	AJUBA	ASAH1	ACVR2B	AIFM2	ALKBH4	MARCH8	ARHGAP10	ARHGAP21	ACER3	ACTR1A	AP3S1	APOL3	ANGPT1	ABCC3	ABCB10	AHR	AQP10	ACER1	ANKHD1	ACO1	AASS	ADAL	ARSB	ACTL6A	AMBRA1	AGAP6	ARL8A	ALAD	APBB2	AKT2	ARMC2	ACTR3	AHCYL2	AP4E1	ACTL7A	SEP15	AP3S2	ARRDC2	ACAA2	AGRP	ABCC13	ARHGAP8	ARIH2	AIMP2	ARNTL2	Class
G120	-0.230112423	-0.656620425	-0.104807973	-0.0608071	-0.352942262	-0.561748863	-0.305356187	-0.543973511	-0.381595907	-0.230962079	-0.543275028	-0.950222827	1.330057964	1.081916756	1.670441742	0.364445155	-0.14069636	0.854290457	-0.598913877	1.585735198	0.750236111	0.462327015	1.071171206	0.192914039	0.651619392	-0.552526801	-0.660460182	1.537850086	-0.492241754	-1.179280296	0.03948705	-0.890300872	-1.365770556	0.048863276	-0.675917333	-0.904364148	-0.134698676	-0.169568749	0.731112448	-0.436185983	0.071782135	-0.603532304	0.775641982	-0.704621524	-0.408725812	1.156434765	-0.955501806	0.024116692	0.596397115	-0.745654946	-0.149188713	-0.079890338	0.274437697	-0.888569743	0.29754748	0.954095925	-0.136985654	-0.082441174	0.559666773	-0.024016524	0.0	-0.449120415	0.458236972	0.178052616	-0.016069454	-0.910338967	1.585735198	0.048571593	-0.070297869	-0.40117172	0.029452173	1.554086922	0.190665691	0.210267494	-0.158346693	0.216359589	1.379021496	w
G126	0.481906026	-0.377249045	-0.0804314	0.7003514	-0.094832077	0.424006144	0.777160928	-0.253717302	0.767127189	0.274846139	-0.881764354	-0.548068798	0.599565484	0.481906026	2.064746226	0.271092811	0.823292807	-0.550126603	-0.049810307	-1.057037762	0.252143476	-0.381504671	1.987014153	-0.849035402	-0.264800912	-0.330270836	-0.062520705	1.836949896	1.624229679	0.178467679	-0.555821301	0.51894771	0.002778671	0.165698085	-0.105612332	-0.755630765	0.213820355	1.396822563	-0.047186947	-0.814920198	-0.753365407	-0.422968268	-0.350482517	-0.264142313	0.147277071	0.947976254	-0.23285962	-0.916130949	0.806128374	1.418848657	0.571806847	0.853399569	2.601600956	-0.035716197	0.121432527	1.421741827	-0.28217576	-0.128362747	-0.1178024	0.200661794	0.481906026	0.221097639	-0.669606865	0.162537461	0.153536715	-0.33739171	-1.039061511	-0.122029368	0.174524628	-0.502517527	-0.131784407	1.580848723	1.239272578	0.198590349	0.443676079	-0.613388345	1.580848723	P
G128	0.710287598	-0.136484672	0.032387371	0.40053445	0.189791808	0.310195608	0.225046076	0.070907716	1.10890841	0.112600436	-0.692306943	0.191236422	-0.757595353	-0.3007527	0.114236713	0.757217807	-0.392030711	-0.181497783	-0.87358276	0.437690881	0.880292642	0.37427551	0.954758438	-1.196746281	-0.39448239	0.170300521	-0.279726662	0.260216611	0.567793233	1.344483517	-0.207921152	-0.768492837	1.359674092	-0.1126762	1.190485355	0.769029571	1.002333469	0.154453976	-0.575053766	-1.040327314	-0.149574717	0.055509244	-0.0570884	0.836757786	-0.579547508	0.142314689	0.221618427	-0.563401196	0.404368059	-0.591018567	-0.411146431	0.633344037	0.185050215	0.156733068	-0.516538764	0.559140655	0.025915102	-0.111176011	-0.364899581	0.28013612	0.687079955	0.312911228	-0.972563922	-0.506474678	-0.909299354	-0.616390693	0.0	0.140310591	-0.132713916	0.566396246	-0.641106428	0.564607678	0.198807402	1.349073398	-0.307484638	-0.21546505	-1.856900903	P
G130	0.0	0.401997556	0.200482575	1.58653663	0.352356861	-1.212791681	1.468727874	0.032510287	1.552432759	0.388581844	0.639129211	0.43467284	0.462566576	-0.780270204	1.026583332	1.324739476	-0.680501834	-0.115578871	-0.571119767	0.44955475	-0.353910528	-0.049789028	0.547130406	-1.007349384	-0.464544333	-0.493244484	0.422767169	1.951359679	1.266864922	-0.249380234	-0.578048489	-0.000226454	-1.392355163	-0.367442995	-1.036921424	0.579334017	0.1684862	1.666495971	0.32740645	1.273661098	0.809211511	-0.19153594	2.542198951	0.360430655	-0.309411453	-0.391395848	0.61535644	0.044182433	0.572375498	-0.225167681	0.001736328	0.083559132	-0.049789028	-0.231589866	-0.73153046	-0.268422645	0.039101979	0.213934505	-0.371140372	0.395127059	-0.486722176	0.905296702	0.439140446	0.946484049	0.13521862	1.631506255	-0.727915674	0.897383137	0.038353011	-0.021141923	-0.153049455	0.73829363	0.479798771	2.001061978	0.351050921	-0.565824655	2.437306275	w
G302	1.717763608	-0.706718902	0.3345795	0.58347574	0.156418592	0.954785874	0.612532081	0.15612912	0.925866698	-0.196419928	-0.516548157	-0.015362337	-0.473223951	-0.323028197	0.413427991	1.649645193	-0.412135232	0.223074143	-0.480218944	0.965428697	0.308549285	-1.321908186	0.347244996	-1.760551511	0.185037982	-0.216008655	-0.383496258	0.669540613	-0.453905212	-0.431221574	-0.176471934	-0.090477168	-1.440263464	-0.029749886	-0.381556692	-0.580206009	0.312832104	0.123715464	-0.100655738	0.037851105	0.137097104	0.511974477	-0.347702363	1.479946144	-1.631322774	1.152283108	0.817379439	0.220766619	-0.321577518	-0.867011311	-0.303665273	-0.181284834	0.7967565	-0.62338579	0.370815754	1.155391334	0.16099949	-0.71053969	-0.591166489	0.820380151	-0.967397728	0.082353433	0.078457576	-0.603804254	-0.369797779	-1.508834854	-0.563309718	0.169337231	-0.067173767	0.35953752	0.200287451	0.478167727	-0.077634516	1.06303413	-0.515725799	0.692985296	0.983493227	w
G304	0.0	-0.474151151	0.757150302	-0.06755755	0.386541956	0.565901294	0.407786708	0.234666214	0.85323441	0.748590163	-0.455877356	0.618510448	-0.778442647	0.875892881	-0.211207511	0.89290744	0.423380377	0.659757318	-0.291942412	-1.069661649	-0.05510282	-0.416415625	0.582914356	0.492983247	-0.346799374	0.388882529	0.189332074	0.109654322	0.527422827	0.171632927	-0.968784761	-1.965730375	1.387027131	-0.355163844	1.373480928	-0.871342378	0.502364818	0.438154354	-0.537110601	-0.633594608	-0.880030183	-0.16825554	-1.122883174	1.477336867	-1.395913634	0.510098728	0.146976171	-0.853737647	0.179247094	0.492983247	-0.017168907	0.374543877	-0.047623748	-0.119161965	-0.695360391	0.123336452	0.399246034	-0.156904024	-0.702889728	0.237141351	0.413005422	0.301602915	0.300275956	-0.693206092	-0.827559242	-1.414301063	-0.019955079	-0.066928409	-0.395422682	0.749589348	-0.816667946	0.283977208	-0.794041979	0.710356624	-0.065150255	-0.071822916	1.015670991	w
G305	0.732416267	0.23256416	-0.355862044	-0.375184284	-0.226504676	-0.866691059	0.083778244	0.145587212	0.057057454	0.399351378	0.236647682	0.332851269	0.809325658	0.539362377	0.268626121	-0.379876648	-1.377490676	-2.003686878	0.116788333	1.131015801	-0.206545111	0.227260082	0.351545252	-1.315783885	0.65324617	-0.850463117	-0.322841927	-0.577780432	0.354129432	-0.551730772	-0.321525839	-0.715668991	-0.488698583	-0.628332661	-0.405905137	0.099805143	-0.292998863	0.584356977	-0.587385194	1.048110971	0.296194276	-0.397136822	1.510195118	0.427979437	0.034340028	-1.132140812	-0.996682106	-0.773815671	-0.059080569	0.275070077	0.094204961	-0.137900393	-0.113166806	-0.41575438	-0.094974751	-0.143973566	-0.284458263	0.063287487	0.103045146	0.049536354	-1.239011111	-0.180989731	-0.078261636	1.105574717	-0.252151712	0.732639721	0.816510719	-0.044182323	0.772136361	-0.555318216	-0.024203009	0.443151087	0.763585623	0.288491887	0.568498683	0.085838366	-0.499143679	w
G306	0.206363384	-0.133820345	-0.317955897	1.732962279	0.060561441	0.748366208	1.367038104	-0.027766063	0.853849524	-0.095665825	0.782893189	0.467877501	1.151192961	-0.285039326	0.019017034	0.028859615	-0.666237022	-2.216870984	-0.113332178	0.821525502	-0.265015161	0.30864753	0.430216896	0.433224921	-0.047830703	-0.905175506	-0.167871213	0.944490109	0.652098278	0.159426097	-0.698104081	-1.049786125	0.097249065	-0.549328621	-0.08700147	1.374393618	0.367163373	1.472416385	0.343709014	0.815878789	1.005434152	0.238700639	2.018669738	0.006022791	-0.744653605	0.157572738	-0.682158576	0.105650701	0.29085977	-0.137292938	0.032805336	0.059622367	0.235605416	-1.121073224	0.078224284	-0.413304007	-0.144731806	-0.577288273	1.769181	-0.167558865	-0.603379456	0.213227857	0.296894449	1.404628334	-0.077935981	0.782613586	0.303060692	0.653013032	-0.166360827	0.012102046	-0.10022284	1.341884074	0.603724724	1.282490782	-0.154349339	-0.161365925	-0.805880426	w
G311	0.085842889	-0.61999285	0.387053832	0.203943992	0.153281021	0.77791733	0.763592337	-0.662450558	-0.223741166	-0.115000038	-0.277017645	-0.732082792	0.684315378	1.106846371	0.767300742	0.524662901	0.46970248	-1.135441715	-0.545553252	0.556442494	-0.970976787	0.707143713	1.335950047	0.163462303	-0.202149851	0.197103433	-0.377261604	0.101238102	-0.248752573	0.476336188	0.332331389	-0.225103519	1.318441276	-0.724309238	0.539404442	1.727975553	0.377677606	0.211127906	-0.277592393	1.071513673	-0.144508855	-0.134044611	0.217639579	-0.229402774	0.606906908	1.390595136	-0.037030503	0.170404116	-1.217723656	0.187727604	0.212321446	0.176342201	-0.194510022	-0.104170485	-0.758649689	0.662820105	-0.062830142	0.258842995	-0.721038062	0.522312111	0.46970248	0.204495254	-0.449317951	-0.456253879	0.217717049	0.366558848	-0.654080424	-0.497789418	-0.609243362	0.160458341	-0.207633346	1.603689153	0.24339884	-0.157006967	-0.166128922	-0.389231024	-0.475001575	P
G313	1.518004114	-0.260487767	0.121100474	0.33568143	0.219927047	0.655910162	0.649047111	-0.092956071	0.679557161	0.797851941	-0.174421595	-0.384771504	-0.481182601	1.163327765	0.372916568	0.441735565	-0.429444706	-0.62720439	-0.444987464	1.283448953	-0.789610678	0.3358765	1.037053263	-0.235796602	-0.923411032	-0.211135151	0.186191986	0.381573174	0.75860188	1.175150025	-0.158669055	0.713155657	0.918960389	-0.328572185	-0.03488155	0.112325236	0.221576311	0.446533616	-0.484287352	0.131932733	-0.504238532	0.430373385	0.308666495	-0.111019072	-0.798967472	0.180499151	-0.071548636	-0.133819634	0.233404748	0.891026982	-0.043806356	0.329166073	0.980309464	0.189715537	-0.569177646	0.160503088	0.257128936	-0.187088017	0.042452153	0.099135449	-1.177981039	0.29160716	0.469445454	0.371772823	-1.026210053	-0.052540479	-0.16620084	-0.334135724	0.300024148	0.511236869	-0.542280569	0.492505574	0.354120974	-0.131705677	-0.643880608	-0.030683739	-0.063783221	P
