	FRUCTOSE-MEOX5TMS_1-1-M/z366	GALACTURONICACID-MEOX5TMS_2-1-M/z334	FUMARICACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	GLUCURONICACID-MEOX5TMS_2-1-M/z334	DODECANOIC-ACID-TMS-1-M/z257	CYSTINE-N-N-O-O-TMS-1-M/z297	GAMMA-TOCOPHEROL-TMS-1	GLUTAMINE-N-N-O-TMS_1-1-M/z347	Myo_Inositol_phosphate_Ri2399Mz299	HYPOXANTHINE-2TMS-1-M/z282	INOSITOL-scyllo-6TMS-1-M/z432	INOSINE-4TMS-1-M/z217	HEXADECANOICACID-TMS-1-M/z171	GLYCERICACID-3TMS-1-M/z307	HEPTADECANOICACID-TMS-1-M/z132	GLYCINE-N-N-O-TMS-1-M/z246	CYSTEINE-N-O-S-TMS-1-M/z218	CREATININE-3TMS-1-M/z329	CITRULLINE-3TMS_1(Ornthine)-1	3-HYDROXYBUTYRICACID-2TMS-1-M/z204	ACONITICACID-trans-3TMS-1	ACETAMINOPHEN-2TMS-1-M/z297	2-AMINOBUTYRICACID-O-N-TMS-1-M/z130	CITRICACID-4TMS-1-M/z465	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE-N-N-O-TMS-1-M/z304	BENZOICACID-TMS-1	ISOCITRICACID-4TMS-1-M/z466	Kynuerine_Mz192-Time:373.01to374.92Mass:192to192	ISOLEUCINE-N-O-TMS-1-M/z233	SERINE-N-O-O-TMS-1-M/z307	SORBOSE-MEOX5TMS_2-1	SORBOSE-MEOX5TMS_1-1-M/z364	SALICYLICACID-2TMS-1-M/z268	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	PYROGLUTAMICACID-N-O-TMS-1-M/z159	PHENYLALANINE-N-O-TMS-1-M/z268	SUCROSE-8TMS-1-M/z362	TAURINE-3TMS-1-M/z328	THREONINE-N-O-O-TMS-1-M/z293	TRYPTOPHAN-N-N-O-TMS-1-M/z303	Benzenebutanoic_acid_Ri2182Mz192	Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URICACID-N-O-O-O-TMS-1-M/z72	TYROSINE-N-O-O-TMS-1-M/z382	ORNITHINE-N-N-O-TMS_1-1-M/z144	OCTADECENOICACID--9-(Z)-TMS-1-M/z222	LACTOSE-MEOX8TMS_1-1-M/z204	LYSINE-N-N-N-O-TMS_2-1	LYSINE-N-N-O-TMS_3-1	LYSINE-N-N-O-TMS_1-1-M/z102	LEUCINE-N-O-TMS-1-M/z158	OCTADECENOICACID-9-(E)-TMS-1-M/z339	LAMINARIBIOSE-MEOX8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LYXOSE-MEOX4TMS_1-1-M/z104	MALICACID-3TMS-1-M/z245	MALTOSE-MEOX8TMS_1-1-M/z361	METHYLHISTIDINE-2TMS-1-M/z168	OCTADECANOICACID-TMS-1-M/z313	OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159	ISOERYTHRITOL-4TMS-1-M/z277	Class
G119	208.0	-504.0	-251.0	35.0	-497.0	1290.0	-1326.0	-893.0	3070.0	495.0	-33.0	-16.0	-742.0	6593.0	-329.0	1075.0	-3305.0	-680.0	3654.0	1397.0	2088.0	1576.0	-196.0	-6557.0	440.0	-1631.0	845.0	-251.0	-6424.0	-350.0	-1813.0	-1993.0	-6.0	143.0	116.0	-282.0	76.0	2.0	873.0	-172.0	86185.0	1873.0	94.0	-1030.0	-1297.0	1140.0	1031.0	-346.0	-4142.0	-912.0	627.0	-1826.0	-1366.0	-32117.0	-852.0	87.0	7450.0	-477.0	32209.0	-1866.0	-362.0	-11925.0	25235.0	-187.0	-85.0	746.0	898.0	-24.0	-348.0	-16.0	2659.0	-271.0	-63.0	-391.0	38.0	Persistent
G120	-5807.0	-1057.0	1131.0	-116.0	-1064.0	-12.0	-352.0	692.0	1796.0	-963.0	369.0	-481.0	1175.0	3559.0	461.0	545.0	-1789.0	50.0	-842.0	13842.0	2959.0	-678.0	-391.0	2652.0	-2239.0	-2348.0	-2813.0	24.0	-756.0	799.0	60.0	-16106.0	-550.0	-162.0	-240.0	118.0	-972.0	997.0	792.0	95.0	-714667.0	-24733.0	-276.0	361.0	-232.0	840.0	-687.0	0.0	-2793.0	361.0	2021.0	-994.0	670.0	8115.0	1251.0	171.0	6759.0	190.0	-8767.0	-1695.0	471.0	68219.0	25246.0	-154.0	480.0	-811.0	164.0	-765.0	340.0	580.0	1918.0	33.0	-275.0	139.0	-115.0	Waned
G126	-159.0	-839.0	-158.0	-27.0	-825.0	-2590.0	-102.0	-4484.0	-347.0	-1926.0	-611.0	413.0	2077.0	-6980.0	-213.0	-132.0	425.0	7065.0	-4928.0	15352.0	-2093.0	998.0	309.0	15991.0	-2231.0	-6832.0	-1671.0	258.0	-306.0	-1688.0	374.0	-20190.0	-521.0	208.0	436.0	-1131.0	-1171.0	1227.0	-1913.0	858.0	-3171.0	-248.0	321.0	-121.0	722.0	143.0	1052.0	-35.0	-1948.0	-589.0	1775.0	-1989.0	-3952.0	-28483.0	123.0	156.0	-5265.0	248.0	-225064.0	553.0	-2463.0	-137826.0	-19529.0	-842.0	208.0	-112.0	232.0	-467.0	-805.0	-377.0	-4556.0	280.0	-73.0	754.0	-30.0	Persistent
G130	547.0	-328.0	-95.0	45.0	-326.0	38.0	-728.0	3022.0	10085.0	-1004.0	-370.0	-1985.0	-2556.0	-1912.0	366.0	211.0	-515.0	-9334.0	-2919.0	-45832.0	6536.0	-1471.0	0.0	-28248.0	-2111.0	-2256.0	-626.0	-169.0	-3610.0	-728.0	-68.0	-18869.0	298.0	-278.0	-92.0	-1434.0	-1461.0	966.0	-1939.0	-358.0	81940.0	2393.0	-263.0	-788.0	-5466.0	-597.0	-612.0	-114.0	-4496.0	-971.0	487.0	-1207.0	-5695.0	7476.0	-1268.0	-1064.0	-5424.0	-132.0	77507.0	-933.0	-3224.0	-131860.0	-17755.0	413.0	-89.0	-153.0	205.0	526.0	-1076.0	-375.0	-4586.0	-428.0	-293.0	100.0	51.0	Waned
G302	-688.0	-1200.0	50.0	-82.0	-1205.0	-26.0	-806.0	-683.0	-3404.0	-729.0	-2380.0	-3154.0	-3435.0	529.0	157.0	476.0	-1899.0	-11545.0	-1682.0	-94253.0	1026.0	-1122.0	49.0	6299.0	-5762.0	-3198.0	211.0	132.0	-8668.0	289.0	-4681.0	-7753.0	-2989.0	-111.0	464.0	1382.0	-3297.0	651.0	-3148.0	-739.0	-179468.0	-4971.0	8.0	-3900.0	-371.0	-749.0	-922.0	-305.0	-4801.0	-1843.0	617.0	-1294.0	-3861.0	-11864.0	-3370.0	-5073.0	2281.0	-794.0	-182615.0	-4445.0	-6722.0	-322863.0	2719.0	-3097.0	-356.0	176.0	-1440.0	-3003.0	-162.0	-722.0	-2625.0	-713.0	-186.0	-833.0	-84.0	Waned
G304	-178.0	160.0	853.0	203.0	159.0	-852.0	227.0	-1507.0	-335.0	-821.0	-415.0	-219.0	-2336.0	-338.0	204.0	11.0	-262.0	-16295.0	-2451.0	-9036.0	10995.0	-1128.0	138.0	68844.0	-4223.0	-1364.0	-318.0	-696.0	-1560.0	-248.0	-944.0	-6020.0	-1787.0	-448.0	83.0	732.0	-2720.0	753.0	1972.0	310.0	25577.0	764.0	276.0	-1629.0	1522.0	281.0	953.0	62.0	-4440.0	-909.0	2183.0	-1579.0	1858.0	3920.0	809.0	-644.0	3324.0	144.0	27980.0	1847.0	276.0	122712.0	13345.0	-545.0	-317.0	2565.0	-879.0	-1439.0	0.0	-1332.0	-3191.0	-355.0	497.0	-182.0	202.0	Waned
G305	167.0	-1.0	-387.0	256.0	-3.0	-116.0	-774.0	630.0	-1469.0	-281.0	3756.0	-329.0	84840.0	4956.0	883.0	700.0	275.0	4089.0	8910.0	64499.0	2913.0	-2690.0	-233.0	33390.0	-1402.0	-1781.0	-384.0	291.0	2109.0	-900.0	1515.0	-17483.0	-1604.0	575.0	307.0	1555.0	-1130.0	738.0	9076.0	796.0	-7397.0	-397.0	-251.0	4900.0	2996.0	1196.0	-1018.0	754.0	2456.0	1172.0	903.0	-469.0	12892.0	673.0	3672.0	4683.0	6012.0	-267.0	966338.0	6172.0	3828.0	601768.0	22249.0	-998.0	-224.0	62.0	-166.0	-1517.0	813.0	420.0	451.0	-234.0	169.0	-297.0	259.0	Waned
G306	-657.0	-314.0	-1185.0	204.0	-317.0	-714.0	-46.0	-461.0	1060.0	-1081.0	1010.0	-2413.0	1458.0	-3809.0	522.0	-284.0	-873.0	-1884.0	4462.0	-18688.0	-5313.0	5043.0	147.0	-31335.0	-2869.0	-470.0	340.0	-58.0	-3698.0	-207.0	-1551.0	-3985.0	1839.0	128.0	283.0	1612.0	-1408.0	158.0	23.0	-772.0	-34231.0	-1121.0	268.0	-722.0	-617.0	-359.0	721.0	-125.0	-5773.0	863.0	650.0	262.0	328.0	-13857.0	554.0	-240.0	-10629.0	125.0	59868.0	-297.0	632.0	-3115.0	-36791.0	1379.0	-412.0	-1176.0	-144.0	1694.0	1095.0	-69.0	-9497.0	-356.0	-184.0	-622.0	200.0	Waned
G311	-255.0	452.0	321.0	-98.0	454.0	-736.0	843.0	1339.0	798.0	72.0	-1188.0	-1913.0	-5187.0	-6173.0	-545.0	-1070.0	-953.0	-207.0	3046.0	49220.0	-1677.0	1344.0	-183.0	-18665.0	1147.0	-818.0	-219.0	-305.0	2414.0	-727.0	3406.0	-10267.0	-1643.0	4907.0	691.0	949.0	-460.0	199.0	6039.0	512.0	76666.0	1611.0	-631.0	2427.0	2419.0	1135.0	1513.0	-708.0	2351.0	16.0	1190.0	-342.0	7921.0	18650.0	2703.0	1975.0	-9318.0	956.0	600660.0	3832.0	1797.0	455414.0	-32533.0	-1084.0	-202.0	-57.0	132.0	-1712.0	9635.0	-513.0	-4977.0	-207.0	-195.0	-1073.0	-96.0	Persistent
G313	-3725.0	253.0	-191.0	-591.0	239.0	7805.0	-876.0	791.0	274.0	70.0	217.0	-1463.0	915.0	13094.0	-518.0	1626.0	-1562.0	-5759.0	3155.0	4264.0	32552.0	2308.0	468.0	-8659.0	-3634.0	-2962.0	-1728.0	-6.0	-4829.0	44.0	-1088.0	-7728.0	754.0	-93.0	0.0	123.0	-1919.0	150.0	1902.0	19.0	-522496.0	-18974.0	-79.0	-55.0	579.0	68.0	-1477.0	0.0	-2413.0	-1742.0	248.0	-1584.0	-1000.0	-10870.0	-403.0	-279.0	23283.0	-245.0	-101306.0	1024.0	4.0	40264.0	81649.0	603.0	-125.0	745.0	-234.0	-162.0	-127.0	2714.0	14182.0	207.0	15.0	-615.0	-589.0	Persistent
G314	-153.0	-98.0	-472.0	99.0	-98.0	-724.0	-1179.0	-620.0	-635.0	-220.0	90.0	-1375.0	-949.0	-7281.0	-17.0	-1980.0	-563.0	7531.0	1267.0	25092.0	-12614.0	97.0	771.0	-17824.0	-1795.0	-2776.0	-1349.0	167.0	-4393.0	757.0	-569.0	-196.0	-715.0	251.0	389.0	577.0	-884.0	647.0	370.0	-509.0	-18998.0	-145.0	380.0	-246.0	-340.0	120.0	-215.0	71.0	-3305.0	-320.0	1048.0	-429.0	-26.0	1952.0	-1042.0	1485.0	-14518.0	-30.0	38611.0	-239.0	301.0	-23474.0	-43062.0	-213.0	167.0	41.0	106.0	-282.0	1521.0	-2176.0	-8071.0	200.0	-29.0	-476.0	97.0	Waned
G315	-602.0	-334.0	311.0	-182.0	-345.0	-1464.0	-1019.0	24.0	-153.0	-715.0	-416.0	-170.0	-757.0	-4309.0	-511.0	-1313.0	-2931.0	-15324.0	-5409.0	-16774.0	706.0	1438.0	2760.0	-6166.0	-2792.0	-5120.0	-285.0	141.0	-1710.0	-2205.0	-1157.0	-8848.0	-93.0	-24.0	-210.0	946.0	-1858.0	160.0	1472.0	-791.0	-47435.0	-1340.0	-220.0	-756.0	-1605.0	785.0	-123.0	0.0	-3599.0	-1416.0	45.0	-2281.0	1358.0	-10388.0	-261.0	-37.0	-7836.0	-59.0	78396.0	-579.0	341.0	39797.0	-25628.0	350.0	69.0	-100.0	-35.0	154.0	-56.0	-277.0	-6848.0	-137.0	60.0	-1093.0	-178.0	Persistent
G322	46.0	195.0	-215.0	428.0	189.0	-304.0	-88.0	200.0	930.0	-1019.0	192.0	5257.0	2876.0	339.0	-229.0	-302.0	-2854.0	-3276.0	-1150.0	-2988.0	392.0	2728.0	73.0	3947.0	-3037.0	-896.0	-1558.0	-67.0	-6457.0	-438.0	-846.0	-1564.0	-1631.0	191.0	-65.0	-996.0	-1393.0	739.0	-85.0	-1288.0	9481.0	316.0	-43.0	-951.0	-2915.0	-191.0	17.0	797.0	-2400.0	196.0	1200.0	612.0	922.0	22261.0	-1569.0	316.0	2999.0	8.0	-377673.0	1640.0	346.0	-19411.0	9213.0	-1035.0	-548.0	-141.0	-90.0	-1788.0	3206.0	285.0	3082.0	-690.0	358.0	1463.0	429.0	Persistent
G324	572.0	-652.0	-80.0	109.0	-648.0	-253.0	393.0	3124.0	397.0	-990.0	-542.0	1546.0	-8371.0	-1371.0	498.0	-1321.0	580.0	-3998.0	909.0	16070.0	-3395.0	-2220.0	375.0	1308.0	-248.0	1448.0	303.0	40.0	904.0	226.0	668.0	-17993.0	1080.0	255.0	169.0	45.0	23.0	578.0	-1803.0	1130.0	-10747.0	-222.0	-212.0	225.0	1369.0	-494.0	-370.0	820.0	4150.0	-1188.0	1064.0	-430.0	-4701.0	-8323.0	-2598.0	71.0	1841.0	-360.0	342866.0	541.0	-906.0	-128948.0	4801.0	902.0	181.0	-140.0	319.0	731.0	1548.0	-243.0	1755.0	476.0	349.0	604.0	111.0	Persistent
G332	2099.0	-267.0	-98.0	-120.0	-265.0	27.0	-573.0	678.0	-2089.0	-79.0	-132.0	-2425.0	195.0	-4757.0	-225.0	-1127.0	-2776.0	1906.0	-2735.0	-6769.0	-485.0	1984.0	-98.9	-8409.0	2457.0	-1099.0	-438.0	-498.0	-3631.0	-1530.0	-554.0	-16811.0	-1808.0	-61.0	304.0	1452.0	1108.0	818.0	2192.0	-778.0	395544.0	13053.0	-311.0	778.0	-642.0	771.0	517.0	-267.0	-4090.0	-1853.0	1458.0	-675.0	4392.0	-13904.0	-118.0	-847.0	-8684.0	64.0	253162.0	-592.0	-702.0	105657.0	-30840.0	-1721.0	-808.0	65.0	93.0	-1577.0	114.0	-1612.0	-7715.0	-572.0	-172.0	-731.0	-118.0	Persistent
G337	-1259.0	-150.0	-463.0	-350.0	-148.0	1328.0	-450.0	-220.0	-173.0	-400.0	93.0	-501.0	972.0	19653.0	535.0	2293.0	-1887.0	-4479.0	2887.0	17293.0	39150.0	1409.0	283.0	-13661.0	-4145.0	-1239.0	7.0	-185.0	-8020.0	-49.0	-1514.0	7850.0	114.0	-141.0	226.0	2993.0	-2417.0	598.0	1123.0	-73.0	-179460.0	-4840.0	-178.0	-380.0	1822.0	462.0	-1411.0	428.0	-2428.0	743.0	743.0	-425.0	-167.0	6627.0	-267.0	406.0	35106.0	-584.0	46556.0	1265.0	-413.0	221629.0	115664.0	429.0	765.0	-1033.0	582.0	105.0	1717.0	3038.0	16480.0	929.0	218.0	99.0	-349.0	Waned
