	YWHAB	PIAS3	RABEP2	IQSEC2	CAPRIN1	PCNP	TSFM	ZMYND12	CCL7	CENPW	SHKBP1	ZNF385D	MPHOSPH9	SLC39A9	HLA-DMB	EI24	PPARA	ARRB1	FOXD2	VAT1	CORO2A	PTPN1	EIF2B1	BCKDHA	TENM1	HNRNPC	CCDC85C	KANSL2	SF3A1	SAMM50	PROCA1	DAGLB	PEX11B	FAM173B	FAM198B	MAN2C1	C17orf79	TMED10P1	SNX9	MRPS31	GMPPB	SYNJ2	ATP11B	UQCRC2	VPS45	SQLE	GRWD1	C1orf52	ZNF208	DKC1	C20orf112	MIB1	FAM120A	HNRNPH1	PMS2CL	IGF1R	C11orf30	UBE2M	SPRYD3	HADH	GATAD2A	SUMF1	GDAP1	SS18L2	LOC100128398	RASSF7	TIMM13	IL7	TUFM	RANBP1	KIAA1468	ZNF484	TARDBP	FAM3A	TEK	MAP1LC3A	PKP4	ACAP1	PDCD4	HIST3H2A	BNIP1	CCDC50	IBTK	ZBTB10	ZFYVE19	TBKBP1	TMX4	NCBP1	MZT1	COPG2	C2CD2L	ZC2HC1A	POLR3F	C16orf80	UCK1	BCL7B	SFXN3	LOC283070	KRT18	ZNF434	RBBP7	MRPL51	CDC26	RPL7L1	AMOTL1	LOC148696	IFT57	ZNF529	NAPB	TRUB2	CDADC1	MTL5	ZNF622	FOXN3	ITSN2	BRD4	Class
G114	0.305997769	0.607901716	0.111278206	-0.251940722	0.063042647	-0.253890771	-0.336467103	0.287237242	1.640273156	0.123099624	0.337050206	0.595693065	-0.440058547	-0.074193084	-0.616553321	-0.145542893	0.124174731	-0.250325989	-0.905982009	0.771693889	0.174125223	0.137818766	0.264773165	-0.581483344	-1.347565938	-0.803019169	-1.139046816	-0.15495232	0.100141095	-0.810799001	-0.441790275	-1.1965515	-0.506489619	-0.462187294	1.269394259	-0.18790403	0.203132374	-0.024869746	-0.144735753	-0.629730554	-0.053127019	-0.287794932	0.943152857	-0.130082704	-0.019023116	0.456041444	-0.552884526	0.2135783	-1.088453897	0.039181983	1.150673212	0.111429295	0.830513949	-0.325169037	0.049823147	-0.76133677	0.733680263	-0.296162774	0.106926408	-0.535717972	0.569274992	-0.454179222	1.415886108	-0.322058567	-1.441221635	-0.490215711	-0.83396103	-0.02923118	-0.306142595	-0.035606096	-0.313071527	-1.702537421	-0.064702583	-0.40071604	-1.52935017	0.653574756	-1.40065388	0.141821421	0.811878907	-1.364898129	-0.382499715	0.678995902	0.233999396	-0.448436045	0.32542211	0.846679507	-0.284785142	0.00820224	0.586699632	-0.150656479	0.991007083	0.309410429	0.075636593	0.037144906	-0.338343133	0.372157339	0.360220924	-1.207826294	-1.982746753	0.005550481	-0.285243635	-0.035406713	-0.550732576	-0.643840325	-0.877061405	0.17892926	-1.484424165	-0.864180877	-0.230014279	-0.682827669	-0.393265012	-0.154746339	-0.307754579	-0.219874424	0.815238976	0.709859508	NO
G117	0.471682288	-0.231339841	-0.110872462	0.64319777	0.513307365	0.298808876	-0.201497042	-0.65297691	2.750119979	0.542504434	0.102782735	-0.169188118	0.224609787	-0.249872452	0.0	0.596291322	-0.110811865	0.669821894	-0.293938355	0.341354909	-0.56484286	0.115155436	0.006986064	0.296117626	-0.537254583	0.296697591	0.27410907	-0.326334158	-0.43350131	0.10574819	0.361962234	0.362219957	0.204248426	-0.466546966	1.295375651	-0.218808809	-0.159624247	-0.481438345	0.647792036	-0.18828945	0.924288225	-0.539146212	-0.465572006	0.178825364	0.217628032	1.245761207	-0.163227861	0.511756262	-1.858702901	-0.513947925	0.85033123	-0.449876484	0.676630538	-0.068903293	-0.249453751	-0.264798799	-0.829491503	-0.197293416	-0.796106521	-0.562195675	-0.26417019	0.210667293	-0.560986814	-0.306020436	-1.63572533	0.098716255	0.196570799	-0.436147539	0.466201068	-0.202894695	0.098565067	-0.35431278	0.438993911	0.330735626	0.375279878	0.917040814	-0.841545955	-0.579902273	0.500916389	0.157046078	0.573284953	-0.052113368	0.289114893	-0.404611955	0.313676105	1.040799884	-0.463536956	-0.191919029	0.308802349	0.335047457	0.352130249	0.397035672	-0.338178345	-0.381102139	-0.359285078	0.481537215	-0.387790931	-0.644718527	-2.205337454	0.781912867	-0.240462663	-0.294726048	0.614932791	0.61637138	0.85177553	-0.122897232	0.256153899	0.084450497	0.272180023	-0.406434717	-0.149150631	-1.738183692	0.968269222	0.504871171	-0.306007344	-0.299087425	NO
G119	0.232125595	-0.323679688	-0.318822711	1.072393575	0.236448195	0.188254185	0.24832667	-1.455365725	2.799726611	1.013341919	-0.025490959	0.152565184	-0.13307832	-0.477995865	-0.116482537	-0.184140566	-1.173960528	-0.386483549	-1.482530695	0.500565675	0.209682669	-0.232988696	0.071228166	0.61848034	-0.779053324	-0.121508595	-1.059453928	-0.410630251	-0.165700871	-0.26964756	-0.100698051	-0.194148069	-0.025187661	-0.803908866	0.233233167	0.870423478	-0.263725793	-1.242790321	-1.318984629	0.384000673	0.316581518	-1.397913472	-0.783055532	0.231715511	0.492920808	1.581848069	-2.79e-05	0.556565608	-0.310363387	-0.514802616	0.861349607	-0.593404225	1.19353751	-0.389592376	-0.031650911	-0.663708524	-0.187278872	-0.370276808	-0.204446006	-0.185962352	-0.492106408	-0.364487662	0.739932825	-0.671848792	-2.164954018	-0.058289669	-0.27744357	-0.390975137	0.204903587	-0.306321263	-0.270891457	-0.044463687	0.051386478	-0.640890871	-0.717998091	0.545691901	-2.358781852	-0.539948243	0.187962698	-0.213217484	0.707880508	0.273142236	-0.053296184	-0.02030107	0.307034216	0.192728544	-1.172021395	-0.07825576	0.419237379	-0.765006243	0.266323678	0.099862623	-0.156859638	-0.728771666	0.129536558	0.561983983	0.126870102	-0.098488606	-1.501681357	0.484605064	0.204543447	0.231969958	-0.215172811	-0.038561499	-1.059453928	-0.292754541	0.202751242	-1.061158983	-0.0312838	0.588895369	0.147583636	-1.274272849	-0.250363098	0.083665938	0.056140917	-0.389553691	NO
G120	0.373353816	-0.315810535	-0.642233788	-0.339870274	0.694624803	-0.100416479	-0.235891573	-0.237816019	1.694132247	0.725542807	0.375812761	0.349485636	0.254410448	-0.205569513	0.0	-0.214518031	-0.369733525	-0.418912359	-0.867299309	0.620449958	1.447004921	0.377007253	0.058962176	-1.026412089	1.006098942	-0.418670338	-0.582999872	-0.395097633	-0.34341026	-0.029765222	0.040896033	-0.522681061	-1.145261921	-0.443858199	0.156597605	-0.618311074	-0.166537735	-0.889599815	-0.57056162	-0.682343958	0.543548117	-0.180254438	0.35389765	-0.07337737	-0.234556562	0.554615701	-0.755310362	0.125725784	-0.911363809	-0.921542239	0.59519242	0.282955293	1.060747788	0.112098112	0.063599389	0.433119531	0.423003744	-0.319368357	-0.528441209	-0.828781906	0.223446185	-0.744349783	0.202750642	-0.214933001	0.078256836	-0.837735062	-0.849947489	-0.291926468	-0.662848831	-0.642835346	-0.104941015	-0.294110048	-0.243201926	-0.517067844	1.694132247	1.020565158	-0.669796007	-0.162414306	0.686034431	-0.9991677	-0.464616946	-0.240359055	-0.148742043	0.062390845	0.211448258	1.534362543	0.675166204	-0.050543456	0.699790143	-1.011178841	-0.258275871	0.698594835	0.094523572	0.040435275	-0.088767918	-0.920435862	-0.942781304	-0.114973322	-2.081583847	-0.616301231	-0.500948482	-0.166238924	-0.083793027	-0.968406865	-0.193114342	0.652331329	-1.577072462	0.022145165	-0.22338433	-1.450993874	0.011846737	0.813928574	0.283421164	0.115620637	0.412397119	0.597547282	NO
G126	0.457970832	-0.466021566	0.031562607	-0.007213336	-0.039242812	-0.260116239	-0.165878419	0.0	3.125156434	0.173484479	0.853014594	0.54088472	-1.066161287	-0.145474482	0.0	-0.331254183	-0.15343438	-0.041579642	-1.353314383	-0.635947192	-0.51305557	0.204200551	0.211627795	-0.595905101	-1.968537514	-0.438190291	-1.263321084	-0.324327997	-0.02149286	-0.523082746	0.479255792	-0.169744073	-0.091240256	-0.29020806	0.661717414	-0.671414248	-0.76590933	-0.651945173	0.272827365	0.00585142	1.01117298	0.015796128	0.50274583	-0.007937111	-0.218200539	0.009762336	-0.126730473	0.211668078	-1.712659927	-0.54159995	0.379601658	0.382706902	1.218123143	-0.628109495	-0.37542044	0.331712602	0.726211847	0.072318791	-0.08105822	-1.167197236	0.009812334	-0.647285743	0.533534506	-0.384308435	-0.46996049	-0.643474515	-0.059464125	-0.734625708	-0.052310464	-0.693677749	-0.238741704	-0.352435188	0.045637867	-0.220309535	0.28288932	1.285928675	-0.597648741	-0.451274361	-0.318958504	0.287139329	0.111896514	0.488281925	0.055733455	-0.108814643	-0.163075185	0.565205579	-0.219207357	0.112658742	0.04313535	-0.496745721	0.680199577	-0.382382827	0.732314903	-0.648718695	-0.253632751	0.018660258	0.266034777	-0.977330318	-0.919285904	-0.227598204	0.005876514	-0.387165775	0.138618959	-0.257998205	0.402776977	-0.083939699	-1.198303168	-0.903322315	-0.243542318	-1.21857332	-0.700284082	-1.035739567	-0.337086964	0.705598789	0.594261287	0.811666252	NO
G128	0.056637295	-0.071131444	-0.581720178	-0.082998013	-0.117325926	-0.139409346	-0.204201287	-1.196130032	3.118422993	0.040828304	0.56552684	0.968641176	-0.894079317	-0.213604781	0.0	-0.627440884	-0.56667275	0.298556426	0.611560386	0.927734316	-1.077155184	0.659627428	-0.805747214	-0.521212948	-1.013645861	0.130382905	-0.988458917	-0.459795098	0.54887665	-0.675632363	0.136120287	-1.118436369	-0.000573973	-0.476865503	0.719795295	0.301707062	-1.750800577	-0.728044696	0.898643094	0.427545507	-0.914925513	0.029981044	-0.046537867	-0.794030271	0.078690925	0.381128577	0.259580315	0.178230256	-0.65975828	-0.150428587	0.58696428	0.217881433	1.333692759	-0.392467675	-0.539774297	-0.45840072	0.425192323	0.349889258	0.164293316	-0.943589736	0.355151221	0.236453891	0.261158159	0.463492568	-0.127684383	0.77417987	-0.18257768	0.068660524	-0.206289273	-0.140790724	-0.304116464	-1.179141721	-0.137542015	0.660805764	-1.069652041	1.089988155	-0.102258549	0.05089597	-0.004580441	0.437027123	-0.388620217	0.451507824	-0.092115964	-1.069873245	0.05033316	2.019575697	-0.612753575	-0.321949489	-1.335797271	-0.085126785	0.924169753	0.119510632	-0.619219849	-0.858786579	0.171609749	-1.07346623	0.730827143	0.448645908	-0.218132453	-0.448282516	-0.395390474	-0.428445339	0.182627204	-0.312731836	1.437036033	0.333584689	0.129560263	-0.237890558	-0.710150636	0.571204045	0.260407281	-0.077206073	-0.767406581	-0.253125429	0.24628031	0.559545045	NO
G130	-0.551036166	0.481676821	0.391606284	-1.128498637	-0.328830988	-1.118522262	-1.074913899	-0.430792678	3.285753278	-0.936683037	1.029605655	1.323611489	-1.615152989	0.484175401	-1.021999891	-0.864228929	0.49412768	-2.017840457	-1.892691431	1.270294938	1.293845988	1.31012011	-0.756057439	-1.73528508	2.065420726	-0.818004099	-1.903630286	-1.116223896	0.555987103	-1.487932654	-0.719334758	-0.618770301	-0.660255493	-2.17324602	1.076900877	-0.620272209	-1.937410445	0.242608949	-0.941060194	-1.406812191	-0.581407906	0.109627494	0.739771503	-0.929143862	-1.004212531	-0.101306528	-0.932700029	-0.578407398	0.118457122	-1.589070386	1.375211645	0.744449465	1.307714162	-1.002031979	-0.863038954	1.186776699	1.277440797	-1.262528633	0.517804487	-1.40336322	0.699592791	-1.650385845	-0.072036948	0.968017473	-0.087077333	-1.264236528	-1.421649347	-1.668523473	-1.256420385	-0.715312457	-0.925461168	-1.683374651	-0.781797511	-1.088118664	0.655208286	1.822066268	0.564162943	0.767432776	1.069498226	-0.4230484	-0.449648918	-0.113343703	-1.273958724	-1.467451963	-0.138006195	2.142191467	0.659343697	-0.72191129	-0.449648918	-2.377823084	-0.372045367	-1.833780309	-0.562274858	-1.037528288	-0.330619356	-1.159046808	-1.04764706	0.373389284	-0.23976627	-0.933128353	-1.500177259	-1.149691996	-1.206992069	-1.614442551	-1.174417221	0.869917359	-3.040251737	-2.260664555	-0.951352817	-1.541358148	-0.223608023	1.610410793	-0.691394577	0.21160437	1.431877542	1.714151847	AE
G302	0.349512434	-0.087183978	-0.896850418	0.356200419	-0.055840595	0.077138332	-0.348152508	-0.581244852	2.046425054	0.445000857	-0.238127691	0.217575823	-0.6289878	0.175169363	0.990034121	0.306068979	-0.322416101	0.119660368	-0.656381184	0.410290621	-0.536162342	0.077763314	0.206285722	-0.339415643	-1.933137893	-0.001481096	-0.779371693	-0.292863762	-0.177985229	-0.283540512	0.01443139	-0.127188154	-0.049968562	-0.555451669	1.0611875	0.318293378	0.049309236	-0.036707449	1.168596207	-0.095495467	0.075965854	0.367301953	-0.272579744	-0.062996176	0.270164253	-0.070491625	0.027706478	0.842251249	-0.004946948	0.012828003	0.230276806	0.152140985	0.78188044	0.22305121	-0.226756773	-0.129728774	0.028721113	-0.138520409	-0.383298747	-0.404596961	-0.215880625	-0.124798978	0.62957809	0.518573245	-0.779401449	-1.01498444	0.437878937	0.305357036	-0.473484496	-0.060529138	-0.41827478	0.174527719	-0.344554638	0.105368625	-1.059080346	0.434322056	-0.350341817	-0.421102544	0.172303981	1.517574604	0.839069894	0.597956277	0.105256561	-0.036089025	0.490033796	0.151061136	-0.668154468	0.235864843	-0.264383157	0.159186918	0.18147377	0.564752611	-0.236809536	-0.140327262	-0.178447753	-0.153083986	0.052547993	-0.439562976	-1.234277528	0.33136348	-0.32635071	0.309084331	0.230901241	-0.325164849	0.962000779	-0.10313953	-0.605729238	-0.276330199	-0.326555898	-0.164511088	0.218953048	-0.704580771	0.482958858	0.064431056	-0.043891014	0.160865819	NO
G303	-0.942667662	0.216920683	0.490879325	-1.09224732	-0.636069444	-0.878715868	-0.937849293	1.317338058	1.477458745	-1.94315506	1.049471574	2.074677114	-1.441161955	0.481988674	0.0	-0.387495776	0.149735252	-2.166660641	-1.149876886	1.275318806	0.67687282	0.807937755	-0.489240541	-1.758691811	0.743810839	-1.391732575	-0.624461408	-1.255297061	0.71151333	-2.111315422	-0.261496422	-1.829014859	-1.519475001	-1.737041777	1.455528378	-0.603247406	-0.541746537	0.27988371	-0.949541366	-1.207400237	-0.806240746	0.216661311	0.749411472	-0.911400687	-1.488794918	-0.712282679	-0.505945851	-0.838330759	0.667156362	-1.44873418	0.648526977	0.814365307	1.562043402	-1.934497955	-0.999482555	0.859668014	1.242601542	-1.381522714	0.522320407	-1.830757785	1.014078357	-1.084404016	-1.192535694	-0.293158072	0.733369611	-1.570509761	-1.501950947	-0.777939593	-1.618223513	-0.81299627	-1.010089351	-1.310824504	-0.479306781	-0.790584669	0.484394199	1.396755275	0.899079529	0.572494299	0.824591529	-1.291004998	-0.920566286	-0.341955185	-1.600596519	-1.31831553	-0.866941899	1.792717212	0.614359104	-0.646220427	-1.251123652	-1.646332363	0.565704186	-1.000795335	-2.48535352	-1.100562982	0.341203547	-1.039413889	-0.439581413	1.031769351	0.937129404	-1.226536874	-0.868454345	-1.381874717	-1.52528763	-1.870117937	-1.001437574	0.84729491	-1.756161576	-2.146084381	-1.321155677	-1.609117811	0.06598243	0.496478129	-1.783742727	0.65346686	0.649054026	1.292758757	AE
G304	0.25805353	-0.104225103	-0.570986618	0.494570321	0.064239571	0.307865153	-0.638583876	-1.668926198	3.672027009	-0.263851515	0.576652688	0.062540752	-0.325669576	-0.327865595	-0.150273966	-0.289914703	-0.24449668	-0.707539004	0.308446674	0.665606924	-0.20980318	0.364079053	-0.155090296	-0.251665202	0.699737796	0.516636288	-1.109716792	-0.167959988	-0.073729362	-1.446473935	-0.266516758	0.205157966	-0.267153461	-0.238334009	1.429038323	0.585662136	-1.407927205	-0.526906701	0.040921082	-0.042686211	0.171199514	0.021824902	0.050064592	-0.089664866	-0.284821933	0.452030427	-0.043209241	0.480340848	-0.662338722	0.051776937	0.444151488	-0.236273725	0.823986202	-0.672471354	-0.220216401	0.30840211	-0.634959279	-0.007894826	-0.029836618	-1.217501562	-0.215359793	-0.006741471	0.311779615	-0.612937461	0.925389187	0.086226751	-1.027907075	-0.721910162	-0.805979302	-0.350769179	-0.148177988	-0.613399186	-0.138380262	0.077539629	-0.747732102	0.622447082	-1.495336192	-0.432026966	0.03041186	0.369531031	0.395700839	0.461229407	-0.110896482	-0.24617678	0.385160188	1.515717551	-0.236833186	-0.542683874	0.552403216	-0.467763788	0.494898194	-0.602227514	0.448446595	-0.859713811	-0.112206916	0.233701794	0.088523247	-0.42209764	-3.232411055	0.071295038	-0.499336977	-0.176754062	-0.624926569	-0.481273579	-1.463759022	0.339562482	-0.506271185	-0.345773347	0.220229661	-1.448734594	0.557055033	-1.16280001	0.277194466	0.208864934	0.04732351	-0.051581576	NO
G305	0.254379117	-0.068487487	0.050269868	-0.244019434	0.218561949	-0.166703068	0.621727611	0.206409368	1.610557036	-0.422893957	0.486020132	0.037942323	0.40407859	-0.243752841	-0.039129471	-0.508440658	-0.453046675	0.374736851	0.205561697	0.247620223	-0.153743423	0.084782801	0.189407684	-0.192934115	-0.297772014	-0.404314383	1.039407658	0.313743037	0.070133952	-0.114614232	0.682099009	-0.243505243	-0.181988463	0.386649222	0.171109424	-0.150777783	0.129528144	-0.34662473	0.130044646	-0.084858764	0.274991244	-0.029723089	-0.09513681	-0.091663449	-0.510861232	0.999744916	-0.028916146	0.053348178	-0.504249227	0.112495705	-0.094063333	0.150437897	0.478642627	-0.171572985	0.157521062	0.074751164	-0.110339065	0.213948031	-0.10934205	0.165534215	-0.069777191	-0.100527475	0.009564008	-1.454759258	-1.348252033	0.699545321	-0.13925795	0.069673624	0.823673223	-0.195234398	-0.260764944	-0.125940872	0.090470134	0.438242701	-0.220542766	0.17014096	0.019904107	-0.159925843	-0.125212094	-0.182129126	-0.241341411	0.514603205	0.180963509	0.675110937	0.593747043	0.066096137	-0.021361924	-0.171201959	0.145342268	-0.060115074	0.267871886	0.261229169	0.559485893	-0.191868745	-0.277943186	0.919107843	0.238109849	0.221647981	-0.608039098	0.577931661	-0.262103808	0.187476765	-0.0585373	0.460259012	0.83450849	-0.43487952	-0.001225401	-0.80099344	-0.64668207	-0.056902316	-0.005711706	0.62832077	0.475209722	0.303510037	-0.215279015	-0.146840717	NO
G306	-0.022544632	0.244669549	0.560490274	-0.422232506	0.017313545	-0.257442461	0.061417385	1.689469784	0.0	0.252285404	-0.323880797	-1.499981265	-0.095783246	-0.121017965	-1.196957895	0.478508034	0.281832471	-0.441355767	-0.470837478	0.474294116	0.244485971	0.046576544	-0.173638595	-0.165425834	-0.785905299	-0.280037959	-0.49068089	-0.190953777	-0.267654787	-0.276557174	-0.123136832	-0.28734551	-0.264549185	-1.060018152	0.635001497	-0.487862279	0.257609511	0.062402986	-0.301063853	-0.5441847	-0.589716761	-0.022994914	-0.567821438	-0.228809133	0.048915551	0.953264197	-0.327059784	-0.253657315	0.526070483	-0.712488402	0.565988693	-0.519098708	0.323306545	-0.219908149	-0.791856124	-0.752405514	-0.346627135	-0.181591832	-0.345620749	-0.386997671	0.259964902	-0.607852912	-0.40535458	0.156398783	0.656724703	-0.187189796	-0.469392968	-1.120507071	0.150379571	-0.69361368	-0.278507838	-0.115313048	-0.558172301	0.134880575	0.21414525	0.773407905	0.18580111	0.007851707	0.003561999	-0.31210692	-0.122238097	-0.554425008	-0.415415119	-0.771559101	-0.556057319	0.531470869	-0.383038149	-0.2982188	0.092766039	-0.58799995	-0.699936109	0.159607587	-1.434060715	-1.039496792	0.23845084	0.065453107	-0.548623521	-0.313864496	1.882948564	-0.611997889	0.058473274	-0.364336822	-0.679008263	-0.748815044	-1.326527975	-0.613618805	-0.378559485	-0.658004144	-0.565294375	-0.165912962	0.411489245	0.341162902	-1.014369539	0.309342987	0.00367688	-0.114898848	AE
G311	0.20618238	-0.359287332	-0.447510489	0.382825078	0.213001246	0.114265508	0.005529531	-0.285800708	2.327466807	-0.138280096	-0.163437572	1.104733954	-0.453706524	-0.102281407	0.0	-0.376921483	-0.477000092	0.806772964	1.241914664	-0.648311828	0.099663978	0.307870457	-0.055596045	0.613343219	-1.504011051	0.091009676	-0.767805451	0.244225719	0.058312783	0.712608774	0.659248277	0.372737661	0.518946033	-0.107466279	0.40775869	0.532984477	0.306218451	-0.717082435	-0.012229954	0.073629239	0.178228631	-0.454259489	-0.298254929	0.43642864	0.090918962	2.060404899	0.502030317	0.300824367	-1.037264246	-0.051300184	0.176464025	-0.523827017	0.07605587	0.000359787	-0.049871147	-1.822473603	-0.489969986	0.237737294	-0.510970503	0.027503659	-0.184796065	0.411537202	-0.357133749	-0.417584029	-0.908813665	0.16406717	0.625316255	0.143521818	0.740596257	-0.339564075	-0.247389948	-0.014757743	0.132875296	-0.075648985	-0.767805451	-0.682203509	-1.730894849	-0.258341948	-0.441946817	0.61602285	0.098826451	0.487320486	-0.224369936	0.306218451	-0.160952563	0.199352743	-1.075611224	-0.198834014	0.068934253	0.290834546	0.269653216	0.21191606	0.52490227	-0.292703444	-0.336073175	0.433663807	0.498405877	-1.200256904	0.210296928	0.11005228	-0.320545815	0.81796346	0.405708064	0.634372634	0.739737608	-0.722277281	-0.165226812	-0.821239081	0.115031094	0.20115395	-0.025013543	0.632821357	0.634137812	0.083909186	-0.130150875	-0.724825886	NO
G313	0.119424745	-0.689409932	-1.311549573	0.754878132	-0.013624975	0.148398358	-0.215769674	-0.095674947	3.285415612	0.817272108	0.677286741	0.13574921	-1.138185808	-0.048951764	0.979829475	-0.570779443	-0.384286722	0.48419361	-0.312629655	0.705277007	-0.228808841	-0.169669289	-0.008274085	-0.188834394	-2.29901714	0.641340321	0.006850847	-0.500304908	-0.614188891	-1.107890483	-0.48151305	0.231260517	-0.01219548	-0.399703827	1.14204986	0.168117713	-0.101449899	-0.604060175	-1.349470017	-0.373632536	-0.115180399	-1.231017744	-0.242745186	0.079086987	-0.407089371	0.192960078	-0.197602757	0.545257891	-1.475381282	-0.58240282	0.665777212	-0.611101877	0.985457136	-0.874042727	-0.011368162	-0.337112311	0.233237546	0.358403935	-0.337447911	-0.465010994	-0.150293739	-0.81390386	0.44755103	0.203701176	-1.085482936	-0.446146041	0.234351913	0.219792922	-0.448063506	-0.158803398	-0.535274049	-0.935118117	-0.60645976	0.033672367	-0.657041056	1.993422333	-1.563545715	-0.336464802	0.166452268	0.481667885	0.354970997	0.387563379	-1.101866868	-1.468251963	0.038776806	1.093596847	-0.465517491	-0.359589537	-0.074869877	-1.492428451	0.804216648	0.509116871	-0.319502901	-0.336633129	0.131001242	0.376047466	0.049766438	-0.836025336	-2.316596862	-0.065541842	-0.855595121	0.487421826	0.291021294	-0.248198239	0.424134578	-0.435804378	-0.695250909	-1.598930102	-1.207625838	-0.044553349	-0.537146382	-0.478584936	0.115236118	0.025886881	0.011571682	-0.61141054	NO
G314	-0.062138864	-0.13254402	-1.221339168	-0.295408318	0.256750614	-0.250624262	0.067614194	-0.217475831	1.693369359	0.663030692	0.467869502	0.373443771	1.110577796	0.154114787	0.645030246	-0.278454262	0.089160565	-0.123558794	-1.023364149	0.384225322	-0.010319114	-0.355476952	0.013538534	-0.968553136	1.479138057	0.671154692	-0.671290903	0.016657641	0.010965855	0.024449641	0.227342627	-1.032128606	-0.925660444	-0.624356571	0.67228494	-0.929611327	0.291208143	-0.927097156	-1.108640485	-0.935118714	0.070471775	0.08165407	1.139393195	0.19610168	-0.749471592	-1.121550278	0.074311625	0.338298184	-1.488963199	0.118386558	0.159633361	0.545718755	0.81876036	-0.020547812	0.103065349	0.610471603	0.610457285	-0.591400927	0.242771846	-0.099882984	-0.638102845	-0.561079074	0.035079672	0.007219422	-1.774393028	-0.001078096	-0.526672278	0.280652905	-0.021069355	0.458280904	-0.737099439	-1.121733447	0.822648317	-0.691958404	-0.371177889	1.313235627	0.233640199	-0.489563149	-0.404098106	-2.60623385	-0.115786391	-0.007500424	-0.425044505	-0.456219035	-0.149711468	0.747036411	0.669647985	-0.313066796	-0.422284745	-0.823278235	-0.059740388	-1.021993139	0.240293952	0.057555411	-0.095343086	0.443106956	-0.764223696	-0.029332546	-0.372707001	-0.43401334	-0.626306252	-1.278026896	0.74688746	0.470512934	-0.878797535	0.80082416	-0.509042122	-0.399093398	0.770449376	-0.030577915	-0.350202039	-1.081201123	1.455463029	-0.344607597	0.263163815	0.140966271	NO
G315	0.516090894	0.163968014	0.332180149	-0.450200794	-0.259354566	-0.374516833	-0.552288993	-1.850373243	0.848778864	0.392574953	0.09088247	0.687135377	-0.971988375	0.492573023	0.125016171	-0.80153254	-0.148167209	-0.892587008	-0.957956574	0.749563663	0.644410349	0.82265482	-0.232267588	-0.702876187	1.152551485	-0.210042135	-2.060962866	0.156153491	-0.11330719	-0.650489587	-0.702940312	-0.959582536	-0.531750354	-0.879400206	1.166817448	-0.360586589	-1.086451008	-0.350092186	-0.823736061	-0.338502349	-0.168763846	0.341376164	0.539323288	-0.255213262	-0.435827759	-0.151849621	-0.131367034	0.027940328	0.511646099	-0.577476211	0.695004696	0.404507367	1.083045945	-0.413007634	0.059211521	0.542339426	0.599776478	-0.018745701	0.029602632	-0.574773811	-0.208481712	-0.170990076	0.243260613	0.289488984	-0.305727656	-0.813818775	-0.43503733	-0.790004472	-0.659229371	-0.15428254	-0.156023922	0.107271771	-0.490795949	-0.041862801	1.119841378	0.582166096	-0.173830434	-0.182598311	0.596692611	-0.42982257	-0.199985526	0.835080809	-0.023415068	-0.169741832	-0.138619329	1.218502373	-0.336902132	-0.49310833	-0.311941627	-0.328110295	0.291186079	-0.033036081	-0.134887176	-0.703892892	0.424700364	-0.420154635	-0.121058107	0.020751667	-0.323202358	-0.703259765	-0.599069004	-1.274290778	-0.369958748	-0.82967687	-1.203493936	0.251447029	-1.866804695	-0.828947942	-0.475228824	-0.14550718	0.810051466	-1.572470841	0.195587248	0.751677328	0.519208345	0.082997237	AE
G317	0.657717356	-0.032670832	-0.791514449	0.891568437	0.167491332	-0.081980024	-1.011110087	0.453411904	2.066685079	0.605567824	0.858677045	0.810294366	-0.26343164	-0.484512155	0.0	-0.590462361	-0.341545529	1.227898775	-1.189254968	0.112993186	-0.033841151	-0.505800746	0.261215639	-0.319715525	-0.835174407	0.218759203	-0.520949236	-0.529348001	0.311084276	0.216308982	-0.001212216	-0.035623056	-0.51338588	0.415094043	1.036023033	-0.288437206	0.220616634	-1.351420553	0.350897513	-0.929375601	1.363181352	-0.595245786	0.239014054	0.353189252	-0.583905186	2.053211153	-0.744023879	0.721407946	-2.054094959	0.030680132	0.074348893	0.440190061	0.967431474	-0.370219089	0.258694734	-0.443274971	0.366091074	-0.297615084	-0.016300897	-0.607815748	-0.142803353	0.173275149	0.066076377	-0.356802252	-1.662770423	0.607703644	0.574992107	-0.588726906	0.584632588	0.364672308	-0.13059097	-0.848356132	0.34368468	-0.217060832	-0.659338953	1.34933138	0.227667251	-0.650061596	-0.019322818	-1.791753502	0.09242612	0.409434294	0.503956806	-0.600322455	-0.367491878	0.429998642	-0.596558033	-0.164946942	0.121910442	-0.169801816	0.126908069	0.216938054	0.638997948	-0.561990393	-0.188470167	1.083593954	-0.109396713	-0.750879623	-0.926306504	-0.075819826	-0.813852596	-0.196165082	0.572368827	0.549830544	-0.889037456	0.311808995	-0.576180199	-1.451451585	0.14691451	-0.062975248	-0.325478096	-0.727804643	1.365119534	-0.429591935	0.579788733	0.728218241	NO
