	RNF41	CENPV	ABR	EIF1AX	RAE1	TTC30A	REP15	FLT3LG	SOCS3	CAPZB	PRKCZ	ARG2	RFPL3	LOC595101	CUL4A	ZNF708	MELK	PPIAL4F	JAG2	COL15A1	BTBD10	FOXM1	SF3B14	DENND6B	FAM100A	ALG10B	QRSL1	THBS3	MAPK11	ZNF440	FCER2	LOC399815	CDK15	LOC646471	PET100	CDK1	PYURF	LOC100289361	FBXW11	SCARNA18	CRELD2	PLD6	FAM159A	ARMC5	SDHA	PPIAL4E	KLHL15	JPX	HBM	GAPDHS	FRYL	ZNF37BP	SUMF2	LSM7	PYROXD2	C17orf66	RPP21	SLC9A3R2	DHFRL1	WDR19	BFAR	RABL3	COG3	LOC389791	Class
G119	-0.088137915	1.232485796	-1.13239825	1.11196793	-1.293862589	0.542828859	0.316128508	0.130157518	-1.703897743	-0.344455244	-1.165830115	1.029837285	-1.935899573	0.0	-0.313506593	0.078848109	1.351847175	-0.637752538	0.071835755	1.015642444	0.575063131	1.134245651	1.157369162	1.419411416	-1.226214117	-0.660612471	-0.004862457	-1.073899748	0.698039064	-0.048875411	-0.329437704	-0.448615424	0.519839604	-0.213922657	0.401912922	3.102691728	0.889483988	0.421576619	-0.784285006	1.014662728	0.4977348	-0.814160977	0.052642864	-0.56360075	-0.163369752	0.0	-0.607518117	0.702587214	-1.361713334	-1.061718523	-0.28231451	0.474859071	-0.072922692	1.578965534	-0.484178286	0.092374964	0.01273713	-0.03785212	-1.366337356	-0.830478164	0.935587031	0.253002511	-0.532150163	1.228538267	Persistent
G120	0.094310436	-0.107090198	0.708923358	0.034224314	-0.115247219	0.149617942	-0.009827785	0.516937905	0.080819632	0.114636777	0.062841919	-0.017384715	0.0	1.712126712	-0.020367898	3.716134131	-0.46473338	1.064075647	0.364816707	0.705260733	-0.239942654	0.214054972	-0.489588868	-0.598657997	0.699730296	4.727706318	0.432164482	0.118831453	-0.891940578	1.586456906	0.150650218	0.220572157	0.860490716	-0.364391108	-0.264589424	0.972078203	-0.426870429	-1.18512795	0.250074356	-1.293949546	-0.374306163	-0.510160791	0.160218644	-0.466508812	-0.164937613	0.541303608	-0.05114654	-0.402530178	-1.17543824	-0.013295389	0.249663313	0.291222818	-0.513584246	-0.631603687	-0.625218354	0.559525527	0.498489871	-0.291676293	-0.130833904	0.882723665	-0.20971415	0.008416761	-0.179459674	-0.372833467	Waned
G126	0.034800488	-0.864285246	-0.227343098	-0.236107859	0.539409079	0.380137223	0.0	0.010757631	-0.719056854	0.005870452	0.74622885	0.19426948	-0.037124386	2.144206266	0.115561674	1.061886932	1.185561711	0.535440036	0.569525576	1.105144755	-0.356670626	1.342855657	-0.610330346	-1.029879163	0.858029306	4.465223567	0.532733991	-0.794680302	-0.408721006	1.604479463	-0.109253226	-0.208548257	0.112369071	0.247206247	-1.287363618	0.9256566	-0.274933744	-1.011490948	-0.022400148	-1.438819671	-0.825510881	-0.725397819	-6.05e-05	-0.584040229	-0.227396203	0.573996278	-0.756512159	0.573996278	-0.431331502	0.573996278	0.11456739	-0.267105742	-0.307827657	-0.270203688	-0.125862331	-0.015202768	-0.756133186	0.112228196	0.674322157	0.526598085	-0.579689818	0.027979187	-0.094356383	0.019272024	Persistent
G128	0.071094471	0.764474078	-0.976707583	0.805787121	-0.616118854	0.716487357	-0.00568633	0.113227566	-1.128997278	-0.300939071	-0.828545962	0.633167502	0.819902797	-0.792940221	-0.059708719	0.61101165	2.519657049	-0.007407201	0.243231881	-0.00568633	0.151809637	2.816077238	1.056713504	1.481436312	0.236105171	-0.310927986	0.090369211	-0.727968075	1.381002154	-0.432200106	-0.47395151	0.496788776	1.104279809	-0.563099657	0.854293772	3.438329704	0.681142582	0.220998795	-1.071716905	0.485168291	0.850239458	-1.047801984	-0.05659738	-0.064595675	0.016001465	0.681178609	-1.098800937	2.151791202	0.750728181	-1.108633694	-0.286662697	-0.054891224	-0.232759025	0.930926776	0.381413994	0.523139433	0.344200405	-0.278432185	-0.739837224	-0.601425476	0.078180133	-0.349931893	-0.250317256	-0.226051319	Persistent
G130	0.667322671	-0.0722792	0.752301408	0.251482656	-0.447053582	-0.04365492	-1.485124545	0.294957925	0.018518628	0.090876475	0.258293069	1.295058259	-0.596548227	0.204139347	0.056342838	1.444679494	0.810937145	0.009967127	0.530114664	1.178640404	-0.144442496	0.043253483	-0.343424825	1.07583622	-0.135717218	0.686516108	-0.30384746	-0.726193373	-0.553605776	0.808931527	0.534370773	1.862761933	0.574354158	-0.58932516	-0.916294388	0.372370788	-0.174586292	-0.116786703	-0.488575421	-0.670516153	-0.341338412	-0.171843116	0.235141927	0.384645121	-0.25634055	-0.115017383	0.055010804	-0.727915674	0.498635074	0.912387729	-0.1544796	0.352402041	-0.007202802	-0.294747238	-0.61680918	0.043253483	-0.881273801	-0.100485477	-0.276508822	-0.145087441	-0.568008099	0.938376437	-0.434674638	-0.578392881	Waned
G302	0.505967151	-0.162036271	1.363566499	0.182545071	-0.510325611	-0.827267348	-0.457408902	0.154888546	0.225191509	-0.290372466	0.223041523	1.721609205	0.0	0.551114918	0.378452854	0.668394158	-0.362447887	-0.140534102	0.358920563	0.705795687	-0.526114546	1.896276488	-0.339213926	0.426156119	0.863821613	1.023036794	-0.067893131	-0.347971869	-1.109369245	0.032122932	0.095113463	0.23499377	-0.803527729	-0.442359537	-0.98938982	0.845528221	-0.3982059	0.593653974	-0.22246956	-1.082603691	-0.0277573	0.943140036	0.909725357	1.130482513	0.030395395	-0.457408902	-0.411337517	0.0	1.767216431	0.886025908	-0.032894894	-0.186561906	-0.040697304	-0.059358573	-0.164729443	-0.07429828	-1.390459797	0.891347522	1.666102495	0.558544552	0.315617525	0.193726365	0.207095807	-0.067092398	Waned
G304	0.518016621	-0.494733838	2.155889224	0.09249237	-0.297200661	-1.043169773	-1.02669851	0.281884301	-0.504866492	-0.253903155	0.145881232	0.007849195	0.0	-0.607507937	-0.149652875	1.624193866	1.513303685	0.869391105	0.204698547	-0.777637299	-0.486585933	-0.542576981	-0.109008793	0.754930804	-0.081339804	-0.055085197	0.390498616	-0.49854458	-1.01086377	0.426487412	-0.00486304	-0.838767952	-0.611932888	-0.109008793	-0.500614221	0.483619376	0.110989163	-0.323455383	0.30470652	-1.046283994	-0.33411161	0.115842114	-0.074817093	-0.41454743	0.038511881	0.617608168	-0.168437892	0.005191106	0.351396889	-0.224268712	-0.021343908	0.513017502	0.267404269	0.237137781	-0.346885061	0.006379276	-0.984221666	1.324374065	1.027024933	-0.225704844	-0.339100617	-0.324725317	-0.29384598	0.315916489	Waned
G305	0.815022368	-0.820146567	0.066494747	-0.138808507	0.363520394	-0.187594236	-1.972149439	0.594431231	-0.080471532	-0.048182815	0.20345544	0.499651182	0.419922835	1.407910132	0.318669497	3.618270371	-0.357445017	1.032797939	-0.257465991	0.372085096	-0.934749334	0.941705367	-0.943629303	0.23623096	0.463902304	5.090451201	-0.364973744	-1.051289957	0.97676164	1.469450917	0.250794267	0.066494747	-0.057966643	-0.464949231	-0.894671753	0.392320237	-0.148148437	-0.50592708	0.72176738	-0.98000167	-0.281703224	0.598556427	0.292248718	0.378059749	0.2078002	1.407910132	-0.111720298	0.869289073	0.876582456	0.958543894	0.122153337	0.656481977	0.091859842	-0.202676876	-0.139087807	0.235513765	-0.361238568	0.857981514	0.904318607	0.081113653	-0.290418864	0.08434048	0.211470285	-0.695269341	Waned
G306	-0.210394953	-0.215596172	0.194631946	-0.382181996	-0.36921754	0.09792179	-0.43182274	0.696505058	0.422577301	0.135552389	-0.134018988	0.880953235	0.0	2.660332499	-0.371238491	3.294950622	-0.747684787	1.23998191	1.019495474	-1.555244947	-0.868619968	-0.160829455	-0.068402139	0.001914109	1.09590587	4.901576635	0.434554222	-0.111698109	-1.099889005	1.295674014	0.13057854	0.818417969	-1.188323888	-0.116152334	-0.680674516	-0.005230878	0.475535287	-0.984523814	0.369093905	0.442782703	-0.157464001	-1.027518704	1.113904936	1.171730712	0.498801149	1.714032694	0.600948889	-0.438741281	0.510580324	0.818003902	-0.295546449	0.694309967	-0.081564798	0.150193567	0.389290898	0.818572066	-0.67966235	0.245351807	0.14010635	-0.366669485	-0.25283272	0.352320928	0.007256044	-0.726688791	Waned
G311	0.103450649	-0.971221341	0.784196715	0.642830104	-0.716318987	0.272972989	2.042249729	-0.656156476	-0.517738581	-0.542445129	-0.662896541	1.211517731	2.108409699	0.0	-0.093813952	0.551245556	0.409758436	0.707223219	0.775409381	-0.029094132	-0.301838172	1.707952393	0.045979668	1.682015987	0.013063737	0.0	-0.482327124	-0.480198513	-1.14230388	-0.494839962	-0.534422452	-1.698553652	2.119875115	0.250801622	-0.442372271	0.890981886	0.782536863	1.346234262	-0.304237972	-0.434063136	0.075811347	-0.30600525	-0.71616058	0.120400357	0.04145356	0.0	-0.479855209	1.16835276	0.741979657	-2.071343861	0.384834322	-1.150170257	-0.801683695	-0.28854255	0.643713407	-1.544493229	0.738371585	1.217248725	-0.747077908	-1.039637195	-0.067504233	-1.063834365	-0.127226881	1.544068212	Persistent
G313	0.246874271	0.534349818	0.752942371	0.382717126	-0.564039735	1.839557015	2.660521224	-0.313077448	-0.840203565	-0.076479886	-0.864512675	0.167236273	3.266636572	0.0	-0.594271482	-0.137722965	1.261337954	0.548072286	0.446661506	0.324059202	0.074304687	1.127815757	0.199390832	1.31430848	-0.375226544	-0.483525076	0.177699031	-0.625957102	1.045003167	-1.050210241	-0.266507846	-1.541774263	-0.499715287	0.400745304	0.144569423	1.249996846	0.318223376	1.141330743	-0.645829559	1.002286052	0.279871798	-0.663117696	-0.215497507	-1.193865989	-0.423804948	0.0	-1.154094178	-0.009921962	-0.398701662	-0.656711541	-0.262442154	-0.242803595	-0.603121089	0.28808862	1.085652761	-0.639153227	1.212838719	-1.04264012	-0.642528732	-0.622155801	-0.040154168	-0.534225615	-0.877314131	2.2616263	Persistent
G314	0.999876695	-0.271357494	0.219207641	-0.51332104	-0.061854769	0.071308807	-1.409350729	-0.669419226	-0.127171155	-0.084260697	-0.379894507	1.519417767	0.792677335	-0.634183083	0.677926495	-2.833028102	1.619768693	0.669373961	-0.760697749	-0.609507784	0.827426479	1.881580069	0.145039037	-0.006691824	-0.689918119	-4.83809118	0.024440205	-1.629343904	-0.216579764	-1.913592539	-0.517117003	-1.262836889	0.332681217	-0.390300871	-0.9011263	2.509857819	0.359311	1.205595499	0.152555181	-0.296354559	-0.125793764	-0.694506896	-0.286849982	-1.315055509	0.064996448	-1.073215144	0.257863448	-0.380442249	0.711766348	0.158494252	-0.261724191	-0.138938063	0.54535222	-0.498333134	-0.80739574	-0.37341323	-0.418096923	-0.030085212	0.292435735	-0.340719564	-0.764689595	0.041330866	0.233843924	0.542851959	Waned
G315	-0.131875961	1.03381262	1.136284684	0.616097871	-0.451205662	-0.853279824	-1.596949174	0.223427471	-1.308041525	-0.647507741	-0.188433697	0.151559321	-2.778913541	0.0	-0.942190757	0.011918264	1.385955547	-0.751670241	0.068092649	0.233582644	0.118236695	0.35698083	0.561208708	-0.104964259	-0.810893749	0.0	0.265059124	-0.921170221	0.114762633	0.097073636	-0.473979681	-0.889235818	1.590792438	0.291666623	-0.163422081	2.869612732	0.893418539	-0.700301655	-0.721823891	1.369898716	-0.02819388	-0.803420249	0.563022698	0.044321984	-0.056279391	0.0	-0.461721184	1.312792556	-0.370342911	0.592978766	-0.113381595	0.459219006	-0.35234811	1.207182887	0.827809592	0.803697334	0.197535913	-0.068395739	-0.136009968	0.064033654	0.46750617	0.119039863	0.205851754	-0.378966372	Persistent
G322	0.140611371	-0.75955714	-0.951504703	-0.360976818	0.050550726	0.620724369	3.633660449	0.07314322	0.197769788	-0.414359401	-0.094437594	-0.104659709	3.740168757	-1.683776846	-0.060189859	-2.664335201	0.172908967	0.670829248	0.40728804	-0.164723933	-0.317677152	1.180496361	0.163382503	0.624159031	-0.652612328	-4.36073869	0.272136217	0.20413679	0.619435661	-2.147388875	-0.536971752	-0.361883832	0.035322839	0.359567286	0.115740102	1.282984064	-0.594125744	1.248178917	-0.296670029	0.253672338	0.654582607	0.132114885	0.093054597	-0.887364369	0.178491404	-0.452890412	-0.36637327	0.48181226	0.339520151	0.20413679	-0.040447985	-0.091936936	0.081544696	0.635083546	0.792084468	-0.802323014	0.383635397	-0.261628947	0.003160939	-0.019307261	0.128361651	-0.727955196	0.041361612	1.59120233	Persistent
G324	0.065457897	-0.380975081	1.607278783	1.11552296	-1.33156239	0.995927332	0.792016558	-0.547265918	-0.551955259	-0.42807746	-0.617562525	-0.467387077	2.146942358	-0.659702916	-0.238332649	0.295522126	0.816618798	-0.037557217	0.792016558	0.792016558	0.131927123	1.569927663	0.769190282	0.843426059	-0.265448516	-0.492626321	0.447364494	-0.415799327	-0.015948181	0.143770338	-0.851060822	-0.303113278	0.985267536	0.31563277	0.366805371	-0.032581354	0.370735818	0.94144733	-0.404482843	0.15769651	-0.076355781	-1.550467445	-0.475989876	-1.663686629	-0.521498895	-1.273979116	-0.849390281	-1.364652976	-0.90231293	0.575157593	0.362535783	-0.226842465	-0.651655168	-0.029559934	0.339499382	-1.105411267	0.911356215	-0.892091708	-1.230123889	-0.37101526	-0.094142071	-0.211295378	-0.448859557	1.203498538	Persistent
G332	1.103842477	1.348010113	0.588269046	0.731683193	-1.23168955	2.110967951	0.482775324	0.115108991	-2.103045991	0.068773232	-0.449939329	0.747187567	-1.032247667	-1.781913171	-0.025679287	-2.017643117	2.635789408	-0.241927508	0.081561469	1.245596459	0.645973811	1.997982459	-0.054332031	0.807617102	-1.119113942	-4.584636588	0.294379159	-1.726870351	1.427547823	-1.983983836	0.586968668	-0.748944801	0.810989975	-0.06418428	0.509290108	1.162019053	0.347949301	0.318836678	-0.883986042	1.178366718	0.930640555	-0.769921085	0.221125649	-1.680607028	-0.72561664	-1.455235701	-0.859078965	-0.219765581	-1.185712633	-2.248309718	0.071546789	-0.235760197	-0.32149053	1.253384784	0.417120213	-0.721186682	0.803266044	-0.003870957	-0.682433239	-0.17080006	0.495404536	-0.2076652	-0.767687848	1.540368741	Persistent
G336	-0.225430394	-0.238062469	-0.001465675	0.289812681	0.00916218	-0.358312855	-0.044700713	-0.242800923	0.095297378	-0.430040491	0.238231509	-0.400037411	0.0	-0.891301121	0.140477271	-0.355708132	0.304741074	-0.150039654	1.44572829	1.097048195	-0.481229692	0.546932149	-0.089064584	1.640542392	-0.405361817	0.218565133	0.062111334	-1.791674259	0.229294097	-0.634672941	-0.371331063	-0.415435484	1.304371688	0.162516731	-0.637148319	0.461630239	0.043009259	0.665114979	0.060041208	-0.61175746	-0.01483949	-0.57583574	-0.533913953	-0.905915522	-0.046928435	0.361045355	-0.441537202	1.423163369	-0.846213313	0.295740613	0.477191926	-0.020715339	0.221891032	0.079736864	0.542485755	0.060719548	-0.29248782	0.093125474	0.27694547	-0.562714436	0.106484682	0.293482317	-0.306158225	-0.070026179	Persistent
G347	0.438800108	0.219283997	-0.155940139	0.679023676	-0.700783252	-0.241514261	1.436866903	-0.037839421	-0.573188727	-0.413757322	-0.723714098	-0.589987233	0.649944281	-1.228514469	-0.546520933	-2.90415908	1.433686794	0.277248868	2.536299851	1.937424607	-0.22705535	1.477545471	-0.144703897	0.7808154	-0.559191284	-5.458913021	0.862677879	-2.379337391	1.385481116	-0.969221719	-0.909127221	0.160472892	0.019708524	-0.158892466	-0.136565951	0.479896238	0.600864909	0.977749703	-0.693675972	-0.345322736	0.077851022	-0.972830581	-0.408108965	-1.578100082	-0.381124128	-1.228514469	-0.57203763	0.0	-0.596158078	1.096407051	0.12623176	-0.430648106	-0.52551675	0.4240442	0.110618111	-0.918477624	-0.174469091	-2.116110819	-0.136290079	-0.583025061	-0.230547432	-0.341424623	-1.11008473	0.320549474	Persistent
G358	0.649531401	0.113012011	1.24096221	0.319951378	-0.414594431	-0.286594789	-0.698000223	-0.019763358	2.251646054	0.418013889	0.324978703	0.999083138	0.0	-0.535606528	-0.137533145	1.189701634	0.274998543	-1.630804214	0.04872509	0.033191158	0.59790986	-0.755826166	-0.24471013	-0.045300442	0.149984666	-0.70859894	-0.184032302	0.546891289	-1.140674204	0.61000307	-0.324070902	-0.1358369	1.621885047	-0.219336519	-0.06555782	-0.615828069	-0.579217545	-0.421486679	-0.513593085	-0.368979525	0.251134803	-1.276369277	0.086358145	-0.022278268	-0.131234255	-0.802290955	-0.4894603	0.0	-0.085374919	1.189790134	-0.559795892	-0.284816833	-0.373298585	-0.057815887	0.07383457	0.391747819	-0.163845803	0.811777444	-0.417512975	-1.146640501	0.044149539	-0.48648914	-0.406822859	0.423518792	Waned
