	SLC25A39	HPS1	RMI2	A4GALT	CA11	CCDC163P	NFIA	KLC3	IL16	BTF3	RNASE6	DNAJC4	KLHDC8B	SRP68	LARS	EIF2C2	FAM206A	TNFSF15	KEL	PES1	JAK2	UFSP2	ST6GALNAC4	C3orf33	LYL1	MEF2A	DFNA5	UBXN6	NEK1	UPK3BL	INSM2	EVPL	ZNF704	LOC100506746	POLL	MTRNR2L2	SCGB1C1	LOC643723	SLC1A5	DDX39A	GPR146	DIAPH3	SLC31A1	CDK10	HERC6	MGAT3	INPP4A	UTP18	SNTB1	ANK1	EFHA1	BLVRB	LMBRD2	ACHE	PRSS57	CIAPIN1	STBD1	BEX1	SPPL3	LZTFL1	PPP1R32	SGTA	HOXA4	ADPRHL1	TACC3	RFC4	AGBL5	ENTPD5	RBM5	QRSL1	DOK6	SMPD1	TTC30B	TAL1	CCDC170	GPR113	SERP1	SLC41A2	PRICKLE2	Class
G120	0.09912747	-0.03092081	-0.54722785	-0.230112423	-0.571009587	0.746607863	-0.507368186	-0.211427361	-0.230112423	0.841901182	-0.462059474	-0.040439732	-0.138109238	-0.207126789	0.099055931	-0.418538882	-0.138269915	0.746607863	-0.095911123	-0.220974857	0.209120409	-0.680112983	0.371750446	-0.329173625	-0.11569255	-0.120962798	-0.386832291	-0.793727311	-0.352851922	0.026345557	0.641901412	0.680855826	0.056745775	-1.081004286	-0.126881784	-0.304296609	-0.495848649	0.452817204	-0.072064321	0.630534051	-0.601349855	1.453106898	0.239270305	0.453903159	-0.431905864	0.441998197	-0.040876146	-0.249722537	-0.348814513	-0.305356187	-0.528493215	0.040253431	0.156403064	1.537850086	-0.603198035	0.079567955	1.105812396	0.331473806	-0.614271688	-0.759928108	0.056854959	0.246576384	-0.943833786	-0.14069636	0.495133112	-0.020709783	-1.179280296	-0.277435326	-0.080378294	0.065698779	0.331473806	-0.085648186	0.493879939	-0.016264547	2.585928307	1.864514528	0.709032647	-0.547762357	0.21957819	Waned
G126	0.35503215	0.325177578	-0.538877073	0.481906026	0.622233144	0.449209459	0.589898453	1.197373244	-0.129214638	0.296144262	-0.214596014	0.098313163	0.361051481	0.212074766	-0.19397638	-0.131270089	-0.703809048	0.231395722	0.948397076	1.292038724	-0.573976086	-0.195675082	1.125620365	-0.361811722	0.06215241	-0.159094953	-0.627108099	0.449628485	-0.113646482	0.457629931	-0.526160194	1.224047868	0.75979699	-1.189203414	0.618147328	-0.153806044	-1.154906949	1.130774521	0.137935582	-0.209800457	0.714870622	1.83777973	-0.121338762	0.967069497	-0.156598552	-0.423740483	-0.335688588	-0.535749905	-0.738708401	0.777160928	-0.70970283	0.180245736	-0.418158775	1.836949896	-0.506038454	0.281314266	-0.926371888	-0.196545125	-0.129454062	-0.475709557	1.626146986	0.015746429	0.231395722	0.823292807	0.001501476	0.423281645	0.178467679	0.577388602	0.381644464	0.269072907	0.842516386	0.548530419	0.42004596	1.02242325	0.481906026	0.692304783	-0.148663817	-0.202993049	0.0	Persistent
G128	0.32222934	0.36551848	-0.024353136	0.710287598	1.467273729	0.331104311	0.49376749	1.009786701	1.150587622	-1.100404731	-0.352164001	0.586526907	0.537783159	-0.774578394	-0.252268176	0.424121879	-0.827954212	-1.451340322	1.209247339	0.336623187	-0.648488497	-0.984169961	0.341878793	-0.327203129	0.852830564	-0.488647803	-0.412796172	0.974003769	0.365987407	0.916201109	-1.728062667	-0.541355007	-0.80956566	-1.13233113	0.102385295	-1.107342208	-0.115183807	1.19855205	1.085703332	-0.142284913	0.310438217	-0.459318347	-0.547864155	0.339825616	-0.894256046	1.086717736	-0.228375779	-0.229805335	-0.419685877	0.225046076	-0.058006942	0.753295508	-0.830443546	0.260216611	0.492307226	-0.162901197	-1.534105998	1.500834935	0.413069162	0.075929005	0.164260834	0.260711659	1.124158522	-0.392030711	0.369882803	-0.462601968	1.344483517	0.172020123	-0.313321027	-0.157898984	-0.615205862	0.197699996	0.315977025	-0.005711596	-0.861799074	0.392201241	-0.046726331	-1.216526543	1.782444633	Persistent
G130	1.25792947	1.479539009	1.022933515	0.0	-0.539637191	-0.994016445	1.330798985	1.453059439	-0.656388745	0.962289841	-0.926501849	0.795707355	0.295257087	0.421545025	0.024500644	1.230077566	-0.170796188	0.322969089	1.691207048	-0.000550798	0.543506014	-0.097040549	1.4233754	-0.565607229	1.355232487	0.598999775	0.705667673	1.37853112	0.304183107	1.301134271	0.804499933	1.584218385	0.804499933	0.845227059	0.610560045	1.247780262	-0.920552412	-0.77135552	1.842186933	-0.878275743	1.517836642	2.258638188	-0.113097164	-0.26960814	-0.18515921	1.131147106	-0.243015999	-0.353032701	0.357646961	1.468727874	0.582274491	1.309859052	0.439140446	1.951359679	-0.66021458	0.501610661	0.435665137	-0.951390262	0.115895582	0.118649615	0.518702896	0.385914963	-0.727915674	-0.680501834	0.153872033	0.196892245	-0.249380234	0.733394342	-0.33788371	-0.561231659	-0.940032712	-0.610453725	-0.812982388	1.461469964	0.322969089	1.089133277	-0.518828743	-0.16061705	-1.209446518	Waned
G302	0.99762247	0.546796897	1.623813556	1.717763608	-1.110037039	-1.153458162	0.946528598	1.245224062	0.402118979	-0.331459629	-0.710000347	0.612484886	0.701158077	-0.653044128	-0.337054441	0.209256028	-0.680925379	1.53868085	0.901098392	0.478866056	0.523480101	-1.032707567	1.189378774	-1.106146302	0.94915856	0.2607694	-0.795122814	1.075296206	0.564715377	0.804436583	0.571283122	0.505657733	0.406500336	-0.002988745	1.09404979	0.25823222	0.505657733	0.571283122	1.030243576	0.391220786	0.177173892	-0.563309718	0.085518091	0.285351248	1.405185863	0.57605859	-0.315243372	-0.241433281	0.264960233	0.612532081	-0.11084888	1.42171442	-0.064374835	0.669540613	-1.760551511	-0.461696925	-0.587092193	0.402118979	-0.197385294	-0.406538722	0.914856507	0.056093468	-0.002646151	-0.412135232	0.552022314	0.471023614	-0.431221574	0.222840123	0.053638606	0.129199623	-0.001969031	0.307311257	0.17625939	0.521682324	1.347328701	1.298811516	0.545467041	-1.112788855	-1.541327001	Waned
G304	0.14684467	-0.130073066	0.90839275	0.0	0.194694331	-0.666557492	0.342527015	0.600325101	-1.304302879	-1.063970254	-0.77701013	0.212939706	0.419864179	-0.16855225	-0.556015148	0.501625165	-0.573509605	-0.019955079	0.922525248	0.582284771	-0.439317834	-0.291742178	0.156526774	1.569549749	0.576855076	-0.242010274	-0.239585283	0.831279834	-0.507275366	1.236304789	-0.462425999	0.712289374	0.235058877	0.188726883	-0.195162977	-0.920456376	-0.462425999	-0.03503071	0.84661824	0.008053624	0.122233766	1.015670991	-0.494732944	0.37308393	-0.038801858	1.203678112	0.137601804	-0.302687836	0.160773888	0.407786708	-0.558675269	0.424843366	-0.621845925	0.109654322	0.0	-0.009567023	0.259777518	0.413005422	0.225516403	-0.241710502	-0.770713767	0.696457613	-1.074309984	0.423380377	0.573106745	1.058852594	0.171632927	0.007343588	-0.215341604	-0.153316993	-1.422057841	-0.002970824	-0.70883919	0.497651548	-1.60604843	-0.019955079	-0.651228718	-1.065112217	0.462469674	Waned
G305	-0.28830007	-0.343528493	-0.011305904	0.732416267	0.046414196	-1.094292322	-0.5825411	0.200922636	-1.341961071	1.220363923	-0.723916878	-0.353428011	0.208315023	0.477230516	0.86627389	-0.28812987	0.316028853	0.367144481	-0.419880558	-0.351583454	0.565348014	0.379865381	0.132024623	-0.649317297	-0.341598695	0.220424492	-0.260704715	-0.415623386	-0.759603214	-0.307649941	0.681499551	-0.071468686	0.147831761	1.757749196	-0.186669439	0.285621992	-0.27804631	-0.149566978	-0.135645657	0.55577958	0.413170775	1.010676129	0.847222483	-0.031690551	-0.287998606	0.238343413	1.049789855	-0.345066571	-0.284895928	0.083778244	0.246265387	-0.210386758	0.211111798	-0.577780432	-1.223345234	0.992081789	1.449853676	0.415510283	-0.291785272	-0.252370497	0.299525591	0.684815126	-0.057183451	-1.377490676	-0.202388279	0.528612153	-0.551730772	0.037103937	-0.520788647	-0.489135114	0.0	-0.563521115	-0.452244366	-0.606433524	1.525917953	0.816510719	1.10898831	-0.373635693	-0.475770889	Waned
G306	1.988770078	1.144583068	-0.867293418	0.206363384	0.362819115	0.652643794	0.321447385	1.631910583	0.303060692	0.647340803	-0.502438597	0.225284682	-0.391367534	-0.666723881	0.105345224	0.177298282	-0.524508616	0.53847329	0.807048801	-0.233969011	0.277719211	-1.007133098	1.100530184	0.46669983	0.74142782	0.491920647	1.355342595	0.977723034	-0.602056933	0.158759129	0.345705335	0.366707042	1.156826947	-0.114639468	0.092276982	0.672375885	0.216135255	-0.215734407	0.500075125	0.728170844	1.25242063	-0.201958322	-0.017768532	0.10505392	-0.190445818	0.165829972	-0.159276955	-0.283204655	0.008256062	1.367038104	0.245795845	0.84988077	0.62121537	0.944490109	-1.196957895	-0.164943185	-0.506697255	-0.093970045	-0.275253259	-0.418424363	0.239621654	0.105249345	1.10298785	-0.666237022	-0.107806136	0.020561121	0.159426097	0.224492325	-0.765973912	-0.488120883	-0.896624466	-0.679460537	-1.270866269	1.077634973	0.596604962	1.505069831	0.32571359	-0.859145907	-0.015174777	Waned
G311	0.6854215	0.258333521	-0.754938239	0.085842889	1.181111939	1.465216274	0.167163068	1.325901454	0.0	0.426225188	-0.30073214	0.426874894	0.648056278	-0.237200165	-0.144444892	0.013569864	-1.07821439	0.0	0.235658911	-0.030162975	-0.463568085	-0.565913715	0.444974056	-0.725076115	0.251718784	-0.930712315	0.125597295	0.264530815	0.255165567	0.386604688	0.340246612	-0.701830579	-0.676332548	0.181731817	0.247165524	1.411519691	-1.481508298	0.0	0.160288507	0.572529246	0.109994854	0.628949184	-0.662993768	0.449648365	-0.680492264	-0.137012833	-0.084718486	-0.109498289	-0.975478101	0.763592337	-0.521808165	0.226450364	-0.213824222	0.101238102	0.628949184	-0.519601965	0.402949756	0.556442494	0.048905456	0.645200576	1.451823361	0.067854268	1.676901587	0.46970248	0.443515394	-0.498842103	0.476336188	0.349363311	-0.302683943	0.237765436	0.085842889	0.32013274	-0.103750769	0.445988371	0.360228398	0.556442494	0.313589176	0.335551337	1.527816106	Persistent
G313	0.30697696	0.191369259	-0.346486176	1.518004114	-0.292196198	0.44239776	0.330260748	1.29143257	1.766974029	-0.473181939	-0.231191318	0.696124345	0.635309677	-0.656635626	-0.423535784	0.633953333	-0.286207445	-0.845037543	0.872018205	0.374807195	0.215331716	-0.740846115	0.661371476	-0.344020721	0.794640743	-0.379469052	-0.194889545	0.419148198	-0.165358261	0.57559243	-0.782473967	1.380557614	0.112325236	-0.940791601	0.15521253	-0.412410711	0.195311627	0.921936486	0.964011965	-0.731390447	0.436696471	0.828817076	-0.87980927	0.575970382	-0.415817397	0.731351177	-0.710479778	-0.758203499	-0.382179614	0.649047111	-0.25909127	0.401939723	0.031622354	0.381573174	-0.441905353	-0.410708717	-1.196726026	1.003212585	0.436206093	-0.182427759	-0.279423208	0.214089205	-0.845037543	-0.429444706	0.281002351	-0.243705239	1.175150025	-0.044932701	0.056601727	-0.06003464	0.678836703	0.441696515	0.265719962	0.935786787	-0.859704491	0.392561604	-0.83459302	0.522120797	-0.093783515	Persistent
