	FRUCTOSE-MEOX5TMS_1-1-M/z366	GALACTURONICACID-MEOX5TMS_2-1-M/z334	FUMARICACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	GLUCURONICACID-MEOX5TMS_2-1-M/z334	DODECANOIC-ACID-TMS-1-M/z257	CYSTINE-N-N-O-O-TMS-1-M/z297	GAMMA-TOCOPHEROL-TMS-1	GLUTAMINE-N-N-O-TMS_1-1-M/z347	Myo_Inositol_phosphate_Ri2399Mz299	HYPOXANTHINE-2TMS-1-M/z282	INOSITOL-scyllo-6TMS-1-M/z432	INOSINE-4TMS-1-M/z217	HEXADECANOICACID-TMS-1-M/z171	GLYCERICACID-3TMS-1-M/z307	HEPTADECANOICACID-TMS-1-M/z132	GLYCINE-N-N-O-TMS-1-M/z246	CYSTEINE-N-O-S-TMS-1-M/z218	CREATININE-3TMS-1-M/z329	CITRULLINE-3TMS_1(Ornthine)-1	3-HYDROXYBUTYRICACID-2TMS-1-M/z204	ACONITICACID-trans-3TMS-1	ACETAMINOPHEN-2TMS-1-M/z297	2-AMINOBUTYRICACID-O-N-TMS-1-M/z130	CITRICACID-4TMS-1-M/z465	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE-N-N-O-TMS-1-M/z304	BENZOICACID-TMS-1	ISOCITRICACID-4TMS-1-M/z466	Kynuerine_Mz192-Time:373.01to374.92Mass:192to192	ISOLEUCINE-N-O-TMS-1-M/z233	SERINE-N-O-O-TMS-1-M/z307	SORBOSE-MEOX5TMS_2-1	SORBOSE-MEOX5TMS_1-1-M/z364	SALICYLICACID-2TMS-1-M/z268	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	PYROGLUTAMICACID-N-O-TMS-1-M/z159	PHENYLALANINE-N-O-TMS-1-M/z268	SUCROSE-8TMS-1-M/z362	TAURINE-3TMS-1-M/z328	THREONINE-N-O-O-TMS-1-M/z293	TRYPTOPHAN-N-N-O-TMS-1-M/z303	Benzenebutanoic_acid_Ri2182Mz192	Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URICACID-N-O-O-O-TMS-1-M/z72	TYROSINE-N-O-O-TMS-1-M/z382	ORNITHINE-N-N-O-TMS_1-1-M/z144	OCTADECENOICACID--9-(Z)-TMS-1-M/z222	LACTOSE-MEOX8TMS_1-1-M/z204	LYSINE-N-N-N-O-TMS_2-1	LYSINE-N-N-O-TMS_3-1	LYSINE-N-N-O-TMS_1-1-M/z102	LEUCINE-N-O-TMS-1-M/z158	OCTADECENOICACID-9-(E)-TMS-1-M/z339	LAMINARIBIOSE-MEOX8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LYXOSE-MEOX4TMS_1-1-M/z104	MALICACID-3TMS-1-M/z245	MALTOSE-MEOX8TMS_1-1-M/z361	METHYLHISTIDINE-2TMS-1-M/z168	OCTADECANOICACID-TMS-1-M/z313	OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159	ISOERYTHRITOL-4TMS-1-M/z277	Class
G311	-711.0	112.0	231.0	86.0	115.0	436.0	420.0	670.0	1345.0	-66.0	-1106.0	-1009.0	-4583.0	1209.0	-442.0	257.0	-87.0	6390.0	594.0	39032.0	-1666.0	-229.0	-254.0	-8841.0	768.0	-1237.0	-459.0	-321.0	2689.0	-293.0	2273.0	-6666.0	-2205.0	1494.0	360.0	2047.0	-826.0	-292.0	5214.0	-194.0	-8053.0	-716.0	-34.0	2428.0	654.0	1388.0	-1077.0	-557.0	501.0	-60.0	77.0	1912.0	6117.0	19959.0	1409.0	2304.0	6065.0	-98.0	402975.0	87.0	1326.0	347942.0	20867.0	-1801.0	-216.0	140.0	336.0	-2238.0	4388.0	105.0	6195.0	-197.0	-313.0	-651.0	87.0	NO
G313	-4588.0	-170.0	-865.0	-337.0	-176.0	-1997.0	-742.0	-1170.0	-665.0	-307.0	-365.0	-2071.0	371.0	-4868.0	-936.0	-803.0	1394.0	-765.0	8120.0	21112.0	-1111.0	2352.0	41.0	11055.0	-2756.0	-2779.0	-1071.0	440.0	-2680.0	-304.0	856.0	-20496.0	410.0	104.0	546.0	1131.0	-1636.0	-469.0	2625.0	330.0	-644631.0	-22228.0	-171.0	735.0	1173.0	-95.0	-1370.0	150.0	4151.0	-897.0	-805.0	-846.0	-579.0	-17629.0	882.0	1485.0	-3541.0	-133.0	296933.0	674.0	111.0	86966.0	-12100.0	910.0	178.0	185.0	-505.0	273.0	-56.0	-693.0	-3682.0	169.0	-140.0	74.0	-335.0	NO
G314	-296.0	1.0	-1305.0	33.0	-4.0	-3833.0	-1314.0	-993.0	-885.0	882.0	-172.0	-1617.0	-2340.0	-21945.0	-613.0	-4008.0	-604.0	12659.0	9277.0	89497.0	-43606.0	1007.0	-97.0	-25130.0	-213.0	143.0	421.0	42.0	1115.0	403.0	1818.0	8573.0	-653.0	2787.0	896.0	1741.0	-263.0	598.0	8467.0	-177.0	-20507.0	-681.0	1.0	2279.0	545.0	842.0	319.0	411.0	3459.0	1194.0	1290.0	-341.0	10892.0	-12797.0	2710.0	5702.0	-42544.0	-415.0	502824.0	6787.0	946.0	418161.0	-132173.0	-161.0	65.0	-34.0	-178.0	-234.0	12271.0	-3924.0	-24528.0	100.0	-77.0	-101.0	27.0	NO
G315	632.0	333.0	-21.0	-93.0	325.0	217.0	-152.0	-450.0	-477.0	359.0	-335.0	45.0	-1147.0	-2162.0	359.0	-584.0	872.0	-4569.0	2385.0	30937.0	349.0	3460.0	-2493.0	9813.0	1618.0	-3691.0	118.0	-142.0	2224.0	-656.0	3628.0	16617.0	-9.0	559.0	51.0	76.0	1324.0	9.0	5748.0	1348.0	60075.0	2236.0	-198.0	1050.0	1216.0	1028.0	-2616.0	560.0	1822.0	215.0	-293.0	-2222.0	3375.0	16017.0	1078.0	1255.0	-3903.0	-60.0	506103.0	4886.0	-378.0	328872.0	-13581.0	285.0	-109.0	916.0	-62.0	-534.0	3492.0	-35.0	1190.0	-143.0	224.0	-153.0	-88.0	AE
G317	-1569.0	1100.0	1112.0	-206.0	1104.0	10472.0	761.0	-1924.0	-619.0	420.0	-991.0	-43.0	-4517.0	5801.0	367.0	1118.0	686.0	-1431.0	-2860.0	39747.0	2225.0	808.0	-41.0	23289.0	-41.0	183.0	428.0	41.0	-533.0	-405.0	3785.0	-937.0	-205.0	205.0	-451.0	1544.0	-247.0	-260.0	4224.0	1199.0	-337256.0	-11296.0	-793.0	2964.0	2394.0	1081.0	435.0	-486.0	1136.0	550.0	-371.0	-664.0	5082.0	-16916.0	2648.0	1426.0	6862.0	267.0	558878.0	3505.0	-303.0	397734.0	22253.0	-226.0	-415.0	-2554.0	-160.0	-16.0	-490.0	1532.0	6907.0	-481.0	-244.0	155.0	-205.0	NO
G322	-113.0	-165.0	-942.0	-69.0	-165.0	-101.0	-481.0	79.0	97.0	-610.0	-207.0	1709.0	-1710.0	-725.0	-755.0	-847.0	-2532.0	-6008.0	1823.0	-16332.0	849.0	-445.0	-454.0	-5865.0	-2451.0	159.0	-331.0	-145.0	-3806.0	254.0	-1962.0	-3852.0	-1798.0	723.0	190.0	-649.0	-1548.0	-16.0	254.0	-1431.0	-2208.0	-184.0	-393.0	-2471.0	-2124.0	-625.0	-83.0	-141.0	-4197.0	-765.0	-558.0	-114.0	124.0	-9329.0	-1890.0	223.0	-1107.0	140.0	-647377.0	-2577.0	108.0	-31485.0	-3422.0	-330.0	-759.0	-236.0	-58.0	-1485.0	387.0	-97.0	1721.0	-997.0	207.0	764.0	-67.0	NO
G324	-378.0	-519.0	131.0	-303.0	-519.0	1149.0	595.0	-1889.0	1573.0	-555.0	-1289.0	2235.0	-9142.0	346.0	23.0	-1204.0	1882.0	239.0	1312.0	24929.0	-3863.0	-27.0	0.0	-30456.0	-196.0	-8.0	342.0	-64.0	2930.0	-346.0	1450.0	-35255.0	703.0	197.0	-47.0	397.0	365.0	13.0	-2702.0	1029.0	-39937.0	-1464.0	-290.0	985.0	2237.0	-260.0	-655.0	-43.0	1006.0	-402.0	-523.0	-719.0	-5349.0	-26083.0	-983.0	1032.0	2641.0	102.0	312347.0	2273.0	1510.0	-134285.0	7894.0	402.0	540.0	86.0	-26.0	209.0	-370.0	-1005.0	2355.0	777.0	148.0	634.0	-302.0	AE
G332	-440.0	-627.0	-597.0	-223.0	-627.0	615.0	-686.0	-225.0	-2525.0	-519.0	-155.0	219.0	-320.0	-160.0	-37.0	-634.0	-817.0	-6417.0	2733.0	-37875.0	511.0	207.0	-151.0	6639.0	3246.0	-1450.0	934.0	-69.0	-6672.0	-2003.0	-2142.0	-14480.0	-36.0	2660.0	318.0	2637.0	2461.0	-54.0	499.0	-781.0	-31003.0	-845.0	-589.0	244.0	765.0	-366.0	-847.0	-114.0	-5506.0	-2912.0	-522.0	-979.0	86.0	4321.0	-2566.0	-2776.0	400.0	-31.0	830833.0	268.0	-3794.0	-95068.0	-1535.0	-287.0	-263.0	175.0	-435.0	266.0	4576.0	-857.0	-5956.0	-150.0	1845.0	-458.0	-221.0	AE
G336	192.0	-155.0	-1344.0	-588.0	-150.0	-1629.0	355.0	-1172.0	1373.0	491.0	-341.0	-323.0	499.0	-641.0	-399.0	-312.0	-842.0	-1114.0	5040.0	27767.0	-739.0	668.0	0.0	7434.0	-616.0	-376.0	-50.0	31.0	3232.0	-697.0	4979.0	722.0	-454.0	-428.0	-83.0	-749.0	208.0	104.0	2799.0	413.0	20350.0	668.0	-799.0	-1185.0	117.0	689.0	-713.0	251.0	122.0	-760.0	674.0	1829.0	4614.0	-891.0	2396.0	1888.0	-5352.0	-366.0	479005.0	3044.0	2869.0	157575.0	-16653.0	1495.0	-642.0	-336.0	-855.0	-437.0	-361.0	-532.0	-3393.0	-744.0	98.0	-603.0	-585.0	AE
G337	-852.0	-17.0	5.0	-224.0	-17.0	-1156.0	-91.0	2508.0	41.0	965.0	144.0	687.0	-1636.0	3329.0	-1.0	98.0	777.0	2913.0	1733.0	24176.0	1001.0	4328.0	0.0	-20399.0	1498.0	1940.0	565.0	-418.0	-3093.0	-169.0	1387.0	5055.0	103.0	386.0	19.0	2012.0	855.0	26.0	3274.0	311.0	-154187.0	-4053.0	-255.0	1594.0	1432.0	1092.0	-1533.0	46.0	5381.0	645.0	-193.0	144.0	2721.0	2437.0	801.0	578.0	4198.0	-546.0	481770.0	1934.0	515.0	249449.0	10984.0	-107.0	214.0	-1012.0	312.0	-147.0	1527.0	451.0	588.0	328.0	-221.0	302.0	-221.0	NO
G347	135.0	-17.0	-827.0	127.0	-16.0	-1401.0	115.0	-4.0	2068.0	98.0	771.0	11.0	-5485.0	-6884.0	182.0	-1351.0	1538.0	1317.0	4636.0	28806.0	-10310.0	-2514.0	-276.0	-6322.0	-488.0	454.0	-88.0	-88.0	-221.0	643.0	1626.0	-5072.0	359.0	427.0	-55.0	-1392.0	-666.0	-52.0	2282.0	379.0	8864.0	119.0	345.0	6426.0	-1050.0	383.0	-919.0	2031.0	12880.0	-553.0	587.0	288.0	2777.0	-3551.0	778.0	922.0	-11359.0	285.0	282976.0	2805.0	14.0	49886.0	-39771.0	-462.0	-797.0	113.0	144.0	63.0	1030.0	-3430.0	-3280.0	-129.0	-189.0	-200.0	126.0	NO
