	FRUCTOSE-MEOX5TMS_1-1-M/z366	GALACTURONICACID-MEOX5TMS_2-1-M/z334	FUMARICACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	GLUCURONICACID-MEOX5TMS_2-1-M/z334	DODECANOIC-ACID-TMS-1-M/z257	CYSTINE-N-N-O-O-TMS-1-M/z297	GAMMA-TOCOPHEROL-TMS-1	GLUTAMINE-N-N-O-TMS_1-1-M/z347	Myo_Inositol_phosphate_Ri2399Mz299	HYPOXANTHINE-2TMS-1-M/z282	INOSITOL-scyllo-6TMS-1-M/z432	INOSINE-4TMS-1-M/z217	HEXADECANOICACID-TMS-1-M/z171	GLYCERICACID-3TMS-1-M/z307	HEPTADECANOICACID-TMS-1-M/z132	GLYCINE-N-N-O-TMS-1-M/z246	CYSTEINE-N-O-S-TMS-1-M/z218	CREATININE-3TMS-1-M/z329	CITRULLINE-3TMS_1(Ornthine)-1	3-HYDROXYBUTYRICACID-2TMS-1-M/z204	ACONITICACID-trans-3TMS-1	ACETAMINOPHEN-2TMS-1-M/z297	2-AMINOBUTYRICACID-O-N-TMS-1-M/z130	CITRICACID-4TMS-1-M/z465	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE-N-N-O-TMS-1-M/z304	BENZOICACID-TMS-1	ISOCITRICACID-4TMS-1-M/z466	Kynuerine_Mz192-Time:373.01to374.92Mass:192to192	ISOLEUCINE-N-O-TMS-1-M/z233	SERINE-N-O-O-TMS-1-M/z307	SORBOSE-MEOX5TMS_2-1	SORBOSE-MEOX5TMS_1-1-M/z364	SALICYLICACID-2TMS-1-M/z268	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	PYROGLUTAMICACID-N-O-TMS-1-M/z159	PHENYLALANINE-N-O-TMS-1-M/z268	SUCROSE-8TMS-1-M/z362	TAURINE-3TMS-1-M/z328	THREONINE-N-O-O-TMS-1-M/z293	TRYPTOPHAN-N-N-O-TMS-1-M/z303	Benzenebutanoic_acid_Ri2182Mz192	Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URICACID-N-O-O-O-TMS-1-M/z72	TYROSINE-N-O-O-TMS-1-M/z382	ORNITHINE-N-N-O-TMS_1-1-M/z144	OCTADECENOICACID--9-(Z)-TMS-1-M/z222	LACTOSE-MEOX8TMS_1-1-M/z204	LYSINE-N-N-N-O-TMS_2-1	LYSINE-N-N-O-TMS_3-1	LYSINE-N-N-O-TMS_1-1-M/z102	LEUCINE-N-O-TMS-1-M/z158	OCTADECENOICACID-9-(E)-TMS-1-M/z339	LAMINARIBIOSE-MEOX8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LYXOSE-MEOX4TMS_1-1-M/z104	MALICACID-3TMS-1-M/z245	MALTOSE-MEOX8TMS_1-1-M/z361	METHYLHISTIDINE-2TMS-1-M/z168	OCTADECANOICACID-TMS-1-M/z313	OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159	ISOERYTHRITOL-4TMS-1-M/z277	Class
G114	296.0	399.0	1246.0	-532.0	383.0	659.0	433.0	6010.0	7552.0	485.0	3790.0	-302.0	63446.0	13701.0	850.0	1344.0	-2568.0	-420.0	-2316.0	25444.0	5805.0	617.0	-164.0	65355.0	7135.0	2231.0	86.0	20.0	4369.0	1378.0	1541.0	1797.0	2797.0	443.0	1.0	-4548.0	5584.0	-294.0	1687.0	407.0	20540.0	656.0	-441.0	3949.0	763.0	557.0	188.0	134.0	-1481.0	-42.0	485.0	309.0	7393.0	-4683.0	695.0	947.0	25930.0	8.0	-111756.0	4198.0	632.0	373683.0	87397.0	2153.0	116.0	-468.0	2933.0	2522.0	4301.0	1854.0	22985.0	102.0	199.0	194.0	-528.0	NO
G117	-4140.0	-1098.0	236.0	-1.0	-1097.0	164.0	-3.0	-487.0	3895.0	89.0	702.0	1617.0	5970.0	-1014.0	-827.0	-552.0	1287.0	-6949.0	-4582.0	19908.0	6884.0	816.0	-56.0	-29242.0	-5455.0	207.0	-490.0	-189.0	-3857.0	-1095.0	133.0	-19456.0	-843.0	49.0	347.0	395.0	-3567.0	45.0	-237.0	323.0	-621271.0	-21434.0	-33.0	484.0	-217.0	-425.0	-271.0	70.0	-842.0	-364.0	829.0	-574.0	-2837.0	-16314.0	192.0	844.0	-2338.0	-193.0	405034.0	-3783.0	-5.0	-77243.0	-7928.0	-1557.0	360.0	-257.0	-1195.0	-1326.0	1040.0	-1025.0	-2190.0	200.0	-27.0	313.0	-3.0	NO
G119	199.0	-222.0	59.0	-262.0	-214.0	231.0	-859.0	-534.0	1018.0	1048.0	-441.0	604.0	-1834.0	2549.0	-625.0	223.0	-1369.0	-2597.0	40.0	-11166.0	-61.0	1653.0	206.0	-24173.0	-1517.0	1453.0	271.0	-273.0	-2013.0	55.0	-388.0	1491.0	-158.0	-74.0	-279.0	-706.0	-143.0	-291.0	-564.0	-813.0	125410.0	3584.0	619.0	-525.0	-1242.0	-38.0	-90.0	-18.0	-2615.0	-1037.0	-405.0	-1635.0	-2076.0	-52195.0	-1734.0	-562.0	305.0	-468.0	-143241.0	-2548.0	-224.0	-99443.0	763.0	-226.0	-111.0	34.0	49.0	-181.0	37.0	268.0	2901.0	-286.0	5.0	-437.0	-263.0	NO
G120	-4916.0	-1141.0	593.0	263.0	-1152.0	-986.0	273.0	2379.0	1411.0	-949.0	341.0	324.0	1812.0	8870.0	189.0	854.0	-371.0	5525.0	1465.0	38820.0	5540.0	1023.0	-452.0	40929.0	464.0	-3015.0	-2396.0	-154.0	774.0	602.0	1882.0	-23563.0	406.0	-362.0	-514.0	-121.0	419.0	800.0	4003.0	1111.0	-590674.0	-21425.0	-117.0	2067.0	38.0	369.0	276.0	0.0	1820.0	567.0	2371.0	229.0	2381.0	498.0	1559.0	1020.0	18438.0	390.0	259962.0	136.0	180.0	256129.0	65649.0	328.0	411.0	-634.0	634.0	954.0	663.0	-9.0	6763.0	730.0	-34.0	32.0	261.0	NO
G126	-483.0	-1420.0	-626.0	-515.0	-1398.0	-1329.0	1230.0	-2763.0	1931.0	-875.0	469.0	1955.0	2141.0	-6440.0	-207.0	-462.0	1986.0	8008.0	-6586.0	16063.0	-4080.0	-2254.0	349.0	-6781.0	-375.0	-5401.0	-676.0	95.0	2341.0	-3180.0	1434.0	-29667.0	818.0	-671.0	101.0	-1413.0	-196.0	328.0	-1333.0	1123.0	1640.0	-369.0	-133.0	2141.0	1634.0	-212.0	-70.0	4.0	-1042.0	-402.0	589.0	-2390.0	-2011.0	-42129.0	1036.0	2838.0	-3713.0	31.0	-309997.0	-448.0	2099.0	-28286.0	-11838.0	591.0	-230.0	39.0	-753.0	1015.0	-492.0	-1026.0	-269.0	13.0	260.0	985.0	-518.0	NO
G130	423.0	243.0	-226.0	-68.0	226.0	-79.0	-767.0	781.0	-297.0	-1307.0	415.0	-1003.0	-928.0	-2164.0	154.0	788.0	909.0	-8188.0	1466.0	15906.0	-422.0	-239.0	99.0	-8944.0	-1000.0	-373.0	-413.0	-248.0	71.0	-641.0	559.0	-15435.0	-604.0	168.0	-2.0	-364.0	-827.0	265.0	142.0	258.0	81425.0	2447.0	456.0	1736.0	-147.0	-353.0	-536.0	122.0	2230.0	-289.0	252.0	-1311.0	511.0	-8604.0	305.0	1130.0	-4266.0	959.0	156142.0	2179.0	874.0	82676.0	-15939.0	-786.0	-197.0	-242.0	581.0	-299.0	-1118.0	-1041.0	-4626.0	-324.0	-87.0	-317.0	-62.0	AE
G303	414.0	317.0	-16.0	107.0	310.0	-548.0	121.0	-1393.0	105.0	-248.0	-691.0	-968.0	-1898.0	3005.0	-436.0	406.0	-529.0	1357.0	1132.0	7140.0	946.0	317.0	-692.0	6578.0	1521.0	122.0	1166.0	-167.0	-4564.0	-359.0	-137.0	4950.0	1171.0	-358.0	0.0	323.0	1013.0	35.0	1886.0	-232.0	69986.0	1933.0	249.0	1592.0	-511.0	304.0	-637.0	-158.0	3466.0	50.0	-149.0	-820.0	4418.0	15767.0	-1498.0	247.0	4895.0	32.0	223887.0	453.0	-2022.0	121552.0	18901.0	1247.0	285.0	-45.0	685.0	1467.0	-156.0	22.0	6840.0	428.0	-229.0	-7.0	108.0	AE
G304	477.0	702.0	384.0	248.0	705.0	-2256.0	27.0	-1343.0	-1001.0	-565.0	-802.0	2800.0	-3720.0	-5415.0	192.0	-1396.0	1321.0	-3484.0	-3899.0	-6389.0	-40.0	97.0	6770.0	10172.0	356.0	-375.0	-143.0	-667.0	3939.0	434.0	31.0	-10622.0	-1213.0	22.0	0.0	438.0	-427.0	521.0	191.0	152.0	97169.0	2888.0	523.0	-1105.0	331.0	-393.0	208.0	0.0	-3438.0	-450.0	1250.0	-1378.0	-211.0	-6353.0	-220.0	-228.0	-1555.0	-320.0	-31263.0	1764.0	-1208.0	45529.0	-1638.0	-1087.0	72.0	4341.0	-730.0	-1222.0	977.0	-2255.0	-3325.0	23.0	257.0	510.0	249.0	NO
G305	110.0	683.0	9.0	154.0	680.0	2371.0	-438.0	4916.0	-1450.0	-310.0	753.0	1017.0	3125.0	9770.0	212.0	1123.0	294.0	4915.0	-508.0	-38820.0	3751.0	1030.0	-246.0	-20268.0	3581.0	177.0	464.0	113.0	2249.0	-497.0	-231.0	-25542.0	-698.0	-46.0	217.0	4303.0	1573.0	371.0	-1964.0	215.0	3842.0	463.0	-287.0	-515.0	1658.0	76.0	-411.0	0.0	-2362.0	195.0	619.0	1198.0	-4466.0	1606.0	-1698.0	-1993.0	10871.0	-41.0	-322153.0	-1652.0	-2606.0	-94574.0	41241.0	-532.0	-202.0	-10.0	351.0	-290.0	-2309.0	1585.0	5245.0	-175.0	474.0	600.0	155.0	NO
G306	-31.0	-58.0	-1434.0	190.0	-59.0	-1451.0	278.0	-1637.0	248.0	-744.0	139.0	2590.0	-500.0	-5426.0	749.0	-571.0	-1608.0	-5158.0	4631.0	-31552.0	-4347.0	1358.0	156.0	-41633.0	-3567.0	-788.0	-465.0	-127.0	-3407.0	167.0	-1343.0	-1639.0	831.0	319.0	-33.0	655.0	-2000.0	251.0	-770.0	-1292.0	736.0	84.0	124.0	-1235.0	134.0	-371.0	1597.0	-32.0	-9680.0	-120.0	1006.0	-111.0	-888.0	-6397.0	558.0	-883.0	-10145.0	794.0	-41940.0	-516.0	-4.0	20323.0	-38870.0	878.0	-209.0	-532.0	-225.0	586.0	-327.0	-687.0	-6883.0	-249.0	-122.0	628.0	187.0	AE
