	TOR3A	GAS6	EMR4P	PLCL1	CDKN1A	CD300C	ZNF714	NSD1	NAPRT1	PDS5B	DYNC2H1	ARMC2	STAB1	KLHDC8B	RBPJ	RPL23AP64	XKRX	KCNQ5	PPARGC1B	CEP85L	IFITM3	GOLGA2P5	ZNF585A	IFITM1	GTF3C3	SCO2	TCN2	PSMB5	RNF19A	DNASE2	ZNF597	P2RY2	BCRP3	LAMTOR2	METRNL	MAP3K6	BTLA	PAQR4	ANKS6	DNASE1L1	ACP2	RIC3	C9orf89	PCBD1	Class
G119	0.970082567	2.478660799	-0.161495071	-1.497228351	1.918334487	1.212103012	-0.871508064	-0.122616289	0.278490185	-0.159308721	-3.113897426	-0.963736396	1.370265071	1.508574783	-0.362996141	-0.599781551	-1.586113763	-1.534045415	0.59536491	-0.436239925	4.25668891	-1.124531721	0.427300235	3.903009882	-0.250899909	3.410240873	3.245624579	0.268400342	0.159321939	0.575066508	0.309499813	1.07035177	-1.159194801	0.260528274	-0.118461936	1.201509979	-0.832436275	-0.135241078	-2.190317832	0.077797003	0.763279349	0.156277378	0.553474336	1.078127714	P
G120	0.320008547	0.135606528	0.011597462	0.629799338	0.070487821	-0.275178515	0.401951754	0.773866059	-0.272020555	0.668495447	-0.707752205	-0.292719867	0.094800047	0.17366496	0.231170583	-0.351312817	0.062201823	-0.626794377	-1.420701747	0.044345557	2.98384341	-0.560677288	-0.517805372	2.941794652	0.00545403	2.060511279	0.723765802	-0.061237495	0.172773701	-0.41213592	-0.967314981	-0.106303002	-0.486002192	-0.212882264	-0.425863304	0.113399353	-0.224720545	-0.853956403	-0.781469707	-0.486276122	0.362046384	-0.032065916	-0.107936543	-0.443378529	w
G126	0.886110243	2.553760709	-2.344642979	-0.526850369	2.529902922	1.670762781	-0.836930178	-0.246195036	0.734292981	-0.580383753	-2.141026188	-0.564223354	2.310030813	1.283958346	0.243462414	-0.505164868	-1.862838659	-3.563528686	0.037290551	-1.026321801	4.032121228	-0.937457136	-0.186731229	3.932849373	-0.597352107	2.283277469	4.154983	0.533092162	0.713002876	0.298305905	0.798751165	1.709245619	-0.98828698	0.461446617	0.943749022	1.749652341	-1.971494789	0.089692497	-1.727565609	0.429974843	1.175860485	-0.618547185	0.770341096	1.376479221	P
G128	1.237374969	1.694687162	-2.467356343	-1.872876209	1.885905823	1.127202903	-0.587531013	-1.236800605	0.546283078	-0.801325353	-2.062538876	-0.384197692	0.798069764	0.84245208	0.074157846	-0.7756542	-1.131473193	-0.462433022	1.035013082	-0.892098193	3.006027978	-0.728787043	0.464666688	3.036868838	-0.752634781	2.950609532	1.882636122	0.276253569	0.535895743	0.856630423	0.068660524	1.662107136	-0.573081603	1.242594872	-0.34750772	1.240520553	-1.201091517	0.999299074	-0.723045042	0.393991985	0.404804582	-1.031119506	0.137093925	0.664873438	P
G130	0.698473242	1.001143878	-0.229650385	0.393346091	1.221870931	0.521532337	0.035811367	0.199881745	0.030042028	-0.113948525	-1.236248692	-0.362743474	0.672047755	0.501791155	0.183778564	-0.01193337	-0.95255072	-1.173738857	-1.094307085	-0.488010069	2.569009153	-0.110790563	0.091356752	2.509357886	0.006523967	1.831150683	1.516030913	-0.155312189	0.401347823	0.404501503	-1.246220535	0.349227792	-1.156128318	0.158653195	0.030941777	0.923930742	-0.445856116	-1.400229977	-0.461555426	-0.243015545	0.165558753	-0.040922782	0.09235921	0.196506053	w
G302	0.690732987	1.131102759	-0.705122266	-0.758457664	1.39931567	1.150993911	-0.561389335	-0.535313853	-0.075781449	0.046244571	-1.771038607	-0.049802553	0.985820207	1.307310256	0.275201873	-0.438074212	0.109286009	-1.067743777	0.052912861	-0.695885058	3.115984196	-0.697986603	-0.330385667	3.058726299	0.18147377	3.079431925	2.045120714	0.445473123	0.234459065	-0.15599251	-0.248546088	1.320597494	-0.329711422	0.233836934	-0.436234381	0.085580458	-0.014060874	1.300193411	-0.99193973	-0.262577314	0.529381443	0.064850374	-0.234929735	0.918413087	w
G304	0.96036364	0.781890511	-0.211777759	-0.665040971	1.371828067	0.808948031	-0.188867863	-0.2143087	-0.1399704	-0.058110012	-2.163681054	-0.450982114	0.419709345	0.69002675	0.385388021	-1.054269904	-0.135937965	-0.843465868	0.154737287	-0.75462459	3.868773331	-0.55907364	0.032609125	3.879577055	0.366427558	2.299215123	2.040196325	0.354964103	0.048476849	0.175053927	-0.667019126	0.974785052	-0.648224854	-0.114300445	0.000675914	-0.451819863	-0.703194672	-0.024545841	-1.135319722	0.176100021	0.437293859	0.327124575	0.385150514	-0.828869648	w
G305	0.664107466	0.104280115	0.300139174	-0.897420711	0.753299371	0.193349688	0.309100989	-0.216045898	0.330192431	-0.301418675	-0.336093209	0.787634361	0.259103532	-0.157993405	0.194519938	-0.392508328	-0.497908939	0.05965954	-0.073121038	-0.026207538	1.336469031	0.192193256	0.083476977	1.156471557	-0.302426328	1.357469994	1.202993526	0.194540627	-0.621616295	0.0845926	-0.614447565	-0.319129362	-0.474323601	-0.2532916	0.042842995	0.413768663	-0.032653112	0.285693272	0.433471632	-0.07798136	0.362275621	0.025640137	0.51087633	0.192193256	w
G306	0.175041492	-0.714740203	-0.521406136	0.21897299	0.321639513	0.104646398	0.469176751	-0.127095794	-0.078879364	0.019120459	-0.18290092	-0.853071078	0.454183856	-0.081283944	-0.183649257	-0.119662833	0.081156219	-0.828110191	0.025707366	-0.231015435	2.793597637	-0.235183095	-0.37183009	2.611681646	-0.006947232	1.686473787	1.08619185	-0.349042696	-1.158165413	-0.283884392	-1.222899294	-0.672768232	-0.298263402	0.311300334	-0.879167423	0.043980681	0.19418438	-0.606376949	-0.510893399	-0.415472449	0.253382741	0.419533172	-0.047842867	0.476983621	w
G311	0.774744476	1.468063751	-0.90934851	-1.308297888	1.632407282	0.962567841	-0.418239251	-0.638214731	0.586125153	-0.148503078	-0.657584503	-0.397437477	1.088769376	1.475601851	-0.004161151	-0.86410268	-1.65816747	-1.529261044	0.582041327	-0.985894932	2.833052241	-1.482478166	0.39825339	2.697555164	-0.362578152	2.798055334	3.597878776	-0.04855044	0.3469465	0.336239628	0.030075878	0.559677351	-0.885864769	0.230412733	0.073445541	0.703272724	0.191159236	0.821140449	-1.548557906	0.768618814	1.006564577	-1.610528536	0.216905417	0.662910934	P
