	NAT8B	LOC100128398	KRT18	CYBASC3	SENP5	CLEC11A	C10orf35	BCKDHA	LOC100507582	GIT1	MYO5A	TRPM2	OR3A3	SIK1	POP7	PRSS23	ILDR2	HEATR3	BTAF1	LEMD2	PIGM	BTD	MAN2C1	SGIP1	Class
G303	-0.364744469	1.989715631	0.63795537	-0.842145606	0.695999392	0.49866351	-0.104811655	-1.214888587	-1.103593366	-0.188731878	-0.124440279	1.365515912	0.195449673	0.133560757	-0.644188306	-0.931931097	-0.76382226	0.631388482	0.385480888	-0.660373512	-0.829779115	0.329991208	-0.465754165	-0.896781699	AE
G304	0.379955069	1.93189356	-0.771697136	-0.015739184	0.036075593	0.006766462	0.379237072	0.365165309	-0.607507937	1.092067745	-0.052007323	0.682354963	0.0	0.804402186	0.457036304	-0.093823787	0.446846968	-0.232146136	-0.402946001	0.296542855	0.795125958	-0.407215593	0.433736555	0.427774652	NO
G305	0.585909379	-0.937037466	-0.419389655	0.227534775	-0.584976477	-0.057966643	0.299831767	0.063661465	0.138289886	0.720329378	0.095206287	-0.037465401	0.077782864	0.623421151	-0.176873548	0.710077372	0.049784433	-0.388997959	0.007601375	0.005599781	0.01445387	-0.335127377	0.33717347	0.739543945	NO
G306	-0.226030326	1.04681519	0.913563269	-0.569857515	0.26436341	-0.062370094	-0.887309117	-0.228473179	-0.323586642	0.718537293	-0.844474998	-0.812930088	-1.196957895	-0.152852692	-0.305119014	1.957350458	1.862959004	0.294040581	0.042122226	-0.244410412	-0.769781779	0.416997689	-1.125666567	1.146979977	AE
G311	1.77447187	0.156781881	-0.210929881	-0.084293367	-0.217850697	0.082244222	-0.029094132	-0.123470531	0.082244222	0.458848053	0.051318238	0.63312054	0.0	1.947508237	0.303145002	-0.738430534	0.0	-0.489957738	-0.415468108	0.31934799	-0.244085525	-0.390811656	0.600910293	1.21775326	NO
G313	-0.148066074	-0.160732033	0.092658221	-0.881731223	0.446221139	-0.639153227	-0.977180533	-1.197072655	0.370609669	0.670864468	-0.052068173	0.137810921	2.178873897	-0.207538761	-0.497388157	-2.165117843	0.351590505	0.368000856	0.17254713	-0.338981559	-0.51279979	0.231183964	-0.557184426	-0.904916011	NO
G314	3.523066333	-0.146095208	-0.673303636	-0.360409145	-0.377432196	-1.315797591	-0.866342682	-0.456414165	-0.609507784	0.157661114	-0.333177388	0.353003439	-0.634183083	0.654573115	-1.045133341	-2.097438035	-0.616673394	0.61083554	-0.19827059	0.26529396	-0.333289777	-0.760806878	-0.414485218	-0.484228782	NO
G315	-0.67768331	-0.719951666	0.896679087	-0.338105558	0.656117577	0.268628381	0.207744386	-0.126510951	-0.623599591	-0.004325973	-0.138352511	1.003149821	-2.663361539	-0.516900711	0.042369497	0.016318856	-0.143868348	1.290619784	0.097254339	0.101568312	0.021915176	0.178054497	0.327999874	-1.566159269	AE
G317	3.540586438	-0.041051186	-0.02371064	0.586268337	-0.486517176	-0.220303431	1.920249398	0.347239115	0.947325734	0.048593943	-0.437355184	-0.266370826	0.543437623	-0.506786172	0.263769101	-0.739801455	0.067507573	0.579490834	-0.226670095	0.044543392	-0.202760425	-0.146436299	-0.181447523	-0.159492984	NO
G322	1.901201776	0.615371656	0.32365462	0.534902516	-0.277316236	-0.228995536	1.237579158	0.571857455	0.73998268	-0.276950791	-0.310185564	0.338909303	2.63934498	0.37643359	0.322614479	-0.609506087	-1.30749809	-0.378191227	-0.029417435	0.158874322	0.749118514	-0.318965523	0.516149651	-0.499732212	NO
G324	-0.421138044	0.620513575	0.620513575	-0.740677125	0.084857815	2.298283394	-1.010986733	-1.290929348	-1.097797139	-0.164305678	0.549916118	0.488756747	-1.273979116	-0.445271734	-1.416237955	-1.566891157	-0.773269034	0.136344204	-0.284471854	-0.140473145	-0.602107947	-0.191985585	-0.303405146	-0.558815001	AE
G332	0.007562522	0.695907176	1.110815407	-0.999579439	0.491232184	-0.144167872	-0.0188737	-1.501593395	-1.032247667	-0.905470528	0.216137978	1.330311646	-1.238857617	-0.561512524	-0.593673295	-2.030061213	-2.164794999	0.782567516	0.619935052	-0.621151626	-1.095778533	0.367786797	-1.019214768	-1.830128394	AE
G336	-0.559092988	-0.200222035	0.850702096	-0.509415828	0.091449904	0.683945485	-0.725212913	-0.17747572	-1.350030587	0.399198205	0.522638919	1.005882002	-0.286665713	-0.033862397	-0.05899652	0.119591212	-0.446430807	0.284588567	0.265791222	0.035563807	0.042248523	0.100227833	0.031062338	-1.457231117	AE
G347	-0.563501482	0.462399298	-0.865837494	-0.172212482	0.315901057	2.142297613	0.019708524	-0.039673712	-0.104444938	0.18436742	-0.344560029	0.081978868	1.178310443	-0.490792446	-0.698830065	0.391814049	-0.922581412	0.515889851	-0.102200363	-0.087236212	0.116134094	-0.359133158	-0.649137675	-0.963499876	NO
G358	0.314608153	1.055348684	0.72961583	-0.846843347	0.542712075	0.603541889	-0.11601945	-0.89498996	-0.421486679	-0.864547297	0.546822642	0.374645444	-0.053546961	-0.85490452	-0.897388276	-1.269276345	-2.630423445	-0.354393479	0.345253377	0.152911538	-0.423296979	0.114515209	-0.363471368	0.033106692	AE
