@relation C:\Users\lucas\Documents\Github\CSBL\Ebola\Feature-index\Data\Filtered_Input\Xv0_Metabolomic_normalized_D3vD0

@attribute Probes {'G101','G102','G103','G104','G105','G108','G110','G111','G112','G117','G119','G120','G126','G130','G302','G304','G305','G306','G311','G313','G314','G315','G322','G324','G332','G337','G347'}
@attribute 1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371 numeric
@attribute 1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301 numeric
@attribute 2-AMINOBUTYRICACID-O-N-TMS-1-M/z130 numeric
@attribute 3-HYDROXYBUTYRICACID-2TMS-1-M/z204 numeric
@attribute ACETAMINOPHEN-2TMS-1-M/z297 numeric
@attribute ACONITICACID-trans-3TMS-1 numeric
@attribute ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230 numeric
@attribute ALANINE-N-O-TMS-1-M/z192 numeric
@attribute ALPHA-TOCOPHEROL-TMS-1-M/z504 numeric
@attribute ASPARAGINE-N-N-O-TMS-1-M/z231 numeric
@attribute BENZOICACID-TMS-1 numeric
@attribute BETA-ALANINE-N-N-O-TMS-1-M/z304 numeric
@attribute BETA-ALANINE-N-O-TMS-1-M/z218 numeric
@attribute CELLOBIOSE-MEOX8TMS_2-1-M/z361 numeric
@attribute CHOLESTEROL-TMS-1-M/z247 numeric
@attribute CITRICACID-4TMS-1-M/z465 numeric
@attribute CITRULLINE-3TMS_1(Ornthine)-1 numeric
@attribute CREATININE-3TMS-1-M/z329 numeric
@attribute CYSTEINE-N-O-S-TMS-1-M/z218 numeric
@attribute CYSTINE-N-N-O-O-TMS-1-M/z297 numeric
@attribute DODECANOIC-ACID-TMS-1-M/z257 numeric
@attribute ERYTHRITOL-4TMS-1-M/z277 numeric
@attribute FRUCTOSE-MEOX5TMS_1-1-M/z366 numeric
@attribute FUMARICACID-2TMS-1-M/z246 numeric
@attribute GALACTURONICACID-MEOX5TMS_2-1-M/z334 numeric
@attribute GAMMA-TOCOPHEROL-TMS-1 numeric
@attribute GLUCURONICACID-MEOX5TMS_2-1-M/z334 numeric
@attribute GLUTAMINE-N-N-O-TMS_1-1-M/z347 numeric
@attribute GLYCERICACID-3TMS-1-M/z307 numeric
@attribute GLYCINE-N-N-O-TMS-1-M/z246 numeric
@attribute HEPTADECANOICACID-TMS-1-M/z132 numeric
@attribute HEXADECANOICACID-TMS-1-M/z171 numeric
@attribute HYPOXANTHINE-2TMS-1-M/z282 numeric
@attribute INOSINE-4TMS-1-M/z217 numeric
@attribute INOSITOL-scyllo-6TMS-1-M/z432 numeric
@attribute ISOCITRICACID-4TMS-1-M/z466 numeric
@attribute ISOERYTHRITOL-4TMS-1-M/z277 numeric
@attribute ISOLEUCINE-N-O-TMS-1-M/z233 numeric
@attribute LACTOSE-MEOX8TMS_1-1-M/z204 numeric
@attribute LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361 numeric
@attribute LAMINARIBIOSE-MEOX8TMS_1-1-M/z217 numeric
@attribute LEUCINE-N-O-TMS-1-M/z158 numeric
@attribute LYSINE-N-N-N-O-TMS_2-1 numeric
@attribute LYSINE-N-N-O-TMS_1-1-M/z102 numeric
@attribute LYSINE-N-N-O-TMS_3-1 numeric
@attribute LYXOSE-MEOX4TMS_1-1-M/z104 numeric
@attribute MALICACID-3TMS-1-M/z245 numeric
@attribute MALTOSE-MEOX8TMS_1-1-M/z361 numeric
@attribute METHYLHISTIDINE-2TMS-1-M/z168 numeric
@attribute N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159 numeric
@attribute NAPROXEN-TMS-1-M/z303 numeric
@attribute NIGEROSE-MEOX-8TMS_2-1-M/z361 numeric
@attribute OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337 numeric
@attribute OCTADECANOICACID-TMS-1-M/z313 numeric
@attribute OCTADECENOICACID-9-(E)-TMS-1-M/z339 numeric
@attribute OCTADECENOICACID--9-(Z)-TMS-1-M/z222 numeric
@attribute ORNITHINE-N-N-N-O-TMS_2-1-M/z420 numeric
@attribute ORNITHINE-N-N-O-TMS_1-1-M/z144 numeric
@attribute PHENYLALANINE-N-O-TMS-1-M/z268 numeric
@attribute PYROGLUTAMICACID-N-O-TMS-1-M/z159 numeric
@attribute SALICYLICACID-2TMS-1-M/z268 numeric
@attribute SERINE-N-O-O-TMS-1-M/z307 numeric
@attribute SORBOSE-MEOX5TMS_1-1-M/z364 numeric
@attribute SORBOSE-MEOX5TMS_2-1 numeric
@attribute SUCROSE-8TMS-1-M/z362 numeric
@attribute TAURINE-3TMS-1-M/z328 numeric
@attribute THREONINE-N-O-O-TMS-1-M/z293 numeric
@attribute TRYPTOPHAN-N-N-O-TMS-1-M/z303 numeric
@attribute TYROSINE-N-O-O-TMS-1-M/z382 numeric
@attribute URICACID-N-O-O-O-TMS-1-M/z72 numeric
@attribute VALINE-N-O-TMS-1-M/z246 numeric
@attribute Tryptophan_Ri2161Mz202 numeric
@attribute Benzenebutanoic_acid_Ri2182Mz192 numeric
@attribute Myo_Inositol_phosphate_Ri2399Mz299 numeric
@attribute Kynuerine_Mz192-Time:373.01to374.92Mass:192to192 numeric
@attribute Class {'Persistent','Waned'}
@data
'G119',845.0,-1631.0,-6557.0,2088.0,-196.0,1576.0,-251.0,-6424.0,-350.0,-1813.0,-282.0,116.0,143.0,-6.0,-1993.0,440.0,1397.0,3654.0,-680.0,-1326.0,1290.0,35.0,208.0,-251.0,-504.0,-893.0,-497.0,3070.0,-329.0,-3305.0,1075.0,6593.0,-33.0,-742.0,-16.0,76.0,38.0,873.0,-477.0,-85.0,-187.0,-11925.0,32209.0,-362.0,-1866.0,746.0,898.0,-24.0,-348.0,-391.0,-63.0,-271.0,2659.0,-16.0,25235.0,7450.0,-1030.0,87.0,1140.0,-1297.0,94.0,-172.0,1873.0,86185.0,1031.0,-346.0,-4142.0,-912.0,-852.0,-32117.0,-1366.0,-1826.0,627.0,495.0,2.0,'Persistent'
'G120',-2813.0,-2348.0,2652.0,2959.0,-391.0,-678.0,24.0,-756.0,799.0,60.0,118.0,-240.0,-162.0,-550.0,-16106.0,-2239.0,13842.0,-842.0,50.0,-352.0,-12.0,-116.0,-5807.0,1131.0,-1057.0,692.0,-1064.0,1796.0,461.0,-1789.0,545.0,3559.0,369.0,1175.0,-481.0,-972.0,-115.0,792.0,190.0,480.0,-154.0,68219.0,-8767.0,471.0,-1695.0,-811.0,164.0,-765.0,340.0,139.0,-275.0,33.0,1918.0,580.0,25246.0,6759.0,361.0,171.0,840.0,-232.0,-276.0,95.0,-24733.0,-714667.0,-687.0,0.0,-2793.0,361.0,1251.0,8115.0,670.0,-994.0,2021.0,-963.0,997.0,'Waned'
'G126',-1671.0,-6832.0,15991.0,-2093.0,309.0,998.0,258.0,-306.0,-1688.0,374.0,-1131.0,436.0,208.0,-521.0,-20190.0,-2231.0,15352.0,-4928.0,7065.0,-102.0,-2590.0,-27.0,-159.0,-158.0,-839.0,-4484.0,-825.0,-347.0,-213.0,425.0,-132.0,-6980.0,-611.0,2077.0,413.0,-1171.0,-30.0,-1913.0,248.0,208.0,-842.0,-137826.0,-225064.0,-2463.0,553.0,-112.0,232.0,-467.0,-805.0,754.0,-73.0,280.0,-4556.0,-377.0,-19529.0,-5265.0,-121.0,156.0,143.0,722.0,321.0,858.0,-248.0,-3171.0,1052.0,-35.0,-1948.0,-589.0,123.0,-28483.0,-3952.0,-1989.0,1775.0,-1926.0,1227.0,'Persistent'
'G130',-626.0,-2256.0,-28248.0,6536.0,0.0,-1471.0,-169.0,-3610.0,-728.0,-68.0,-1434.0,-92.0,-278.0,298.0,-18869.0,-2111.0,-45832.0,-2919.0,-9334.0,-728.0,38.0,45.0,547.0,-95.0,-328.0,3022.0,-326.0,10085.0,366.0,-515.0,211.0,-1912.0,-370.0,-2556.0,-1985.0,-1461.0,51.0,-1939.0,-132.0,-89.0,413.0,-131860.0,77507.0,-3224.0,-933.0,-153.0,205.0,526.0,-1076.0,100.0,-293.0,-428.0,-4586.0,-375.0,-17755.0,-5424.0,-788.0,-1064.0,-597.0,-5466.0,-263.0,-358.0,2393.0,81940.0,-612.0,-114.0,-4496.0,-971.0,-1268.0,7476.0,-5695.0,-1207.0,487.0,-1004.0,966.0,'Waned'
'G302',211.0,-3198.0,6299.0,1026.0,49.0,-1122.0,132.0,-8668.0,289.0,-4681.0,1382.0,464.0,-111.0,-2989.0,-7753.0,-5762.0,-94253.0,-1682.0,-11545.0,-806.0,-26.0,-82.0,-688.0,50.0,-1200.0,-683.0,-1205.0,-3404.0,157.0,-1899.0,476.0,529.0,-2380.0,-3435.0,-3154.0,-3297.0,-84.0,-3148.0,-794.0,-356.0,-3097.0,-322863.0,-182615.0,-6722.0,-4445.0,176.0,-1440.0,-3003.0,-162.0,-833.0,-186.0,-713.0,-2625.0,-722.0,2719.0,2281.0,-3900.0,-5073.0,-749.0,-371.0,8.0,-739.0,-4971.0,-179468.0,-922.0,-305.0,-4801.0,-1843.0,-3370.0,-11864.0,-3861.0,-1294.0,617.0,-729.0,651.0,'Waned'
'G304',-318.0,-1364.0,68844.0,10995.0,138.0,-1128.0,-696.0,-1560.0,-248.0,-944.0,732.0,83.0,-448.0,-1787.0,-6020.0,-4223.0,-9036.0,-2451.0,-16295.0,227.0,-852.0,203.0,-178.0,853.0,160.0,-1507.0,159.0,-335.0,204.0,-262.0,11.0,-338.0,-415.0,-2336.0,-219.0,-2720.0,202.0,1972.0,144.0,-317.0,-545.0,122712.0,27980.0,276.0,1847.0,2565.0,-879.0,-1439.0,0.0,-182.0,497.0,-355.0,-3191.0,-1332.0,13345.0,3324.0,-1629.0,-644.0,281.0,1522.0,276.0,310.0,764.0,25577.0,953.0,62.0,-4440.0,-909.0,809.0,3920.0,1858.0,-1579.0,2183.0,-821.0,753.0,'Waned'
'G305',-384.0,-1781.0,33390.0,2913.0,-233.0,-2690.0,291.0,2109.0,-900.0,1515.0,1555.0,307.0,575.0,-1604.0,-17483.0,-1402.0,64499.0,8910.0,4089.0,-774.0,-116.0,256.0,167.0,-387.0,-1.0,630.0,-3.0,-1469.0,883.0,275.0,700.0,4956.0,3756.0,84840.0,-329.0,-1130.0,259.0,9076.0,-267.0,-224.0,-998.0,601768.0,966338.0,3828.0,6172.0,62.0,-166.0,-1517.0,813.0,-297.0,169.0,-234.0,451.0,420.0,22249.0,6012.0,4900.0,4683.0,1196.0,2996.0,-251.0,796.0,-397.0,-7397.0,-1018.0,754.0,2456.0,1172.0,3672.0,673.0,12892.0,-469.0,903.0,-281.0,738.0,'Waned'
'G306',340.0,-470.0,-31335.0,-5313.0,147.0,5043.0,-58.0,-3698.0,-207.0,-1551.0,1612.0,283.0,128.0,1839.0,-3985.0,-2869.0,-18688.0,4462.0,-1884.0,-46.0,-714.0,204.0,-657.0,-1185.0,-314.0,-461.0,-317.0,1060.0,522.0,-873.0,-284.0,-3809.0,1010.0,1458.0,-2413.0,-1408.0,200.0,23.0,125.0,-412.0,1379.0,-3115.0,59868.0,632.0,-297.0,-1176.0,-144.0,1694.0,1095.0,-622.0,-184.0,-356.0,-9497.0,-69.0,-36791.0,-10629.0,-722.0,-240.0,-359.0,-617.0,268.0,-772.0,-1121.0,-34231.0,721.0,-125.0,-5773.0,863.0,554.0,-13857.0,328.0,262.0,650.0,-1081.0,158.0,'Waned'
'G311',-219.0,-818.0,-18665.0,-1677.0,-183.0,1344.0,-305.0,2414.0,-727.0,3406.0,949.0,691.0,4907.0,-1643.0,-10267.0,1147.0,49220.0,3046.0,-207.0,843.0,-736.0,-98.0,-255.0,321.0,452.0,1339.0,454.0,798.0,-545.0,-953.0,-1070.0,-6173.0,-1188.0,-5187.0,-1913.0,-460.0,-96.0,6039.0,956.0,-202.0,-1084.0,455414.0,600660.0,1797.0,3832.0,-57.0,132.0,-1712.0,9635.0,-1073.0,-195.0,-207.0,-4977.0,-513.0,-32533.0,-9318.0,2427.0,1975.0,1135.0,2419.0,-631.0,512.0,1611.0,76666.0,1513.0,-708.0,2351.0,16.0,2703.0,18650.0,7921.0,-342.0,1190.0,72.0,199.0,'Persistent'
'G313',-1728.0,-2962.0,-8659.0,32552.0,468.0,2308.0,-6.0,-4829.0,44.0,-1088.0,123.0,0.0,-93.0,754.0,-7728.0,-3634.0,4264.0,3155.0,-5759.0,-876.0,7805.0,-591.0,-3725.0,-191.0,253.0,791.0,239.0,274.0,-518.0,-1562.0,1626.0,13094.0,217.0,915.0,-1463.0,-1919.0,-589.0,1902.0,-245.0,-125.0,603.0,40264.0,-101306.0,4.0,1024.0,745.0,-234.0,-162.0,-127.0,-615.0,15.0,207.0,14182.0,2714.0,81649.0,23283.0,-55.0,-279.0,68.0,579.0,-79.0,19.0,-18974.0,-522496.0,-1477.0,0.0,-2413.0,-1742.0,-403.0,-10870.0,-1000.0,-1584.0,248.0,70.0,150.0,'Persistent'
