"x"
"MARC1"
"MARCH1"
"MARC2"
"MARCH3"
"SEP15"
"A1BG"
"A2M"
"A2M-AS1"
"A4GALT"
"AA06"
"AAAS"
"AACS"
"AAGAB"
"AAK1"
"AAMDC"
"AAMP"
"AAR2"
"AARD"
"AARS2"
"AASDH"
"AASDHPPT"
"AASS"
"AATF"
"AATK"
"ABAT"
"ABCA1"
"ABCA10"
"ABCA11P"
"ABCA13"
"ABCA2"
"ABCA3"
"ABCA5"
"ABCA6"
"ABCA7"
"ABCB1"
"ABCB10"
"ABCB4"
"ABCB6"
"ABCB7"
"ABCB8"
"ABCC1"
"ABCC10"
"ABCC13"
"ABCC2"
"ABCC3"
"ABCC4"
"ABCC5"
"ABCC6"
"ABCD1"
"ABCD2"
"ABCD3"
"ABCD4"
"ABCE1"
"ABCF1"
"ABCF2"
"ABCF3"
"ABCG1"
"ABCG2"
"ABHD1"
"ABHD10"
"ABHD11"
"ABHD12"
"ABHD13"
"ABHD14A"
"ABHD14B"
"ABHD15"
"ABHD16A"
"ABHD16B"
"ABHD2"
"ABHD3"
"ABHD4"
"ABHD5"
"ABHD6"
"ABHD8"
"ABI1"
"ABI2"
"ABI3"
"ABL1"
"ABL2"
"ABLIM1"
"ABLIM3"
"ABO"
"ABR"
"ABRACL"
"ABT1"
"ABTB1"
"ABTB2"
"ACAA1"
"ACAA2"
"ACACA"
"ACACB"
"ACAD10"
"ACAD11"
"ACAD8"
"ACAD9"
"ACADM"
"ACADS"
"ACADSB"
"ACADVL"
"ACAP1"
"ACAP2"
"ACAP3"
"ACAT1"
"ACAT2"
"ACBD3"
"ACBD4"
"ACBD5"
"ACBD6"
"ACCS"
"ACCSL"
"ACD"
"ACE"
"ACER1"
"ACER2"
"ACER3"
"ACHE"
"ACIN1"
"ACLY"
"ACO1"
"ACO2"
"ACOT11"
"ACOT13"
"ACOT2"
"ACOT4"
"ACOT7"
"ACOT8"
"ACOT9"
"ACOX1"
"ACOX3"
"ACP1"
"ACP2"
"ACP5"
"ACP6"
"ACPL2"
"ACPP"
"ACR"
"ACRBP"
"ACSF2"
"ACSF3"
"ACSL1"
"ACSL3"
"ACSL4"
"ACSL5"
"ACSL6"
"ACSM3"
"ACSS1"
"ACTA2"
"ACTB"
"ACTBL2"
"ACTG1"
"ACTL10"
"ACTL6A"
"ACTL7A"
"ACTL9"
"ACTN1"
"ACTN3"
"ACTN4"
"ACTR10"
"ACTR1A"
"ACTR1B"
"ACTR2"
"ACTR3"
"ACTR3B"
"ACTR3BP2"
"ACTR5"
"ACTR6"
"ACTR8"
"ACTRT1"
"ACTRT2"
"ACVR1"
"ACVR1B"
"ACVR1C"
"ACVR2A"
"ACVR2B"
"ACVRL1"
"ACY1"
"ACY3"
"ACYP1"
"ACYP2"
"ADA"
"ADAL"
"ADAM10"
"ADAM12"
"ADAM15"
"ADAM17"
"ADAM19"
"ADAM1A"
"ADAM22"
"ADAM23"
"ADAM28"
"ADAM30"
"ADAM8"
"ADAM9"
"ADAMDEC1"
"ADAMTS1"
"ADAMTS10"
"ADAMTS13"
"ADAMTS17"
"ADAMTS4"
"ADAMTS5"
"ADAMTS6"
"ADAMTSL4"
"ADAMTSL5"
"ADAP1"
"ADAP2"
"ADAR"
"ADARB1"
"ADAT1"
"ADAT2"
"ADCK1"
"ADCK2"
"ADCK5"
"ADCY10P1"
"ADCY3"
"ADCY4"
"ADCY6"
"ADCY7"
"ADCY9"
"ADD1"
"ADD2"
"ADD3"
"ADH5"
"ADHFE1"
"ADI1"
"ADIPOR1"
"ADIPOR2"
"ADK"
"ADM"
